date,value
2018-01-05,4.78
2018-01-12,4.75
2018-01-19,4.69
2018-01-26,4.76
2018-02-02,4.66
2018-02-09,4.41
2018-02-16,4.52
2018-02-23,4.55
2018-03-02,4.55
2018-03-09,4.62
2018-03-16,4.52
2018-03-23,4.33
2018-03-30,4.34
2018-04-06,4.29
2018-04-13,4.32
2018-04-20,4.22
2018-04-27,4.27
2018-05-04,4.31
2018-05-11,4.36
2018-05-18,4.4
2018-05-25,4.39
2018-06-01,4.36
2018-06-08,4.24
2018-06-15,4.2
2018-06-22,4.11
2018-06-29,4.11
2018-07-06,4.05
2018-07-13,4.15
2018-07-20,4.26
2018-07-27,4.28
2018-08-03,4.23
2018-08-10,4.3
2018-08-17,4.07
2018-08-24,4.06
2018-08-31,4.06
2018-09-07,3.97
2018-09-14,3.94
2018-09-21,4.04
2018-09-28,4.03
2018-10-05,4.03
2018-10-12,3.69
2018-10-19,3.51
2018-10-26,3.64
2018-11-02,3.7
2018-11-09,3.64
2018-11-16,3.82
2018-11-23,3.66
2018-11-30,3.61
2018-12-07,3.65
2018-12-14,3.71
2018-12-21,3.63
2018-12-28,3.67
2019-01-04,3.66
2019-01-11,3.72
2019-01-18,3.8
2019-01-25,3.74
2019-02-01,3.74
2019-02-08,3.74
2019-02-15,3.81
2019-02-22,3.92
2019-03-01,4.12
2019-03-08,4.11
2019-03-15,4.16
2019-03-22,4.34
2019-03-29,4.19
2019-04-05,4.35
2019-04-12,4.52
2019-04-19,4.41
2019-04-26,4.07
2019-05-03,4.01
2019-05-10,3.96
2019-05-17,3.93
2019-05-24,3.98
2019-05-31,4.08
2019-06-07,4.18
2019-06-14,4.34
2019-06-21,4.48
2019-06-28,4.34
2019-07-05,4.16
2019-07-12,4.17
2019-07-19,4.24
2019-07-26,4.17
2019-08-02,4.18
2019-08-09,3.99
2019-08-16,4.06
2019-08-23,4.14
2019-08-30,4.03
2019-09-06,4.14
2019-09-13,4.16
2019-09-20,4.18
2019-09-27,4.14
2019-10-04,4.07
2019-10-11,4.18
2019-10-18,4.09
2019-10-25,4.1
2019-11-01,4.1
2019-11-08,4.13
2019-11-15,4.0
2019-11-22,4.06
2019-11-29,4.13
2019-12-06,4.2
2019-12-13,4.17
2019-12-20,4.23
2019-12-27,4.14
2020-01-03,4.16
