date,value
2018-01-05,12.57
2018-01-12,12.38
2018-01-19,13.05
2018-01-26,13.16
2018-02-02,12.13
2018-02-09,10.18
2018-02-16,10.31
2018-02-23,10.46
2018-03-02,10.0
2018-03-09,10.28
2018-03-16,10.28
2018-03-23,9.28
2018-03-30,9.68
2018-04-06,9.63
2018-04-13,9.69
2018-04-20,9.31
2018-04-27,9.23
2018-05-04,9.32
2018-05-11,9.36
2018-05-18,9.3
2018-05-25,9.12
2018-06-01,8.7
2018-06-08,7.41
2018-06-15,7.46
2018-06-22,7.11
2018-06-29,7.55
2018-07-06,7.26
2018-07-13,7.62
2018-07-20,7.47
2018-07-27,7.66
2018-08-03,6.93
2018-08-10,7.44
2018-08-17,7.76
2018-08-24,8.1
2018-08-31,7.9
2018-09-07,7.66
2018-09-14,7.73
2018-09-21,8.32
2018-09-28,8.09
2018-10-05,8.09
2018-10-12,7.1
2018-10-19,7.23
2018-10-26,8.32
2018-11-02,8.47
2018-11-09,8.36
2018-11-16,9.08
2018-11-23,8.4
2018-11-30,8.49
2018-12-07,8.38
2018-12-14,8.21
2018-12-21,8.16
2018-12-28,7.67
2019-01-04,8.4
2019-01-11,8.22
2019-01-18,8.18
2019-01-25,8.1
2019-02-01,7.88
2019-02-08,7.88
2019-02-15,8.32
2019-02-22,9.98
2019-03-01,10.56
2019-03-08,10.5
2019-03-15,11.04
2019-03-22,11.92
2019-03-29,11.53
2019-04-05,12.05
2019-04-12,12.19
2019-04-19,11.93
2019-04-26,11.07
2019-05-03,10.63
2019-05-10,10.08
2019-05-17,9.45
2019-05-24,9.62
2019-05-31,9.8
2019-06-07,10.04
2019-06-14,9.89
2019-06-21,10.41
2019-06-28,10.08
2019-07-05,10.24
2019-07-12,9.74
2019-07-19,9.98
2019-07-26,9.74
2019-08-02,9.26
2019-08-09,8.84
2019-08-16,9.01
2019-08-23,9.26
2019-08-30,8.94
2019-09-06,9.43
2019-09-13,9.73
2019-09-20,9.19
2019-09-27,9.05
2019-10-04,8.91
2019-10-11,9.03
2019-10-18,8.85
2019-10-25,9.04
2019-11-01,8.94
2019-11-08,8.91
2019-11-15,8.58
2019-11-22,8.64
2019-11-29,8.82
2019-12-06,8.81
2019-12-13,9.07
2019-12-20,9.4
2019-12-27,9.46
2020-01-03,9.79
