date,value
2015-12-04,33.99
2015-12-11,30.08
2015-12-18,30.57
2015-12-25,30.56
2016-01-01,30.5
2016-01-08,29.69
2016-01-15,28.1
2016-01-22,26.98
2016-01-29,27.08
2016-02-05,25.3
2016-02-12,27.0
2016-02-19,28.03
2016-02-26,27.58
2016-03-04,27.77
2016-03-11,28.28
2016-03-18,28.17
2016-03-25,27.64
2016-04-01,28.24
2016-04-08,28.75
2016-04-15,30.5
2016-04-22,30.34
2016-04-29,30.47
2016-05-06,30.29
2016-05-13,30.31
2016-05-20,30.11
2016-05-27,29.99
2016-06-03,29.56
2016-06-10,29.41
2016-06-17,29.4
2016-06-24,29.49
2016-07-01,29.31
2016-07-08,29.26
2016-07-15,30.28
2016-07-22,30.0
2016-07-29,29.89
2016-08-05,31.12
2016-08-12,30.6
2016-08-19,31.47
2016-08-26,32.0
2016-09-02,34.16
2016-09-09,33.0
2016-09-16,33.08
2016-09-23,34.61
2016-09-30,35.46
2016-10-07,34.93
2016-10-14,34.88
2016-10-21,34.55
2016-10-28,33.85
2016-11-04,33.1
2016-11-11,34.25
2016-11-18,34.0
2016-11-25,33.95
2016-12-02,33.65
2016-12-09,34.0
2016-12-16,33.8
2016-12-23,33.0
2016-12-30,32.85
2017-01-06,33.9
2017-01-13,34.3
2017-01-20,34.35
2017-01-27,35.2
2017-02-03,36.7
2017-02-10,36.25
2017-02-17,37.55
2017-02-24,38.0
2017-03-03,37.45
2017-03-10,38.25
2017-03-17,38.15
2017-03-24,36.65
2017-03-31,36.15
2017-04-07,34.4
2017-04-14,33.7
2017-04-21,33.85
2017-04-28,33.65
2017-05-05,33.1
2017-05-12,33.9
2017-05-19,34.05
2017-05-26,34.2
2017-06-02,34.1
2017-06-09,34.25
2017-06-16,33.2
2017-06-23,32.6
2017-06-30,34.0
2017-07-07,34.0
2017-07-14,33.85
2017-07-21,33.8
2017-07-28,32.75
2017-08-04,33.75
2017-08-11,32.4
2017-08-18,32.6
2017-08-25,34.05
2017-09-01,34.45
2017-09-08,34.4
2017-09-15,34.6
2017-09-22,34.85
2017-09-29,35.7
2017-10-06,37.15
2017-10-13,37.6
2017-10-20,37.75
2017-10-27,37.55
2017-11-03,36.85
2017-11-10,34.25
2017-11-17,34.45
2017-11-24,33.95
2017-12-01,33.65
2017-12-08,33.95
2017-12-15,35.9
2017-12-22,33.9
2017-12-29,34.1
2018-01-05,34.15
2018-01-12,36.05
2018-01-19,35.75
2018-01-26,35.5
2018-02-02,36.25
2018-02-09,34.75
2018-02-16,34.2
2018-02-23,35.15
2018-03-02,35.95
2018-03-09,37.3
2018-03-16,37.45
2018-03-23,36.05
2018-03-30,37.45
2018-04-06,36.95
2018-04-13,36.05
2018-04-20,36.55
2018-04-27,36.4
2018-05-04,37.5
2018-05-11,37.0
2018-05-18,38.4
2018-05-25,39.45
2018-06-01,38.5
2018-06-08,38.25
2018-06-15,38.9
2018-06-22,40.9
2018-06-29,37.95
2018-07-06,40.0
2018-07-13,41.65
2018-07-20,39.1
2018-07-27,37.8
2018-08-03,35.7
2018-08-10,39.3
2018-08-17,37.15
2018-08-24,38.15
2018-08-31,37.4
2018-09-07,37.15
2018-09-14,37.5
2018-09-21,40.35
2018-09-28,42.55
2018-10-05,43.22
2018-10-12,41.17
2018-10-19,39.19
2018-10-26,38.06
2018-11-02,41.19
2018-11-09,45.48
2018-11-16,43.63
2018-11-23,43.22
2018-11-30,42.49
2018-12-07,40.47
2018-12-14,34.54
2018-12-21,35.56
2018-12-28,33.69
2019-01-04,36.0
2019-01-11,38.17
2019-01-18,40.62
2019-01-25,40.35
2019-02-01,41.76
2019-02-08,42.16
2019-02-15,42.13
2019-02-22,42.7
2019-03-01,41.94
2019-03-08,44.3
2019-03-15,43.02
2019-03-22,38.79
2019-03-29,39.56
2019-04-05,38.63
2019-04-12,39.51
2019-04-19,40.81
2019-04-26,40.52
2019-05-03,40.2
2019-05-10,39.41
2019-05-17,39.48
2019-05-24,38.93
2019-05-31,37.31
2019-06-07,37.8
2019-06-14,36.99
2019-06-21,35.26
2019-06-28,37.4
2019-07-05,39.27
2019-07-12,38.5
2019-07-19,38.65
2019-07-26,36.83
2019-08-02,36.67
2019-08-09,36.67
2019-08-16,36.32
2019-08-23,34.47
2019-08-30,34.76
2019-09-06,34.6
2019-09-13,36.5
2019-09-20,35.99
2019-09-27,35.47
2019-10-04,39.54
2019-10-11,37.79
2019-10-18,36.02
2019-10-25,39.95
2019-11-01,40.7
2019-11-08,38.96
2019-11-15,37.69
2019-11-22,36.18
2019-11-29,36.1
2019-12-06,36.13
2019-12-13,35.56
2019-12-20,38.71
2019-12-27,39.73
2020-01-03,39.5
