date,value
2015-01-02,58.49
2015-01-09,59.11
2015-01-16,59.25
2015-01-23,59.41
2015-01-30,57.97
2015-02-06,60.01
2015-02-13,59.95
2015-02-20,60.04
2015-02-27,59.16
2015-03-06,59.87
2015-03-13,61.54
2015-03-20,62.69
2015-03-27,61.84
2015-04-03,61.91
2015-04-10,62.93
2015-04-17,61.6
2015-04-24,61.235
2015-05-01,61.19
2015-05-08,62.665
2015-05-15,63.1
2015-05-22,64.49
2015-05-29,63.89
2015-06-05,64.23
2015-06-12,65.65
2015-06-19,66.72
2015-06-26,67.45
2015-07-03,68.38
2015-07-10,69.4
2015-07-17,69.3
2015-07-24,70.27
2015-07-31,71.36
2015-08-07,72.12
2015-08-14,73.44
2015-08-21,70.51
2015-08-28,68.17
2015-09-04,68.33
2015-09-11,69.74
2015-09-18,68.74
2015-09-25,72.42
2015-10-02,74.34
2015-10-09,75.63
2015-10-16,77.24
2015-10-23,77.51
2015-10-30,74.89
2015-11-06,74.53
2015-11-13,73.36
2015-11-20,74.06
2015-11-27,72.92
2015-12-04,73.62
2015-12-11,69.94
2015-12-18,70.08
2015-12-25,70.56
2016-01-01,69.75
2016-01-08,68.42
2016-01-15,66.48
2016-01-22,65.31
2016-01-29,67.55
2016-02-05,65.94
2016-02-12,68.4
2016-02-19,68.63
2016-02-26,68.2
2016-03-04,69.39
2016-03-11,70.13
2016-03-18,70.17
2016-03-25,69.32
2016-04-01,72.15
2016-04-08,69.75
2016-04-15,71.3
2016-04-22,70.81
2016-04-29,70.49
2016-05-06,70.33
2016-05-13,71.7
2016-05-20,71.26
2016-05-27,72.16
2016-06-03,72.14
2016-06-10,71.5
2016-06-17,68.99
2016-06-24,69.01
2016-07-01,71.52
2016-07-08,70.77
2016-07-15,69.97
2016-07-22,70.4
2016-07-29,72.63
2016-08-05,74.45
2016-08-12,74.79
2016-08-19,79.55
2016-08-26,79.26
2016-09-02,81.75
2016-09-09,80.58
2016-09-16,79.95
2016-09-23,80.29
2016-09-30,79.26
2016-10-07,79.22
2016-10-14,79.92
2016-10-21,77.62
2016-10-28,77.47
2016-11-04,77.18
2016-11-11,81.12
2016-11-18,80.85
2016-11-25,82.14
2016-12-02,83.09
2016-12-09,86.19
2016-12-16,86.83
2016-12-23,87.25
2016-12-30,86.29
2017-01-06,86.47
2017-01-13,87.02
2017-01-20,87.49
2017-01-27,88.97
