date,value
2015-01-02,72.34
2015-01-09,71.84
2015-01-16,71.73
2015-01-23,74.06
2015-01-30,70.13
2015-02-06,72.54
2015-02-13,76.51
2015-02-20,78.55
2015-02-27,79.1
2015-03-06,77.55
2015-03-13,77.62
2015-03-20,77.36
2015-03-27,73.31
2015-04-03,75.68
2015-04-10,76.53
2015-04-17,73.15
2015-04-24,76.54
2015-05-01,76.43
2015-05-08,76.31
2015-05-15,78.92
2015-05-22,80.04
2015-05-29,79.09
2015-06-05,78.86
2015-06-12,79.86
2015-06-19,79.7
2015-06-26,82.74
2015-07-03,80.75
2015-07-10,80.59
2015-07-17,82.1
2015-07-24,80.98
2015-07-31,81.99
2015-08-07,82.69
2015-08-14,86.12
2015-08-21,78.87
2015-08-28,79.4
2015-09-04,76.89
2015-09-11,79.19
2015-09-18,81.25
2015-09-25,83.13
2015-10-02,83.99
2015-10-09,83.82
2015-10-16,88.67
2015-10-23,87.86
2015-10-30,88.66
2015-11-06,90.69
2015-11-13,89.02
2015-11-20,91.81
2015-11-27,92.17
2015-12-04,92.58
2015-12-11,91.42
2015-12-18,91.31
2015-12-25,94.3
2016-01-01,93.94
2016-01-08,87.85
2016-01-15,89.17
2016-01-22,89.63
2016-01-29,89.13
2016-02-05,79.2
2016-02-12,76.67
2016-02-19,80.87
2016-02-26,86.6
2016-03-04,86.18
2016-03-11,86.0
2016-03-18,93.42
2016-03-25,92.52
2016-04-01,95.16
2016-04-08,94.07
2016-04-15,95.16
2016-04-22,94.79
2016-04-29,94.22
2016-05-06,94.3
2016-05-13,95.97
2016-05-20,96.88
2016-05-27,100.14
2016-06-03,98.7
2016-06-10,97.09
2016-06-17,95.58
2016-06-24,92.2
2016-07-01,95.32
2016-07-08,96.79
2016-07-15,97.83
2016-07-22,98.06
2016-07-29,97.86
2016-08-05,99.04
2016-08-12,101.04
2016-08-19,100.32
2016-08-26,102.06
2016-09-02,103.57
2016-09-09,99.38
2016-09-16,98.93
2016-09-23,107.47
2016-09-30,108.54
2016-10-07,108.64
2016-10-14,107.84
2016-10-21,109.03
2016-10-28,107.6
2016-11-04,106.2
2016-11-11,103.68
2016-11-18,105.02
2016-11-25,105.02
2016-12-02,99.73
2016-12-09,104.31
2016-12-16,103.55
2016-12-23,105.02
2016-12-30,102.95
2017-01-06,108.3
2017-01-13,108.53
2017-01-20,110.71
2017-01-27,113.99
2017-02-03,115.17
2017-02-10,116.85
2017-02-17,119.67
2017-02-24,119.31
2017-03-03,120.04
2017-03-10,121.09
2017-03-17,127.01
2017-03-24,127.7
2017-03-31,130.13
2017-04-07,130.22
2017-04-14,129.05
2017-04-21,131.52
2017-04-28,133.74
2017-05-05,134.84
2017-05-12,136.84
2017-05-19,136.43
2017-05-26,141.89
2017-06-02,143.48
2017-06-09,138.05
2017-06-16,137.84
2017-06-23,145.41
2017-06-30,141.44
2017-07-07,142.22
2017-07-14,146.16
2017-07-21,149.52
2017-07-28,146.73
2017-08-04,147.71
2017-08-11,146.47
2017-08-18,147.97
2017-08-25,151.45
2017-09-01,155.06
2017-09-08,155.34
2017-09-15,154.49
2017-09-22,148.5
2017-09-29,149.18
2017-10-06,151.12
2017-10-13,153.93
2017-10-20,175.64
2017-10-27,177.33
2017-11-03,182.3
2017-11-10,181.72
2017-11-17,182.24
