date,value
2015-01-02,52.02
2015-01-09,48.82
2015-01-16,47.68
2015-01-23,47.87
2015-01-30,46.63
2015-02-06,47.56
2015-02-13,48.1
2015-02-20,48.15
2015-02-27,47.88
2015-03-06,46.25
2015-03-13,46.3
2015-03-20,46.95
2015-03-27,46.46
2015-04-03,47.35
2015-04-10,47.96
2015-04-17,48.28
2015-04-24,48.21
2015-05-01,49.78
2015-05-08,51.25
2015-05-15,53.04
2015-05-22,52.67
2015-05-29,52.85
2015-06-05,51.01
2015-06-12,51.91
2015-06-19,51.5
2015-06-26,49.57
2015-07-03,48.65
2015-07-10,47.21
2015-07-17,48.02
2015-07-24,47.19
2015-07-31,47.42
2015-08-07,46.42
2015-08-14,47.2
2015-08-21,45.12
2015-08-28,44.65
2015-09-04,42.9
2015-09-11,42.82
2015-09-18,43.23
2015-09-25,42.5
2015-10-02,42.42
2015-10-09,45.42
2015-10-16,45.96
2015-10-23,46.89
2015-10-30,45.66
2015-11-06,42.13
2015-11-13,37.76
2015-11-20,35.83
2015-11-27,36.46
2015-12-04,35.97
2015-12-11,34.22
2015-12-18,35.0
2015-12-25,36.65
2016-01-01,36.68
2016-01-08,34.39
2016-01-15,31.51
2016-01-22,33.23
2016-01-29,35.35
2016-02-05,34.07
2016-02-12,32.45
2016-02-19,32.65
2016-02-26,34.79
2016-03-04,37.65
2016-03-11,36.6
2016-03-18,38.07
2016-03-25,36.47
2016-04-01,36.47
2016-04-08,36.09
2016-04-15,37.3
2016-04-22,39.62
2016-04-29,39.94
2016-05-06,38.2
2016-05-13,37.64
2016-05-20,39.83
2016-05-27,43.23
2016-06-03,43.6
2016-06-10,43.03
2016-06-17,42.31
2016-06-24,40.5
2016-07-01,42.61
2016-07-08,43.48
2016-07-15,43.95
2016-07-22,43.72
2016-07-29,45.08
2016-08-05,44.45
2016-08-12,44.08
2016-08-19,43.48
2016-08-26,42.39
2016-09-02,43.82
2016-09-09,42.02
2016-09-16,42.03
2016-09-23,42.47
2016-09-30,42.17
2016-10-07,42.65
2016-10-14,42.13
2016-10-21,42.32
2016-10-28,43.59
2016-11-04,46.92
2016-11-11,41.73
2016-11-18,43.49
2016-11-25,43.55
2016-12-02,44.0
2016-12-09,46.56
2016-12-16,46.51
2016-12-23,45.15
2016-12-30,45.65
2017-01-06,44.72
2017-01-13,43.56
2017-01-20,44.73
2017-01-27,44.52
2017-02-03,43.99
2017-02-10,43.83
2017-02-17,44.69
2017-02-24,45.26
2017-03-03,45.2
2017-03-10,45.04
2017-03-17,44.72
2017-03-24,45.58
2017-03-31,46.04
2017-04-07,44.89
2017-04-14,44.28
2017-04-21,44.81
2017-04-28,45.75
2017-05-05,42.43
2017-05-12,41.96
2017-05-19,41.5
2017-05-26,42.45
2017-06-02,42.22
2017-06-09,42.02
2017-06-16,42.56
2017-06-23,41.16
2017-06-30,41.38
2017-07-07,41.24
2017-07-14,41.48
2017-07-21,41.26
2017-07-28,41.78
2017-08-04,42.59
2017-08-11,41.26
2017-08-18,41.27
2017-08-25,41.75
2017-09-01,42.2
2017-09-08,42.37
2017-09-15,43.84
2017-09-22,43.38
2017-09-29,42.51
2017-10-06,43.0
2017-10-13,44.0
2017-10-20,43.49
2017-10-27,43.07
2017-11-03,39.78
2017-11-10,39.93
2017-11-17,39.42
2017-11-24,39.14
2017-12-01,40.83
2017-12-08,41.51
2017-12-15,40.56
2017-12-22,40.19
2017-12-29,40.08
2018-01-05,40.18
2018-01-12,40.5
2018-01-19,40.96
2018-01-26,43.59
2018-02-02,41.43
2018-02-09,41.49
2018-02-16,43.13
2018-02-23,42.57
2018-03-02,42.2
2018-03-09,43.3
2018-03-16,43.5
2018-03-23,42.05
2018-03-30,43.37
2018-04-06,44.33
