date,value
2015-01-02,35.16
2015-01-09,35.69
2015-01-16,36.0
2015-01-23,37.34
2015-01-30,35.22
2015-02-06,35.8334
2015-02-13,36.885
2015-02-20,36.68
2015-02-27,36.63
2015-03-06,35.0185
2015-03-13,33.86
2015-03-20,35.28
2015-03-27,34.38
2015-04-03,35.5601
2015-04-10,36.9104
2015-04-17,36.63
2015-04-24,38.35
2015-05-01,37.757
2015-05-08,37.59
2015-05-15,37.65
2015-05-22,37.056
2015-05-29,35.87
2015-06-05,35.36
2015-06-12,35.67
2015-06-19,35.42
2015-06-26,35.4409
2015-07-03,35.14
2015-07-10,34.055
2015-07-17,34.22
2015-07-24,32.8841
2015-07-31,32.68
2015-08-07,32.31
2015-08-14,31.45
2015-08-21,29.44
2015-08-28,30.1
2015-09-04,28.47
2015-09-11,29.05
2015-09-18,28.73
2015-09-25,27.7019
2015-10-02,28.9
2015-10-09,30.37
2015-10-16,30.599
2015-10-23,30.93
2015-10-30,30.9801
2015-11-06,31.2978
2015-11-13,29.66
2015-11-20,31.12
2015-11-27,30.4368
2015-12-04,30.7255
2015-12-11,28.95
2015-12-18,29.21
2015-12-25,29.8601
2016-01-01,29.07
2016-01-08,26.51
2016-01-15,25.91
2016-01-22,26.46
2016-01-29,27.0
2016-02-05,26.586
2016-02-12,25.75
2016-02-19,27.11
2016-02-26,27.2
2016-03-04,29.75
2016-03-11,30.11
2016-03-18,30.71
2016-03-25,30.172
2016-04-01,31.0299
2016-04-08,30.37
2016-04-15,31.85
2016-04-22,31.92
2016-04-29,31.5228
2016-05-06,30.3069
2016-05-13,29.61
2016-05-20,29.83
2016-05-27,30.49
2016-06-03,30.7255
2016-06-10,30.33
2016-06-17,29.885
2016-06-24,29.9499
2016-07-01,31.39
2016-07-08,31.4
2016-07-15,32.37
2016-07-22,32.956
2016-07-29,32.8285
2016-08-05,33.3544
2016-08-12,34.53
2016-08-19,34.55
2016-08-26,33.9
2016-09-02,34.6999
2016-09-09,34.28
2016-09-16,33.9535
2016-09-23,34.95
2016-09-30,34.835
2016-10-07,35.33
2016-10-14,35.11
2016-10-21,35.8501
2016-10-28,35.3
2016-11-04,34.05
2016-11-11,32.8809
2016-11-18,32.62
2016-11-25,33.0087
2016-12-02,32.55
2016-12-09,33.54
2016-12-16,32.25
2016-12-23,32.03
2016-12-30,32.25
2017-01-06,33.37
2017-01-13,34.1107
2017-01-20,34.53
2017-01-27,35.3579
2017-02-03,35.2933
2017-02-10,35.974
2017-02-17,36.0901
2017-02-24,36.2422
2017-03-03,35.804
2017-03-10,35.5096
2017-03-17,36.5444
2017-03-24,36.61
2017-03-31,36.7669
2017-04-07,36.61
2017-04-14,36.4316
2017-04-21,36.325
2017-04-28,36.8421
2017-05-05,37.0989
2017-05-12,38.56
2017-05-19,38.09
2017-05-26,38.48
2017-06-02,38.2576
2017-06-09,38.72
2017-06-16,37.81
2017-06-23,38.56
2017-06-30,38.53
2017-07-07,38.39
2017-07-14,40.44
2017-07-21,40.608
