date,value
2015-01-02,25.61
2015-01-09,25.53
2015-01-16,25.9
2015-01-23,25.8
2015-01-30,25.72
2015-02-06,25.57
2015-02-13,25.73
2015-02-20,25.74
2015-02-27,25.7
2015-03-06,25.64
2015-03-13,25.61
2015-03-20,25.81
2015-03-27,25.75
2015-04-03,25.78
2015-04-10,25.75
2015-04-17,25.65
2015-04-24,25.96
2015-05-01,25.82
2015-05-08,25.91
2015-05-15,25.83
2015-05-22,25.83
2015-05-29,25.44
2015-06-05,25.4
2015-06-12,25.4
2015-06-19,25.5
2015-06-26,25.64
2015-07-03,25.53
2015-07-10,25.61
2015-07-17,26.08
2015-07-24,25.89
2015-07-31,25.71
2015-08-07,25.7
2015-08-14,25.7
2015-08-21,25.73
2015-08-28,25.34
2015-09-04,25.41
2015-09-11,25.46
2015-09-18,25.73
2015-09-25,25.75
2015-10-02,25.5144
2015-10-09,25.6838
2015-10-16,25.94
2015-10-23,25.93
2015-10-30,26.0799
2015-11-06,26.1118
2015-11-13,26.1
2015-11-20,26.07
2015-11-27,26.06
2015-12-04,26.0
2015-12-11,25.75
2015-12-18,25.55
2015-12-25,25.66
2016-01-01,25.86
2016-01-08,25.98
2016-01-15,25.88
2016-01-22,25.83
2016-01-29,26.07
2016-02-05,25.88
2016-02-12,24.7399
2016-02-19,25.87
2016-02-26,25.65
2016-03-04,25.89
2016-03-11,26.08
2016-03-18,26.19
2016-03-25,26.2245
2016-04-01,26.05
2016-04-08,26.12
2016-04-15,25.95
2016-04-22,26.29
2016-04-29,26.15
2016-05-06,26.44
2016-05-13,26.24
2016-05-20,26.21
2016-05-27,26.17
2016-06-03,26.39
2016-06-10,26.46
2016-06-17,26.11
2016-06-24,25.7256
2016-07-01,26.39
2016-07-08,25.87
2016-07-15,26.41
2016-07-22,26.07
2016-07-29,26.54
2016-08-05,26.15
2016-08-12,26.13
2016-08-19,26.25
2016-08-26,26.5
2016-09-02,26.27
2016-09-09,25.94
2016-09-16,25.62
2016-09-23,26.26
2016-09-30,25.83
2016-10-07,26.08
2016-10-14,25.67
2016-10-21,26.35
2016-10-28,25.93
2016-11-04,25.65
2016-11-11,25.36
2016-11-18,25.27
2016-11-25,25.47
2016-12-02,25.0849
2016-12-09,25.09
2016-12-16,25.15
2016-12-23,25.45
2016-12-30,25.16
2017-01-06,25.24
2017-01-13,25.42
2017-01-20,25.58
2017-01-27,25.9
2017-02-03,25.9625
2017-02-10,25.95
2017-02-17,25.9
2017-02-24,26.1
2017-03-03,25.685
2017-03-10,25.4514
2017-03-17,25.9503
2017-03-24,25.87
2017-03-31,25.75
2017-04-07,25.925
2017-04-14,26.15
2017-04-21,26.28
2017-04-28,26.03
2017-05-05,26.0
2017-05-12,26.05
2017-05-19,26.24
2017-05-26,26.39
2017-06-02,26.18
2017-06-09,25.94
2017-06-16,26.02
2017-06-23,26.2
2017-06-30,26.19
2017-07-07,26.26
2017-07-14,26.23
2017-07-21,26.47
2017-07-28,26.26
2017-08-04,25.93
2017-08-11,25.8
2017-08-18,26.1226
2017-08-25,26.23
2017-09-01,25.97
2017-09-08,26.08
2017-09-15,26.31
2017-09-22,26.19
2017-09-29,26.25
2017-10-06,25.9884
2017-10-13,26.24
2017-10-20,26.33
2017-10-27,26.0121
2017-11-03,25.98
2017-11-10,25.94
2017-11-17,26.06
2017-11-24,26.21
2017-12-01,25.83
2017-12-08,25.9
2017-12-15,25.83
2017-12-22,25.8496
2017-12-29,25.95
2018-01-05,25.81
2018-01-12,25.9
2018-01-19,25.72
2018-01-26,25.76
2018-02-02,25.5155
2018-02-09,25.6173
2018-02-16,25.79
2018-02-23,25.9501
2018-03-02,25.79
2018-03-09,26.15
2018-03-16,26.2
2018-03-23,26.29
2018-03-30,26.22
2018-04-06,26.08
2018-04-13,26.13
2018-04-20,26.08
2018-04-27,25.78
2018-05-04,25.82
2018-05-11,25.87
2018-05-18,25.81
2018-05-25,26.12
2018-06-01,25.94
2018-06-08,26.25
2018-06-15,26.74
2018-06-22,26.5
2018-06-29,26.28
2018-07-06,26.5
2018-07-13,26.36
2018-07-20,26.22
2018-07-27,26.16
2018-08-03,25.99
2018-08-10,26.07
2018-08-17,26.16
2018-08-24,26.24
2018-08-31,25.95
2018-09-07,25.68
2018-09-14,25.86
2018-09-21,25.73
2018-09-28,25.71
2018-10-05,25.39
2018-10-12,25.34
2018-10-19,25.48
2018-10-26,25.37
2018-11-02,25.41
2018-11-09,25.51
2018-11-16,25.5339
2018-11-23,25.39
2018-11-30,25.2
2018-12-07,25.065
2018-12-14,25.22
2018-12-21,24.9
2018-12-28,24.89
2019-01-04,25.43
2019-01-11,25.48
2019-01-18,25.76
2019-01-25,25.79
2019-02-01,25.74
2019-02-08,25.765
2019-02-15,25.94
2019-02-22,25.97
2019-03-01,26.04
2019-03-08,25.96
2019-03-15,26.11
2019-03-22,26.04
2019-03-29,25.75
2019-04-05,25.83
2019-04-12,25.62
2019-04-19,25.6
2019-04-26,25.41
2019-05-03,25.55
2019-05-10,25.32
2019-05-17,25.34
2019-05-24,25.36
2019-05-31,24.97
2019-06-07,24.99
2019-06-14,25.0
