date,value
2015-01-02,38.52
2015-01-09,39.15
2015-01-16,38.06
2015-01-23,40.41
2015-01-30,39.53
2015-02-06,42.02
2015-02-13,43.02
2015-02-20,44.34
2015-02-27,44.5
2015-03-06,43.96
2015-03-13,43.61
2015-03-20,44.61
2015-03-27,43.97
2015-04-03,44.76
2015-04-10,46.75
2015-04-17,45.96
2015-04-24,46.86
2015-05-01,49.04
2015-05-08,49.07
2015-05-15,48.96
2015-05-22,48.07
2015-05-29,48.24
2015-06-05,48.53
2015-06-12,47.3
2015-06-19,46.42
2015-06-26,46.89
2015-07-03,45.64
2015-07-10,45.79
2015-07-17,47.15
2015-07-24,45.29
2015-07-31,46.84
2015-08-07,46.54
2015-08-14,47.27
2015-08-21,43.3
2015-08-28,42.26
2015-09-04,40.47
2015-09-11,42.21
2015-09-18,42.41
2015-09-25,40.96
2015-10-02,40.49
2015-10-09,43.06
2015-10-16,39.31
2015-10-23,41.34
2015-10-30,41.5
2015-11-06,42.52
2015-11-13,40.53
2015-11-20,43.24
2015-11-27,44.23
2015-12-04,45.25
2015-12-11,40.37
2015-12-18,40.14
2015-12-25,43.15
2016-01-01,43.16
2016-01-08,36.71
2016-01-15,34.01
2016-01-22,32.95
2016-01-29,30.71
2016-02-05,27.84
2016-02-12,28.06
2016-02-19,31.7
2016-02-26,35.49
2016-03-04,37.63
2016-03-11,37.61
2016-03-18,38.32
2016-03-25,37.51
2016-04-01,38.89
2016-04-08,37.88
2016-04-15,39.73
2016-04-22,41.43
2016-04-29,40.01
2016-05-06,40.75
2016-05-13,36.61
2016-05-20,37.29
2016-05-27,38.84
2016-06-03,38.29
2016-06-10,37.44
2016-06-17,36.98
2016-06-24,34.56
2016-07-01,33.87
2016-07-08,34.5
2016-07-15,36.92
2016-07-22,35.74
2016-07-29,36.51
2016-08-05,36.72
2016-08-12,38.04
2016-08-19,39.15
2016-08-26,39.0
2016-09-02,40.57
2016-09-09,39.32
2016-09-16,39.03
2016-09-23,37.67
2016-09-30,38.49
2016-10-07,39.93
2016-10-14,38.77
2016-10-21,40.72
2016-10-28,40.99
2016-11-04,41.29
2016-11-11,42.33
2016-11-18,44.34
2016-11-25,44.29
2016-12-02,43.33
2016-12-09,44.49
2016-12-16,42.44
2016-12-23,42.2
2016-12-30,41.61
2017-01-06,43.6
2017-01-13,43.0
2017-01-20,42.08
2017-01-27,44.34
2017-02-03,45.1
2017-02-10,46.3
2017-02-17,46.65
2017-02-24,45.35
2017-03-03,46.12
2017-03-10,45.14
2017-03-17,45.46
2017-03-24,44.57
