date,value
2017-04-28,24.9599
2017-05-05,26.14
2017-05-12,26.51
2017-05-19,26.17
2017-05-26,26.7855
2017-06-02,26.82
2017-06-09,26.179
2017-06-16,25.42
2017-06-23,25.7501
2017-06-30,25.31
2017-07-07,25.56
2017-07-14,26.06
2017-07-21,25.9999
2017-07-28,25.92
2017-08-04,25.0
2017-08-11,24.4299
2017-08-18,25.01
2017-08-25,25.73
2017-09-01,25.86
2017-09-08,26.2
2017-09-15,27.0098
2017-09-22,27.44
2017-09-29,27.44
2017-10-06,27.83
2017-10-13,27.455
2017-10-20,27.02
2017-10-27,27.27
2017-11-03,28.1562
2017-11-10,27.79
2017-11-17,27.54
2017-11-24,28.08
2017-12-01,28.0503
2017-12-08,28.69
2017-12-15,29.76
2017-12-22,30.33
2017-12-29,30.18
2018-01-05,31.2
2018-01-12,31.84
2018-01-19,32.13
2018-01-26,32.91
2018-02-02,31.06
2018-02-09,28.805
2018-02-16,31.74
2018-02-23,31.9943
2018-03-02,30.88
2018-03-09,32.48
2018-03-16,31.715
2018-03-23,29.95
2018-03-30,30.56
2018-04-06,30.41
2018-04-13,30.4
2018-04-20,30.16
2018-04-27,29.8802
2018-05-04,28.0339
2018-05-11,27.15
2018-05-18,26.95
2018-05-25,26.71
2018-06-01,25.54
2018-06-08,26.32
2018-06-15,24.819
2018-06-22,24.855
2018-06-29,22.87
2018-07-06,23.91
2018-07-13,24.19
2018-07-20,25.29
2018-07-27,25.43
2018-08-03,24.811
2018-08-10,23.81
2018-08-17,22.28
2018-08-24,23.137
2018-08-31,22.09
2018-09-07,21.67
2018-09-14,21.41
2018-09-21,23.39
2018-09-28,22.51
2018-10-05,21.97
2018-10-12,21.22
2018-10-19,20.975
2018-10-26,20.6848
2018-11-02,22.75
2018-11-09,21.85
2018-11-16,22.08
2018-11-23,21.27
2018-11-30,21.725
2018-12-07,21.4186
2018-12-14,20.8261
2018-12-21,19.0848
2018-12-28,19.8373
2019-01-04,21.1601
2019-01-11,22.4804
2019-01-18,22.864
2019-01-25,23.0222
2019-02-01,23.9852
2019-02-08,23.4021
2019-02-15,23.8165
2019-02-22,23.7047
2019-03-01,23.7052
2019-03-08,23.0902
2019-03-15,24.45
2019-03-22,23.9252
2019-03-29,23.6889
2019-04-05,23.5129
2019-04-12,23.6594
2019-04-19,23.3384
2019-04-26,22.3139
2019-05-03,24.1883
2019-05-10,23.8436
2019-05-17,23.978
2019-05-24,24.6083
2019-05-31,24.1259
2019-06-07,25.0663
2019-06-14,26.8336
2019-06-21,27.4884
2019-06-28,27.655
2019-07-05,28.1807
2019-07-12,28.99
2019-07-19,27.7675
2019-07-26,28.3718
2019-08-02,27.205
2019-08-09,28.45
2019-08-16,21.5449
2019-08-23,20.5311
2019-08-30,19.3369
2019-09-06,19.9098
2019-09-13,19.3818
2019-09-20,19.6648
2019-09-27,19.575
2019-10-04,19.8915
2019-10-11,19.871
2019-10-18,19.3068
2019-10-25,19.28
2019-11-01,18.7403
2019-11-08,18.779
2019-11-15,19.02
2019-11-22,19.6293
2019-11-29,20.3
2019-12-06,20.628
2019-12-13,21.419
2019-12-20,22.2404
2019-12-27,23.2461
2020-01-03,22.6175
