date,value
2015-01-02,46.98
2015-01-09,47.23
2015-01-16,46.18
2015-01-23,45.51
2015-01-30,44.43
2015-02-06,46.32
2015-02-13,47.5
2015-02-20,48.55
2015-02-27,46.99
2015-03-06,45.81
2015-03-13,46.5
2015-03-20,47.64
2015-03-27,46.8
2015-04-03,46.86
2015-04-10,47.65
2015-04-17,47.66
2015-04-24,49.06
2015-05-01,47.92
2015-05-08,47.86
2015-05-15,48.02
2015-05-22,49.22
2015-05-29,48.45
2015-06-05,47.89
2015-06-12,48.51
2015-06-19,49.03
2015-06-26,48.17
2015-07-03,47.58
2015-07-10,47.58
2015-07-17,48.22
2015-07-24,47.43
2015-07-31,47.43
2015-08-07,47.6
2015-08-14,47.3
2015-08-21,44.81
2015-08-28,43.87
2015-09-04,41.67
2015-09-11,42.0
2015-09-18,41.85
2015-09-25,41.99
2015-10-02,41.81
2015-10-09,42.56
2015-10-16,42.85
2015-10-23,43.56
2015-10-30,43.73
2015-11-06,44.06
2015-11-13,42.98
2015-11-20,44.19
2015-11-27,44.0
2015-12-04,43.92
2015-12-11,43.41
2015-12-18,40.08
2015-12-25,41.15
2016-01-01,40.94
2016-01-08,38.3
2016-01-15,37.61
2016-01-22,37.65
2016-01-29,37.64
2016-02-05,38.32
2016-02-12,38.49
2016-02-19,39.43
2016-02-26,40.06
2016-03-04,41.0
2016-03-11,42.6
2016-03-18,43.68
2016-03-25,43.98
2016-04-01,44.63
2016-04-08,43.59
2016-04-15,44.94
2016-04-22,45.03
2016-04-29,46.04
2016-05-06,46.96
2016-05-13,47.13
2016-05-20,47.78
2016-05-27,48.2
2016-06-03,47.86
2016-06-10,48.03
2016-06-17,46.59
2016-06-24,45.35
2016-07-01,47.8
2016-07-08,48.7
2016-07-15,49.02
2016-07-22,49.16
2016-07-29,49.19
2016-08-05,49.3
2016-08-12,49.38
2016-08-19,48.54
2016-08-26,49.02
2016-09-02,49.99
2016-09-09,49.17
2016-09-16,49.65
2016-09-23,50.68
2016-09-30,50.87
2016-10-07,50.57
2016-10-14,50.24
2016-10-21,48.97
2016-10-28,48.33
2016-11-04,47.48
2016-11-11,51.54
2016-11-18,51.52
2016-11-25,51.86
2016-12-02,49.16
2016-12-09,50.76
2016-12-16,51.55
2016-12-23,52.01
2016-12-30,51.96
2017-01-06,53.14
2017-01-13,52.81
2017-01-20,52.84
2017-01-27,54.62
2017-02-03,54.01
2017-02-10,55.17
2017-02-17,56.94
2017-02-24,56.86
2017-03-03,56.86
2017-03-10,56.66
2017-03-17,56.93
2017-03-24,56.44
2017-03-31,56.54
2017-04-07,56.33
2017-04-14,55.51
2017-04-21,55.61
2017-04-28,55.81
2017-05-05,55.71
2017-05-12,54.73
2017-05-19,55.76
2017-05-26,57.12
2017-06-02,57.35
2017-06-09,57.88
2017-06-16,58.97
2017-06-23,56.71
2017-06-30,57.25
2017-07-07,57.71
2017-07-14,57.61
2017-07-21,58.65
2017-07-28,59.41
2017-08-04,59.02
2017-08-11,58.42
2017-08-18,57.94
2017-08-25,58.38
2017-09-01,57.92
2017-09-08,59.69
2017-09-15,60.38
2017-09-22,60.99
2017-09-29,61.55
2017-10-06,61.76
2017-10-13,62.02
2017-10-20,62.92
2017-10-27,62.54
2017-11-03,63.69
2017-11-10,64.08
2017-11-17,65.97
2017-11-24,65.39
2017-12-01,66.57
2017-12-08,65.69
2017-12-15,63.98
2017-12-22,62.6
2017-12-29,63.28
2018-01-05,63.51
2018-01-12,63.88
2018-01-19,64.29
2018-01-26,70.49
2018-02-02,68.57
2018-02-09,64.94
2018-02-16,68.97
2018-02-23,68.99
2018-03-02,68.66
2018-03-09,72.63
2018-03-16,71.01
2018-03-23,66.69
2018-03-30,68.73
2018-04-06,67.09
2018-04-13,68.45
2018-04-20,69.97
2018-04-27,70.62
2018-05-04,68.94
2018-05-11,68.74
2018-05-18,67.53
2018-05-25,67.62
2018-06-01,66.23
2018-06-08,67.78
2018-06-15,65.81
2018-06-22,66.74
2018-06-29,65.28
2018-07-06,66.81
2018-07-13,68.86
2018-07-20,70.39
2018-07-27,70.89
2018-08-03,71.46
2018-08-10,70.87
2018-08-17,72.21
2018-08-24,72.15
2018-08-31,72.14
2018-09-07,73.76
2018-09-14,74.89
2018-09-21,75.91
2018-09-28,74.44
2018-10-05,74.85
2018-10-12,71.25
2018-10-19,72.67
2018-10-26,74.03
2018-11-02,74.67
2018-11-09,78.05
2018-11-16,78.38
2018-11-23,76.67
2018-11-30,77.07
2018-12-07,74.52
2018-12-14,74.18
2018-12-21,71.06
2018-12-28,72.52
2019-01-04,72.32
2019-01-11,72.7
2019-01-18,74.41
2019-01-25,73.5
2019-02-01,76.88
2019-02-08,78.83
2019-02-15,79.84
2019-02-22,80.6
2019-03-01,80.32
2019-03-08,77.91
2019-03-15,80.28
2019-03-22,78.88
2019-03-29,78.1
2019-04-05,78.3
2019-04-12,80.52
2019-04-19,80.42
2019-04-26,83.15
2019-05-03,83.13
2019-05-10,83.47
2019-05-17,83.35
2019-05-24,84.28
2019-05-31,84.2
2019-06-07,87.79
2019-06-14,87.7
2019-06-21,86.54
2019-06-28,87.59
2019-07-05,90.59
2019-07-12,91.83
