date,value
2015-01-02,63.25
2015-01-09,60.78
2015-01-16,59.22
2015-01-23,61.02
2015-01-30,58.155
2015-02-06,61.13
2015-02-13,68.77
2015-02-20,71.62
2015-02-27,69.51
2015-03-06,69.96
2015-03-13,70.81
2015-03-20,72.87
2015-03-27,71.29
2015-04-03,70.84
2015-04-10,71.45
2015-04-17,71.9
2015-04-24,75.74
2015-05-01,74.66
2015-05-08,76.43
2015-05-15,77.96
2015-05-22,77.66
2015-05-29,76.27
2015-06-05,75.24
2015-06-12,73.44
2015-06-19,72.29
2015-06-26,71.13
2015-07-03,69.91
2015-07-10,69.98
2015-07-17,72.72
2015-07-24,72.52
2015-07-31,76.71
2015-08-07,74.53
2015-08-14,73.37
2015-08-21,68.04
2015-08-28,71.9
2015-09-04,72.58
2015-09-11,74.67
2015-09-18,71.95
2015-09-25,70.55
2015-10-02,70.23
2015-10-09,73.46
2015-10-16,70.95
2015-10-23,74.08
2015-10-30,60.82
2015-11-06,62.38
2015-11-13,58.57
2015-11-20,56.92
2015-11-27,57.9
2015-12-04,56.615
2015-12-11,51.81
2015-12-18,52.32
2015-12-25,53.04
2016-01-01,52.63
2016-01-08,48.1
2016-01-15,44.15
2016-01-22,46.91
2016-01-29,45.62
2016-02-05,43.2
2016-02-12,50.76
2016-02-19,53.13
2016-02-26,55.24
2016-03-04,55.57
2016-03-11,56.07
2016-03-18,55.95
2016-03-25,54.84
2016-04-01,55.22
2016-04-08,52.38
2016-04-15,50.93
2016-04-22,51.13
2016-04-29,50.99
2016-05-06,49.94
2016-05-13,50.49
2016-05-20,51.73
2016-05-27,54.2
2016-06-03,53.55
2016-06-10,52.73
2016-06-17,53.19
2016-06-24,53.35
2016-07-01,55.5
2016-07-08,56.38
2016-07-15,57.25
2016-07-22,57.89
2016-07-29,50.53
2016-08-05,50.66
2016-08-12,51.97
2016-08-19,52.95
2016-08-26,55.31
2016-09-02,55.33
2016-09-09,52.5
2016-09-16,50.98
2016-09-23,52.25
2016-09-30,52.99
2016-10-07,54.95
2016-10-14,54.66
2016-10-21,57.67
2016-10-28,69.91
2016-11-04,65.81
2016-11-11,65.45
2016-11-18,66.44
2016-11-25,66.95
2016-12-02,63.87
2016-12-09,64.94
2016-12-16,67.19
2016-12-23,67.63
2016-12-30,66.68
2017-01-06,69.79
2017-01-13,70.02
2017-01-20,69.15
2017-01-27,67.97
2017-02-03,69.55
2017-02-10,63.95
2017-02-17,62.34
2017-02-24,62.87
2017-03-03,63.36
2017-03-10,64.22
2017-03-17,65.0
2017-03-24,63.63
2017-03-31,59.7
2017-04-07,58.1
2017-04-14,58.8
2017-04-21,60.28
2017-04-28,60.94
2017-05-05,52.13
2017-05-12,49.43
2017-05-19,47.38
2017-05-26,47.39
2017-06-02,48.53
2017-06-09,48.13
2017-06-16,49.5
2017-06-23,51.3
2017-06-30,49.81
2017-07-07,49.24
2017-07-14,50.62
2017-07-21,52.13
2017-07-28,46.89
2017-08-04,47.87
2017-08-11,46.37
2017-08-18,45.36
2017-08-25,44.98
2017-09-01,47.08
2017-09-08,46.0
2017-09-15,47.34
2017-09-22,48.33
2017-09-29,48.72
2017-10-06,50.63
2017-10-13,50.76
2017-10-20,51.87
2017-10-27,53.0
2017-11-03,53.01
2017-11-10,54.26
2017-11-17,55.44
2017-11-24,55.79
2017-12-01,55.79
2017-12-08,56.5
2017-12-15,57.76
2017-12-22,65.45
2017-12-29,65.04
2018-01-05,65.83
2018-01-12,65.52
2018-01-19,65.63
2018-01-26,67.62
2018-02-02,65.72
2018-02-09,64.13
2018-02-16,66.89
2018-02-23,67.36
2018-03-02,69.43
2018-03-09,76.07
2018-03-16,74.02
2018-03-23,70.19
2018-03-30,70.98
2018-04-06,69.34
2018-04-13,71.43
2018-04-20,71.3
2018-04-27,71.1
2018-05-04,72.01
2018-05-11,76.3
2018-05-18,75.34
