date,value
2015-01-02,159.89
2015-01-09,155.73
2015-01-16,158.43
2015-01-23,159.81
2015-01-30,152.26
2015-02-06,151.4
2015-02-13,153.48
2015-02-20,157.66
2015-02-27,157.72
2015-03-06,154.88
2015-03-13,154.26
2015-03-20,170.1
2015-03-27,162.59
2015-04-03,155.88
2015-04-10,163.38
2015-04-17,163.58
2015-04-24,167.91
2015-05-01,160.36
2015-05-08,162.34
2015-05-15,162.36
2015-05-22,163.58
2015-05-29,156.26
2015-06-05,157.25
2015-06-12,156.12
2015-06-19,160.72
2015-06-26,158.02
2015-07-03,153.26
2015-07-10,154.1
2015-07-17,163.27
2015-07-24,158.59
2015-07-31,176.59
2015-08-07,172.31
2015-08-14,167.72
2015-08-21,155.19
2015-08-28,155.89
2015-09-04,147.02
2015-09-11,153.21
2015-09-18,150.59
2015-09-25,138.53
2015-10-02,142.47
2015-10-09,149.59
2015-10-16,152.61
2015-10-23,155.75
2015-10-30,158.18
2015-11-06,160.46
2015-11-13,151.55
2015-11-20,159.91
2015-11-27,163.52
2015-12-04,161.43
2015-12-11,155.15
2015-12-18,158.8
2015-12-25,163.55
2016-01-01,162.33
2016-01-08,150.705
2016-01-15,151.3
2016-01-22,156.08
2016-01-29,152.73
2016-02-05,145.04
2016-02-12,144.72
2016-02-19,150.12
2016-02-26,147.6
2016-03-04,145.98
2016-03-11,144.57
2016-03-18,145.51
2016-03-25,149.24
2016-04-01,154.16
2016-04-08,156.46
2016-04-15,160.13
2016-04-22,163.19
2016-04-29,158.3
2016-05-06,153.19
2016-05-13,152.35
2016-05-20,150.18
2016-05-27,156.74
2016-06-03,159.19
2016-06-10,154.78
2016-06-17,149.62
2016-06-24,146.45
2016-07-01,154.28
2016-07-08,161.1
2016-07-15,163.28
2016-07-22,165.67
2016-07-29,172.03
2016-08-05,173.66
2016-08-12,173.02
2016-08-19,173.62
2016-08-26,171.97
2016-09-02,169.77
2016-09-09,166.55
2016-09-16,172.96
2016-09-23,174.8
2016-09-30,166.81
2016-10-07,167.5
2016-10-14,161.9
2016-10-21,158.51
2016-10-28,145.18
2016-11-04,135.4
2016-11-11,149.04
2016-11-18,145.23
2016-11-25,145.43
2016-12-02,144.01
2016-12-09,143.45
2016-12-16,149.37
2016-12-23,147.55
2016-12-30,146.21
2017-01-06,156.78
2017-01-13,156.12
2017-01-20,154.67
2017-01-27,157.16
2017-02-03,167.53
2017-02-10,167.89
2017-02-17,173.29
2017-02-24,174.56
2017-03-03,180.2
2017-03-10,181.44
2017-03-17,168.61
2017-03-24,165.74
2017-03-31,164.07
2017-04-07,163.38
2017-04-14,161.61
2017-04-21,160.41
2017-04-28,163.32
2017-05-05,163.81
2017-05-12,160.22
2017-05-19,156.51
2017-05-26,155.01
2017-06-02,159.15
2017-06-09,164.06
2017-06-16,162.42
2017-06-23,172.5
2017-06-30,172.23
2017-07-07,171.43
2017-07-14,177.13
2017-07-21,180.21
2017-07-28,174.54
2017-08-04,173.85
2017-08-11,169.43
2017-08-18,167.29
2017-08-25,169.74
2017-09-01,178.71
2017-09-08,180.64
2017-09-15,187.47
2017-09-22,185.76
2017-09-29,186.45
2017-10-06,185.82
2017-10-13,183.01
2017-10-20,182.96
2017-10-27,175.28
2017-11-03,173.44
2017-11-10,172.35
2017-11-17,170.0
2017-11-24,170.12
2017-12-01,177.2
2017-12-08,175.41
2017-12-15,177.04
2017-12-22,176.42
2017-12-29,173.9
2018-01-05,180.65
2018-01-12,185.04
2018-01-19,189.28
2018-01-26,196.01
2018-02-02,187.01
2018-02-09,173.46
2018-02-16,183.55
2018-02-23,186.67
2018-03-02,185.08
2018-03-09,191.1
2018-03-16,188.24
2018-03-23,169.43
2018-03-30,170.48
2018-04-06,168.14
2018-04-13,171.48
2018-04-20,171.56
2018-04-27,177.46
2018-05-04,167.98
2018-05-11,173.89
2018-05-18,176.3
2018-05-25,178.24
2018-06-01,183.57
2018-06-08,184.3
2018-06-15,185.01
2018-06-22,185.15
2018-06-29,184.59
2018-07-06,191.01
2018-07-13,195.91
2018-07-20,190.49
2018-07-27,192.44
2018-08-03,197.99
2018-08-10,194.42
2018-08-17,197.42
2018-08-24,196.64
2018-08-31,199.81
2018-09-07,196.3
2018-09-14,200.58
2018-09-21,205.1
2018-09-28,207.29
2018-10-05,204.02
2018-10-12,197.39
2018-10-19,201.8
2018-10-26,185.98
2018-11-02,187.06
2018-11-09,193.16
2018-11-16,194.18
2018-11-23,192.57
2018-11-30,208.25
2018-12-07,191.44
2018-12-14,192.07
2018-12-21,180.21
2018-12-28,190.73
2019-01-04,195.44
2019-01-11,200.56
2019-01-18,203.88
2019-01-25,198.77
2019-02-01,187.07
2019-02-08,186.0
2019-02-15,188.34
2019-02-22,187.5
2019-03-01,191.16
2019-03-08,180.87
2019-03-15,191.24
2019-03-22,186.7
2019-03-29,189.98
2019-04-05,195.41
2019-04-12,191.42
2019-04-19,177.47
2019-04-26,181.47
2019-05-03,177.31
2019-05-10,171.85
2019-05-17,169.91
2019-05-24,171.28
2019-05-31,166.7
2019-06-07,175.51
2019-06-14,176.08
2019-06-21,187.11
2019-06-28,184.28
2019-07-05,185.94
2019-07-12,174.93
2019-07-19,178.39
2019-07-26,175.34
2019-08-02,187.22
2019-08-09,196.25
2019-08-16,204.02
2019-08-23,199.08
2019-08-30,208.62
2019-09-06,207.73
2019-09-13,195.47
2019-09-20,196.94
2019-09-27,194.94
2019-10-04,195.59
2019-10-11,200.8
2019-10-18,202.72
2019-10-25,203.05
2019-11-01,217.95
2019-11-08,221.11
2019-11-15,220.86
2019-11-22,230.74
2019-11-29,234.72
2019-12-06,233.77
2019-12-13,236.74
2019-12-20,243.06
2019-12-27,241.53
2020-01-03,238.47
