date,value
2015-01-02,308.52
2015-01-09,296.93
2015-01-16,290.74
2015-01-23,312.39
2015-01-30,354.53
2015-02-06,374.28
2015-02-13,381.83
2015-02-20,383.66
2015-02-27,380.16
2015-03-06,380.09
2015-03-13,370.58
2015-03-20,378.49
2015-03-27,370.56
2015-04-03,372.25
2015-04-10,382.65
2015-04-17,375.56
2015-04-24,445.1
2015-05-01,422.87
2015-05-08,433.69
2015-05-15,426.0
2015-05-22,427.63
2015-05-29,429.23
2015-06-05,426.95
2015-06-12,429.92
2015-06-19,434.92
2015-06-26,438.1
2015-07-03,437.71
2015-07-10,443.51
2015-07-17,483.01
2015-07-24,529.42
2015-07-31,536.15
2015-08-07,522.62
2015-08-14,531.52
2015-08-21,494.47
2015-08-28,518.01
2015-09-04,499.0
2015-09-11,529.44
2015-09-18,540.26
2015-09-25,524.25
2015-10-02,532.54
2015-10-09,539.8
2015-10-16,570.76
2015-10-23,599.03
2015-10-30,625.9
2015-11-06,659.37
2015-11-13,642.35
2015-11-20,668.45
2015-11-27,673.26
2015-12-04,672.64
2015-12-11,640.15
2015-12-18,664.14
2015-12-25,662.79
2016-01-01,675.89
2016-01-08,607.05
2016-01-15,570.18
2016-01-22,596.38
2016-01-29,587.0
2016-02-05,502.13
2016-02-12,507.08
2016-02-19,534.9
2016-02-26,555.23
2016-03-04,575.14
2016-03-11,569.61
2016-03-18,552.08
2016-03-25,582.95
2016-04-01,598.5
2016-04-08,594.6
2016-04-15,625.89
2016-04-22,620.5
2016-04-29,659.59
2016-05-06,673.95
2016-05-13,709.92
2016-05-20,702.8
2016-05-27,712.24
2016-06-03,725.54
2016-06-10,717.91
2016-06-17,706.39
2016-06-24,698.96
2016-07-01,725.68
2016-07-08,745.81
2016-07-15,735.44
2016-07-22,744.86
2016-07-29,758.81
2016-08-05,765.98
2016-08-12,772.56
2016-08-19,757.31
2016-08-26,769.0
2016-09-02,772.44
2016-09-09,760.14
2016-09-16,778.52
2016-09-23,805.75
2016-09-30,837.31
2016-10-07,839.43
2016-10-14,822.96
2016-10-21,818.99
2016-10-28,776.32
2016-11-04,755.05
2016-11-11,739.01
2016-11-18,760.16
2016-11-25,780.37
