date,value
2015-01-02,32.62
2015-01-09,32.57
2015-01-16,32.6
2015-01-23,32.83
2015-01-30,32.72
2015-02-06,32.53
2015-02-13,32.72
2015-02-20,32.87
2015-02-27,32.99
2015-03-06,32.56
2015-03-13,32.5
2015-03-20,33.05
2015-03-27,32.94
2015-04-03,33.03
2015-04-10,33.21
2015-04-17,33.21
2015-04-24,33.39
2015-05-01,33.04
2015-05-08,33.12
2015-05-15,33.12
2015-05-22,33.07
2015-05-29,32.99
2015-06-05,32.53
2015-06-12,32.53
2015-06-19,32.76
2015-06-26,32.59
2015-07-03,32.33
2015-07-10,32.34
2015-07-17,32.56
2015-07-24,32.42
2015-07-31,32.58
2015-08-07,32.44
2015-08-14,32.38
2015-08-21,31.81
2015-08-28,31.88
2015-09-04,31.51
2015-09-11,31.66
2015-09-18,31.83
2015-09-25,31.45
2015-10-02,31.65
2015-10-09,32.04
2015-10-16,32.18
2015-10-23,32.31
2015-10-30,32.22
2015-11-06,32.01
2015-11-13,31.77
2015-11-20,32.05
2015-11-27,32.08
2015-12-04,32.04
2015-12-11,31.67
2015-12-18,31.68
2015-12-25,31.85
2016-01-01,31.64
2016-01-08,31.13
2016-01-15,30.85
2016-01-22,30.95
2016-01-29,31.3
2016-02-05,31.01
2016-02-12,30.95
2016-02-19,31.22
2016-02-26,31.37
2016-03-04,31.71
2016-03-11,31.87
2016-03-18,32.13
2016-03-25,32.02
2016-04-01,32.29
2016-04-08,32.24
2016-04-15,32.48
2016-04-22,32.54
2016-04-29,32.47
2016-05-06,32.33
2016-05-13,32.35
2016-05-20,32.28
2016-05-27,32.5
2016-06-03,32.66
2016-06-10,32.64
2016-06-17,32.57
2016-06-24,32.36
2016-07-01,32.96
2016-07-08,33.02
2016-07-15,33.04
2016-07-22,33.16
2016-07-29,33.36
2016-08-05,33.21
2016-08-12,33.42
2016-08-19,33.41
2016-08-26,33.27
2016-09-02,33.38
2016-09-09,33.07
2016-09-16,32.98
2016-09-23,33.35
2016-09-30,33.38
2016-10-07,33.1
2016-10-14,32.91
2016-10-21,33.1
2016-10-28,32.84
2016-11-04,32.68
2016-11-11,32.45
2016-11-18,32.31
2016-11-25,32.41
2016-12-02,32.31
2016-12-09,32.59
2016-12-16,32.42
2016-12-23,32.58
2016-12-30,32.53
2017-01-06,32.73
2017-01-13,32.75
2017-01-20,32.64
2017-01-27,32.81
2017-02-03,32.77
2017-02-10,33.0
2017-02-17,33.09
2017-02-24,33.22
2017-03-03,33.07
2017-03-10,32.92
2017-03-17,33.19
2017-03-24,33.23
2017-03-31,33.33
2017-04-07,33.26
2017-04-14,33.38
2017-04-21,33.42
2017-04-28,33.63
2017-05-05,33.68
2017-05-12,33.7
2017-05-19,33.85
2017-05-26,33.93
2017-06-02,34.13
2017-06-09,34.04
2017-06-16,34.1
2017-06-23,34.14
2017-06-30,33.98
2017-07-07,33.67
2017-07-14,34.05
2017-07-21,34.17
2017-07-28,34.2
2017-08-04,34.25
2017-08-11,34.1
2017-08-18,34.1
2017-08-25,34.22
2017-09-01,34.4
2017-09-08,34.44
2017-09-15,34.45
2017-09-22,34.44
2017-09-29,34.48
2017-10-06,34.44
2017-10-13,34.71
2017-10-20,34.64
2017-10-27,34.63
2017-11-03,34.7
2017-11-10,34.57
2017-11-17,34.65
2017-11-24,34.85
2017-12-01,34.8
2017-12-08,34.53
2017-12-15,34.54
2017-12-22,34.51
