date,value
2015-01-02,35.13
2015-01-09,35.09
2015-01-16,35.13
2015-01-23,35.38
2015-01-30,35.16
2015-02-06,35.13
2015-02-13,35.36
2015-02-20,35.63
2015-02-27,35.72
2015-03-06,35.27
2015-03-13,35.23
2015-03-20,35.91
2015-03-27,35.69
2015-04-03,35.68
2015-04-10,35.88
2015-04-17,35.94
2015-04-24,36.15
2015-05-01,35.87
2015-05-08,35.93
2015-05-15,36.07
2015-05-22,35.91
2015-05-29,35.8
2015-06-05,35.36
2015-06-12,35.42
2015-06-19,35.53
2015-06-26,35.47
2015-07-03,35.07
2015-07-10,34.99
2015-07-17,35.34
2015-07-24,35.03
2015-07-31,35.28
2015-08-07,35.05
2015-08-14,35.08
2015-08-21,34.2
2015-08-28,34.33
2015-09-04,33.79
2015-09-11,34.18
2015-09-18,34.24
2015-09-25,33.88
2015-10-02,34.04
2015-10-09,34.55
2015-10-16,34.72
2015-10-23,34.88
2015-10-30,34.73
2015-11-06,34.62
2015-11-13,34.25
2015-11-20,34.67
2015-11-27,34.67
2015-12-04,34.67
2015-12-11,34.14
2015-12-18,34.13
2015-12-25,34.43
2016-01-01,34.05
2016-01-08,33.28
2016-01-15,32.95
2016-01-22,33.11
2016-01-29,33.51
2016-02-05,33.14
2016-02-12,32.97
2016-02-19,33.41
2016-02-26,33.58
2016-03-04,34.11
2016-03-11,34.35
2016-03-18,34.65
2016-03-25,34.42
2016-04-01,34.77
2016-04-08,34.61
2016-04-15,34.94
2016-04-22,35.04
2016-04-29,34.91
2016-05-06,34.78
2016-05-13,34.75
2016-05-20,34.65
2016-05-27,35.05
2016-06-03,35.27
2016-06-10,35.1
2016-06-17,35.01
2016-06-24,34.78
2016-07-01,35.44
2016-07-08,35.41
2016-07-15,35.58
2016-07-22,35.67
2016-07-29,35.92
2016-08-05,35.83
2016-08-12,36.05
2016-08-19,36.06
2016-08-26,35.9
2016-09-02,36.1
2016-09-09,35.73
2016-09-16,35.58
2016-09-23,36.01
2016-09-30,36.09
2016-10-07,35.64
2016-10-14,35.46
2016-10-21,35.68
2016-10-28,35.43
2016-11-04,35.2
2016-11-11,35.09
2016-11-18,34.99
2016-11-25,35.08
2016-12-02,35.05
2016-12-09,35.49
2016-12-16,35.28
2016-12-23,35.42
2016-12-30,35.23
2017-01-06,35.46
2017-01-13,35.62
2017-01-20,35.47
2017-01-27,35.61
2017-02-03,35.7
2017-02-10,35.93
2017-02-17,36.09
2017-02-24,36.23
2017-03-03,36.12
2017-03-10,36.01
2017-03-17,36.3
2017-03-24,36.29
2017-03-31,36.35
2017-04-07,36.25
2017-04-14,36.31
2017-04-21,36.42
2017-04-28,36.64
2017-05-05,36.86
2017-05-12,36.88
2017-05-19,37.02
2017-05-26,37.08
2017-06-02,37.46
2017-06-09,37.31
2017-06-16,37.39
2017-06-23,37.44
2017-06-30,37.27
2017-07-07,36.9
2017-07-14,37.31
2017-07-21,37.52
2017-07-28,37.49
2017-08-04,37.62
2017-08-11,37.36
2017-08-18,37.36
2017-08-25,37.56
2017-09-01,37.75
2017-09-08,37.83
2017-09-15,37.94
2017-09-22,37.94
2017-09-29,37.97
2017-10-06,37.87
2017-10-13,38.12
2017-10-20,38.14
2017-10-27,38.14
2017-11-03,38.23
2017-11-10,38.07
2017-11-17,38.2
2017-11-24,38.48
2017-12-01,38.48
2017-12-08,38.45
2017-12-15,38.64
2017-12-22,38.61
2017-12-29,38.04
2018-01-05,38.48
2018-01-12,38.66
2018-01-19,38.73
2018-01-26,39.0
2018-02-02,38.22
2018-02-09,37.24
2018-02-16,38.06
2018-02-23,38.05
2018-03-02,37.7
2018-03-09,38.16
2018-03-16,38.05
2018-03-23,37.34
2018-03-30,37.77
2018-04-06,37.35
2018-04-13,37.59
2018-04-20,37.61
2018-04-27,37.54
2018-05-04,37.49
2018-05-11,37.79
2018-05-18,37.6
2018-05-25,37.73
2018-06-01,37.75
2018-06-08,37.89
2018-06-15,37.77
2018-06-22,37.7
2018-06-29,37.53
2018-07-06,37.44
2018-07-13,37.65
2018-07-20,37.66
2018-07-27,37.69
2018-08-03,37.77
2018-08-10,37.67
2018-08-17,37.71
2018-08-24,37.89
2018-08-31,37.96
2018-09-07,37.56
2018-09-14,37.79
2018-09-21,37.99
2018-09-28,37.89
2018-10-05,37.23
2018-10-12,36.67
2018-10-19,36.64
2018-10-26,36.17
2018-11-02,36.49
2018-11-09,36.67
2018-11-16,36.65
2018-11-23,36.19
2018-11-30,36.74
2018-12-07,36.29
2018-12-14,36.17
2018-12-21,35.44
2018-12-28,35.61
2019-01-04,35.94
2019-01-11,36.25
2019-01-18,36.62
2019-01-25,36.64
2019-02-01,36.98
2019-02-08,37.0
2019-02-15,37.32
2019-02-22,37.54
2019-03-01,37.53
2019-03-08,37.28
2019-03-15,37.79
2019-03-22,37.85
2019-03-29,38.06
2019-04-05,38.17
2019-04-12,38.19
2019-04-19,38.18
2019-04-26,38.37
2019-05-03,38.47
2019-05-10,38.1
2019-05-17,38.0
2019-05-24,37.88
2019-05-31,37.82
2019-06-07,38.49
2019-06-14,38.52
2019-06-21,39.01
2019-06-28,39.02
2019-07-05,38.94
2019-07-12,38.87
2019-07-19,38.86
2019-07-26,39.02
2019-08-02,38.76
2019-08-09,38.68
2019-08-16,38.76
2019-08-23,38.61
2019-08-30,39.05
2019-09-06,39.31
2019-09-13,39.19
2019-09-20,39.31
2019-09-27,39.21
2019-10-04,39.04
2019-10-11,39.07
2019-10-18,39.18
2019-10-25,39.36
2019-11-01,39.67
2019-11-08,39.56
2019-11-15,39.75
2019-11-22,39.77
2019-11-29,39.85
2019-12-06,39.94
2019-12-13,40.14
2019-12-20,40.28
2019-12-27,40.14
2020-01-03,40.26
