date,value
2015-01-02,94.33
2015-01-09,94.78
2015-01-16,95.56
2015-01-23,94.42
2015-01-30,90.05
2015-02-06,96.42
2015-02-13,100.56
2015-02-20,100.34
2015-02-27,100.36
2015-03-06,98.79
2015-03-13,96.88
2015-03-20,99.3
2015-03-27,95.87
2015-04-03,96.63
2015-04-10,98.25
2015-04-17,96.17
2015-04-24,97.84
2015-05-01,98.42
2015-05-08,99.89
2015-05-15,99.55
2015-05-22,102.89
2015-05-29,101.22
2015-06-05,100.97
2015-06-12,102.23
2015-06-19,102.99
2015-06-26,102.75
2015-07-03,99.51
2015-07-10,101.78
2015-07-17,102.41
2015-07-24,101.28
2015-07-31,100.77
2015-08-07,101.32
2015-08-14,101.3
2015-08-21,96.53
2015-08-28,93.54
2015-09-04,90.29
2015-09-11,91.32
2015-09-18,89.31
2015-09-25,90.02
2015-10-02,89.78
2015-10-09,91.29
2015-10-16,91.62
2015-10-23,92.49
2015-10-30,93.31
2015-11-06,93.57
2015-11-13,93.1
2015-11-20,94.86
2015-11-27,94.65
2015-12-04,96.65
2015-12-11,93.3
2015-12-18,90.99
2015-12-25,92.05
2016-01-01,92.21
2016-01-08,87.02
2016-01-15,86.09
2016-01-22,86.41
2016-01-29,87.83
2016-02-05,92.87
2016-02-12,93.8
2016-02-19,93.58
2016-02-26,95.76
2016-03-04,98.93
2016-03-11,100.48
2016-03-18,101.47
2016-03-25,101.13
2016-04-01,104.87
2016-04-08,101.31
2016-04-15,104.3
2016-04-22,103.23
2016-04-29,105.12
2016-05-06,104.78
2016-05-13,105.81
2016-05-20,105.39
2016-05-27,108.63
2016-06-03,108.72
2016-06-10,109.37
2016-06-17,106.86
2016-06-24,104.01
2016-07-01,109.77
2016-07-08,109.57
2016-07-15,110.84
2016-07-22,110.56
2016-07-29,107.07
2016-08-05,110.65
2016-08-12,109.61
2016-08-19,108.56
2016-08-26,110.03
2016-09-02,112.1
2016-09-09,108.93
2016-09-16,109.4
2016-09-23,112.15
2016-09-30,112.49
2016-10-07,112.5
2016-10-14,110.69
2016-10-21,109.55
2016-10-28,111.3
2016-11-04,107.79
2016-11-11,110.49
2016-11-18,111.96
2016-11-25,113.81
2016-12-02,111.62
2016-12-09,113.03
2016-12-16,112.09
2016-12-23,112.89
2016-12-30,111.53
2017-01-06,114.35
2017-01-13,113.29
2017-01-20,112.07
2017-01-27,113.39
2017-02-03,114.06
2017-02-10,115.59
2017-02-17,117.53
2017-02-24,116.56
2017-03-03,116.48
2017-03-10,117.86
2017-03-17,118.91
2017-03-24,117.54
2017-03-31,118.69
2017-04-07,119.64
2017-04-14,118.1
2017-04-21,118.43
2017-04-28,119.84
