date,value
2015-01-02,15.85
2015-01-09,15.84
2015-01-16,15.85
2015-01-23,16.005
2015-01-30,16.65
2015-02-06,16.88
2015-02-13,16.85
2015-02-20,16.92
2015-02-27,17.3
2015-03-06,17.6
2015-03-13,16.84
2015-03-20,17.03
2015-03-27,17.16
2015-04-03,17.14
2015-04-10,17.14
2015-04-17,17.08
2015-04-24,17.21
2015-05-01,16.95
2015-05-08,16.39
2015-05-15,16.54
2015-05-22,16.62
2015-05-29,16.75
2015-06-05,16.47
2015-06-12,16.07
2015-06-19,16.58
2015-06-26,16.52
2015-07-03,16.58
2015-07-10,16.44
2015-07-17,16.48
2015-07-24,15.99
2015-07-31,16.09
2015-08-07,15.72
2015-08-14,16.09
2015-08-21,15.39
2015-08-28,15.68
2015-09-04,15.42
2015-09-11,14.86
2015-09-18,14.77
2015-09-25,15.05
2015-10-02,14.96
2015-10-09,15.38
2015-10-16,15.15
2015-10-23,15.55
2015-10-30,15.23
2015-11-06,15.72
2015-11-13,15.31
2015-11-20,15.61
2015-11-27,15.87
2015-12-04,15.76
2015-12-11,14.39
2015-12-18,13.97
2015-12-25,14.64
2016-01-01,14.25
2016-01-08,13.91
2016-01-15,13.49
2016-01-22,13.8
2016-01-29,13.9
2016-02-05,13.6
2016-02-12,12.87
2016-02-19,12.75
2016-02-26,13.51
2016-03-04,14.19
2016-03-11,13.98
2016-03-18,14.28
2016-03-25,14.48
2016-04-01,15.09
2016-04-08,14.89
2016-04-15,14.92
2016-04-22,15.13
2016-04-29,15.19
2016-05-06,15.17
2016-05-13,15.26
2016-05-20,15.19
2016-05-27,14.89
2016-06-03,14.77
2016-06-10,14.49
2016-06-17,14.02
2016-06-24,14.25
2016-07-01,14.25
2016-07-08,13.96
2016-07-15,14.3
2016-07-22,15.1
2016-07-29,15.14
2016-08-05,15.46
2016-08-12,15.46
2016-08-19,15.68
2016-08-26,16.0
2016-09-02,16.39
2016-09-09,15.87
2016-09-16,15.44
2016-09-23,15.57
2016-09-30,15.5
2016-10-07,15.5
2016-10-14,15.24
2016-10-21,15.34
2016-10-28,15.48
2016-11-04,15.27
2016-11-11,15.49
2016-11-18,15.7
2016-11-25,16.24
2016-12-02,16.08
2016-12-09,16.79
2016-12-16,15.87
2016-12-23,16.16
2016-12-30,16.49
2017-01-06,16.91
2017-01-13,16.97
2017-01-20,16.82
2017-01-27,16.99
2017-02-03,17.14
2017-02-10,17.47
2017-02-17,17.66
2017-02-24,17.79
2017-03-03,17.75
2017-03-10,17.66
2017-03-17,17.23
2017-03-24,17.37
2017-03-31,17.38
2017-04-07,17.59
2017-04-14,17.465
2017-04-21,17.4
2017-04-28,17.6
2017-05-05,16.62
2017-05-12,16.33
2017-05-19,16.48
2017-05-26,16.79
2017-06-02,16.83
2017-06-09,16.81
2017-06-16,16.3
2017-06-23,16.29
2017-06-30,16.38
2017-07-07,16.33
2017-07-14,16.43
2017-07-21,16.47
2017-07-28,16.42
2017-08-04,16.43
2017-08-11,16.06
2017-08-18,15.85
2017-08-25,16.15
2017-09-01,16.14
2017-09-08,15.89
2017-09-15,15.74
2017-09-22,15.85
2017-09-29,16.39
2017-10-06,16.49
2017-10-13,16.59
2017-10-20,16.55
2017-10-27,16.25
2017-11-03,15.99
2017-11-10,16.2
2017-11-17,16.4
2017-11-24,16.37
2017-12-01,16.2
2017-12-08,16.42
2017-12-15,15.8
2017-12-22,15.8
2017-12-29,15.72
2018-01-05,15.79
2018-01-12,16.03
2018-01-19,15.99
2018-01-26,16.28
2018-02-02,15.84
2018-02-09,15.46
2018-02-16,15.98
2018-02-23,15.9
2018-03-02,15.71
2018-03-09,15.9
2018-03-16,15.34
2018-03-23,15.71
2018-03-30,15.87
2018-04-06,15.98
2018-04-13,15.965
2018-04-20,15.98
2018-04-27,16.03
2018-05-04,16.31
2018-05-11,16.6
2018-05-18,16.56
2018-05-25,16.74
2018-06-01,16.93
2018-06-08,17.09
2018-06-15,16.74
2018-06-22,16.56
2018-06-29,16.45
2018-07-06,16.5
2018-07-13,16.54
2018-07-20,16.88
2018-07-27,16.84
2018-08-03,17.29
2018-08-10,17.35
2018-08-17,17.35
2018-08-24,17.4
2018-08-31,17.46
2018-09-07,17.45
2018-09-14,17.33
2018-09-21,17.33
2018-09-28,17.19
2018-10-05,16.79
2018-10-12,16.37
2018-10-19,16.26
2018-10-26,16.12
2018-11-02,17.15
2018-11-09,17.58
2018-11-16,17.22
2018-11-23,16.98
2018-11-30,17.04
2018-12-07,16.58
2018-12-14,16.02
2018-12-21,14.84
2018-12-28,15.58
2019-01-04,15.76
2019-01-11,16.29
2019-01-18,16.24
2019-01-25,16.1
2019-02-01,16.3
2019-02-08,16.54
2019-02-15,17.16
2019-02-22,17.44
2019-03-01,17.37
2019-03-08,17.26
2019-03-15,17.17
2019-03-22,17.0
2019-03-29,17.14
2019-04-05,17.44
2019-04-12,17.35
2019-04-19,17.35
2019-04-26,17.59
2019-05-03,17.74
2019-05-10,17.77
2019-05-17,17.78
2019-05-24,17.88
2019-05-31,17.56
2019-06-07,17.96
2019-06-14,17.86
2019-06-21,17.94
2019-06-28,17.94
2019-07-05,18.12
2019-07-12,18.22
2019-07-19,18.16
2019-07-26,18.21
2019-08-02,18.44
2019-08-09,18.59
2019-08-16,18.64
2019-08-23,18.57
2019-08-30,18.86
2019-09-06,18.92
2019-09-13,19.02
2019-09-20,18.85
2019-09-27,18.76
2019-10-04,18.275
2019-10-11,18.365
2019-10-18,18.555
2019-10-25,18.38
2019-11-01,18.5
2019-11-08,18.53
2019-11-15,18.66
2019-11-22,18.56
2019-11-29,18.73
2019-12-06,18.74
2019-12-13,18.5
2019-12-20,18.66
2019-12-27,18.63
2020-01-03,18.66
