date,value
2015-01-02,107.4
2015-01-09,102.09
2015-01-16,103.04
2015-01-23,105.31
2015-01-30,103.94
2015-02-06,100.79
2015-02-13,104.48
2015-02-20,104.85
2015-02-27,107.68
2015-03-06,107.32
2015-03-13,105.48
2015-03-20,110.16
2015-03-27,101.86
2015-04-03,100.74
2015-04-10,100.02
2015-04-17,94.5
2015-04-24,107.16
2015-05-01,108.37
2015-05-08,107.74
2015-05-15,111.05
2015-05-22,110.98
2015-05-29,112.3
2015-06-05,109.1
2015-06-12,107.91
2015-06-19,108.81
2015-06-26,108.78
2015-07-03,104.6
2015-07-10,102.7
2015-07-17,100.55
2015-07-24,98.53
2015-07-31,99.17
2015-08-07,96.97
2015-08-14,92.69
2015-08-21,85.91
2015-08-28,91.98
2015-09-04,91.37
2015-09-11,91.68
2015-09-18,90.01
2015-09-25,85.35
2015-10-02,88.41
2015-10-09,90.87
2015-10-16,88.65
2015-10-23,93.64
2015-10-30,92.79
2015-11-06,96.33
2015-11-13,91.4
2015-11-20,91.44
2015-11-27,92.49
2015-12-04,92.0
2015-12-11,87.28
2015-12-18,87.42
2015-12-25,91.44
2016-01-01,88.77
2016-01-08,80.28
2016-01-15,77.47
2016-01-22,90.36
2016-01-29,91.84
2016-02-05,88.36
2016-02-12,82.04
2016-02-19,88.01
2016-02-26,90.82
2016-03-04,95.35
2016-03-11,97.75
2016-03-18,97.98
2016-03-25,96.93
2016-04-01,100.57
2016-04-08,100.65
2016-04-15,99.55
2016-04-22,95.87
2016-04-29,96.6
2016-05-06,92.33
2016-05-13,91.3
2016-05-20,95.48
2016-05-27,100.08
2016-06-03,100.85
2016-06-10,97.38
2016-06-17,94.65
2016-06-24,95.01
2016-07-01,98.44
2016-07-08,97.22
2016-07-15,101.61
2016-07-22,105.63
2016-07-29,109.62
2016-08-05,109.6
2016-08-12,110.27
2016-08-19,106.73
2016-08-26,106.31
2016-09-02,107.86
2016-09-09,101.71
2016-09-16,102.2
2016-09-23,108.57
2016-09-30,109.58
2016-10-07,106.38
2016-10-14,101.12
2016-10-21,105.26
2016-10-28,105.46
2016-11-04,102.49
2016-11-11,100.25
2016-11-18,104.59
2016-11-25,104.14
2016-12-02,99.78
2016-12-09,102.66
2016-12-16,106.24
2016-12-23,110.73
2016-12-30,112.2
2017-01-06,111.12
2017-01-13,115.3
2017-01-20,122.05
2017-01-27,121.77
2017-02-03,123.01
2017-02-10,124.85
2017-02-17,126.88
2017-02-24,122.53
2017-03-03,122.98
2017-03-10,125.0
2017-03-17,127.9
2017-03-24,132.24
2017-03-31,132.8
2017-04-07,131.18
2017-04-14,128.38
2017-04-21,130.03
2017-04-28,131.85
2017-05-05,135.84
2017-05-12,135.44
2017-05-19,134.85
2017-05-26,134.2
2017-06-02,134.7
2017-06-09,130.03
2017-06-16,129.63
2017-06-23,134.64
2017-06-30,130.31
2017-07-07,132.89
2017-07-14,139.92
2017-07-21,154.29
