date,value
2015-01-02,6.02
2015-01-09,6.26
2015-01-16,6.48
2015-01-23,6.68
2015-01-30,6.61
2015-02-06,6.77
2015-02-13,7.36
2015-02-20,7.28
2015-02-27,7.1
2015-03-06,7.39
2015-03-13,7.36
2015-03-20,7.62
2015-03-27,7.21
2015-04-03,7.17
2015-04-10,7.22
2015-04-17,6.99
2015-04-24,7.33
2015-05-01,7.24
2015-05-08,7.05
2015-05-15,7.08
2015-05-22,6.95
2015-05-29,7.06
2015-06-05,6.77
2015-06-12,6.46
2015-06-19,6.52
2015-06-26,6.73
2015-07-03,6.62
2015-07-10,6.49
2015-07-17,6.35
2015-07-24,5.56
2015-07-31,5.6
2015-08-07,5.33
2015-08-14,5.14
2015-08-21,4.94
2015-08-28,4.91
2015-09-04,4.76
2015-09-11,5.48
2015-09-18,5.5
2015-09-25,5.14
2015-10-02,5.42
2015-10-09,5.34
2015-10-16,5.95
2015-10-23,6.12
2015-10-30,5.74
2015-11-06,5.79
2015-11-13,5.41
2015-11-20,5.56
2015-11-27,5.44
2015-12-04,5.64
2015-12-11,5.31
2015-12-18,5.43
2015-12-25,5.78
2016-01-01,5.67
2016-01-08,5.11
2016-01-15,5.02
2016-01-22,5.18
2016-01-29,5.35
2016-02-05,5.23
2016-02-12,5.05
2016-02-19,5.5
2016-02-26,5.61
2016-03-04,5.87
2016-03-11,5.84
2016-03-18,5.69
2016-03-25,5.76
2016-04-01,5.74
2016-04-08,5.52
2016-04-15,5.55
2016-04-22,5.35
2016-04-29,5.13
2016-05-06,4.66
2016-05-13,4.41
2016-05-20,4.51
2016-05-27,5.78
2016-06-03,5.71
2016-06-10,5.57
2016-06-17,5.41
2016-06-24,5.27
2016-07-01,5.55
2016-07-08,5.45
2016-07-15,5.58
2016-07-22,5.78
2016-07-29,5.75
2016-08-05,6.21
2016-08-12,6.19
2016-08-19,5.98
2016-08-26,6.06
2016-09-02,6.03
2016-09-09,5.9
2016-09-16,5.76
2016-09-23,5.95
2016-09-30,5.91
2016-10-07,6.04
2016-10-14,5.98
2016-10-21,5.91
2016-10-28,5.8
2016-11-04,5.73
2016-11-11,5.34
2016-11-18,5.31
2016-11-25,5.38
2016-12-02,5.31
2016-12-09,5.32
2016-12-16,5.17
2016-12-23,5.04
2016-12-30,5.04
2017-01-06,5.28
2017-01-13,5.42
2017-01-20,5.26
2017-01-27,5.8
2017-02-03,5.92
2017-02-10,6.06
2017-02-17,6.08
2017-02-24,6.17
2017-03-03,6.13
2017-03-10,6.09
2017-03-17,6.46
2017-03-24,6.54
2017-03-31,6.48
2017-04-07,6.42
2017-04-14,6.25
2017-04-21,6.25
2017-04-28,6.26
2017-05-05,6.15
2017-05-12,6.16
2017-05-19,6.25
2017-05-26,6.32
2017-06-02,6.4
2017-06-09,6.22
2017-06-16,6.08
2017-06-23,6.13
2017-06-30,6.31
2017-07-07,6.28
2017-07-14,6.56
2017-07-21,6.49
2017-07-28,6.63
2017-08-04,6.54
2017-08-11,6.15
2017-08-18,6.02
2017-08-25,6.13
2017-09-01,6.13
2017-09-08,6.17
2017-09-15,5.99
2017-09-22,6.18
2017-09-29,6.18
2017-10-06,6.25
2017-10-13,6.39
2017-10-20,6.2
2017-10-27,6.32
2017-11-03,6.16
2017-11-10,6.15
2017-11-17,6.21
2017-11-24,7.07
2017-12-01,6.47
2017-12-08,6.39
2017-12-15,6.44
2017-12-22,6.47
2017-12-29,6.48
2018-01-05,6.7
2018-01-12,6.66
2018-01-19,7.22
2018-01-26,7.24
2018-02-02,7.12
2018-02-09,6.64
2018-02-16,6.88
2018-02-23,6.91
2018-03-02,7.06
2018-03-09,7.48
2018-03-16,7.22
2018-03-23,7.12
2018-03-30,7.26
2018-04-06,7.05
2018-04-13,7.44
2018-04-20,6.04
2018-04-27,6.3
2018-05-04,5.37
2018-05-11,5.34
2018-05-18,5.19
2018-05-25,5.24
2018-06-01,5.01
2018-06-08,5.09
2018-06-15,4.83
2018-06-22,4.68
2018-06-29,4.6
2018-07-06,4.46
2018-07-13,4.63
2018-07-20,4.53
2018-07-27,5.12
2018-08-03,5.0
2018-08-10,4.9
2018-08-17,4.76
2018-08-24,4.76
2018-08-31,4.9
2018-09-07,4.59
2018-09-14,4.63
2018-09-21,4.65
2018-09-28,4.83
2018-10-05,4.52
2018-10-12,4.11
2018-10-19,4.0
2018-10-26,3.9
2018-11-02,3.99
2018-11-09,3.85
2018-11-16,3.79
2018-11-23,3.64
2018-11-30,3.91
2018-12-07,3.76
2018-12-14,3.83
2018-12-21,3.65
2018-12-28,3.72
2019-01-04,3.5
2019-01-11,3.75
2019-01-18,3.83
2019-01-25,3.9
2019-02-01,3.97
2019-02-08,3.96
2019-02-15,3.81
2019-02-22,3.89
2019-03-01,4.02
2019-03-08,4.08
2019-03-15,4.0
2019-03-22,4.17
2019-03-29,4.31
2019-04-05,4.62
2019-04-12,4.49
2019-04-19,4.65
2019-04-26,4.64
2019-05-03,4.6
2019-05-10,4.36
2019-05-17,4.08
2019-05-24,3.67
2019-05-31,3.68
2019-06-07,3.65
2019-06-14,3.69
2019-06-21,3.91
2019-06-28,3.95
2019-07-05,4.19
2019-07-12,4.29
2019-07-19,4.4
2019-07-26,4.38
2019-08-02,4.28
2019-08-09,4.3
2019-08-16,4.27
2019-08-23,4.33
2019-08-30,4.5
2019-09-06,4.53
2019-09-13,4.69
2019-09-20,4.52
2019-09-27,4.5
2019-10-04,4.7
2019-10-11,4.81
2019-10-18,5.02
2019-10-25,5.14
2019-11-01,5.28
2019-11-08,5.12
2019-11-15,5.14
2019-11-22,4.98
2019-11-29,4.89
2019-12-06,5.22
2019-12-13,5.59
2019-12-20,5.6
2019-12-27,5.59
2020-01-03,5.4
