date,value
2016-12-09,44.05
2016-12-16,46.51
2016-12-23,46.74
2016-12-30,47.99
2017-01-06,47.12
2017-01-13,46.94
2017-01-20,46.33
2017-01-27,47.04
2017-02-03,48.0
2017-02-10,51.87
2017-02-17,50.46
2017-02-24,52.08
2017-03-03,52.02
2017-03-10,50.89
2017-03-17,52.12
2017-03-24,50.92
2017-03-31,49.99
2017-04-07,52.0
2017-04-14,51.69
2017-04-21,52.83
2017-04-28,53.31
2017-05-05,53.5
2017-05-12,52.99
2017-05-19,51.12
2017-05-26,49.14
2017-06-02,49.17
2017-06-09,50.03
2017-06-16,48.87
2017-06-23,50.25
2017-06-30,49.61
2017-07-07,49.27
2017-07-14,49.77
2017-07-21,50.03
2017-07-28,50.26
2017-08-04,49.9
2017-08-11,52.6
2017-08-18,51.66
2017-08-25,53.32
2017-09-01,54.34
2017-09-08,51.41
2017-09-15,53.12
2017-09-22,54.0
2017-09-29,53.84
2017-10-06,54.52
2017-10-13,54.58
2017-10-20,53.72
2017-10-27,53.24
2017-11-03,47.57
2017-11-10,48.22
2017-11-17,49.24
2017-11-24,48.95
2017-12-01,47.31
2017-12-08,51.5
2017-12-15,50.74
2017-12-22,51.82
2017-12-29,51.71
2018-01-05,51.11
2018-01-12,51.04
2018-01-19,51.59
2018-01-26,51.6
2018-02-02,50.35
2018-02-09,46.67
2018-02-16,49.29
2018-02-23,48.23
2018-03-02,47.86
2018-03-09,52.37
2018-03-16,49.99
2018-03-23,47.87
2018-03-30,47.81
2018-04-06,47.55
2018-04-13,48.1
2018-04-20,49.34
2018-04-27,49.54
2018-05-04,46.7
2018-05-11,46.51
2018-05-18,46.34
2018-05-25,47.05
2018-06-01,45.54
2018-06-08,45.81
2018-06-15,46.66
2018-06-22,44.51
2018-06-29,43.84
2018-07-06,44.72
2018-07-13,44.53
2018-07-20,43.95
2018-07-27,45.07
2018-08-03,49.23
2018-08-10,49.6
2018-08-17,49.98
2018-08-24,49.93
2018-08-31,49.66
2018-09-07,49.05
2018-09-14,51.11
2018-09-21,53.37
2018-09-28,51.66
2018-10-05,51.96
2018-10-12,48.56
2018-10-19,48.74
2018-10-26,45.54
2018-11-02,45.11
2018-11-09,47.49
2018-11-16,44.61
2018-11-23,44.21
2018-11-30,43.49
2018-12-07,39.92
2018-12-14,40.28
2018-12-21,38.38
2018-12-28,39.78
2019-01-04,41.76
2019-01-11,41.4
2019-01-18,43.49
2019-01-25,42.87
2019-02-01,43.94
2019-02-08,42.59
2019-02-15,44.33
2019-02-22,44.73
2019-03-01,44.58
2019-03-08,41.5
2019-03-15,43.4
2019-03-22,41.13
2019-03-29,40.8
2019-04-05,42.87
2019-04-12,43.38
2019-04-19,43.78
2019-04-26,44.48
2019-05-03,45.47
2019-05-10,45.23
2019-05-17,42.63
2019-05-24,43.09
2019-05-31,40.65
2019-06-07,43.03
2019-06-14,43.58
2019-06-21,42.58
2019-06-28,43.06
2019-07-05,44.24
2019-07-12,43.1
2019-07-19,42.15
2019-07-26,42.51
2019-08-02,38.59
2019-08-09,39.85
2019-08-16,38.93
2019-08-23,38.19
2019-08-30,38.86
2019-09-06,39.63
2019-09-13,42.55
2019-09-20,42.49
2019-09-27,42.54
2019-10-04,40.12
2019-10-11,39.48
2019-10-18,40.99
2019-10-25,42.0
2019-11-01,44.3
2019-11-08,43.94
2019-11-15,43.89
2019-11-22,44.23
2019-11-29,45.02
2019-12-06,44.36
2019-12-13,45.32
2019-12-20,47.76
2019-12-27,47.03
2020-01-03,47.06
