date,value
2015-01-02,55.9
2015-01-09,55.25
2015-01-16,58.47
2015-01-23,58.66
2015-01-30,56.91
2015-02-06,55.09
2015-02-13,52.52
2015-02-20,52.93
2015-02-27,53.04
2015-03-06,52.21
2015-03-13,53.09
2015-03-20,55.85
2015-03-27,54.61
2015-04-03,55.95
2015-04-10,55.37
2015-04-17,54.03
2015-04-24,55.68
2015-05-01,54.31
2015-05-08,53.91
2015-05-15,53.84
2015-05-22,53.5
2015-05-29,54.02
2015-06-05,51.44
2015-06-12,51.48
2015-06-19,52.7
2015-06-26,51.75
2015-07-03,52.17
2015-07-10,53.33
2015-07-17,54.16
2015-07-24,53.8
2015-07-31,55.3
2015-08-07,55.63
2015-08-14,57.42
2015-08-21,55.53
2015-08-28,55.58
2015-09-04,52.56
2015-09-11,54.08
2015-09-18,55.52
2015-09-25,57.66
2015-10-02,58.93
2015-10-09,59.0
2015-10-16,60.75
2015-10-23,59.93
2015-10-30,63.0
2015-11-06,59.81
2015-11-13,60.25
2015-11-20,62.51
2015-11-27,62.84
2015-12-04,62.25
2015-12-11,60.81
2015-12-18,62.81
2015-12-25,63.17
2016-01-01,63.04
2016-01-08,62.26
2016-01-15,62.97
2016-01-22,64.02
2016-01-29,69.22
2016-02-05,69.53
2016-02-12,69.83
2016-02-19,70.1
2016-02-26,70.15
2016-03-04,70.7
2016-03-11,70.95
2016-03-18,72.08
2016-03-25,72.38
2016-04-01,74.56
2016-04-08,74.19
2016-04-15,73.63
2016-04-22,71.31
2016-04-29,72.55
2016-05-06,73.59
2016-05-13,74.26
2016-05-20,72.1
2016-05-27,72.69
2016-06-03,74.73
2016-06-10,75.95
2016-06-17,75.98
2016-06-24,77.05
2016-07-01,80.47
2016-07-08,80.0
2016-07-15,80.06
2016-07-22,80.51
2016-07-29,79.79
2016-08-05,78.12
2016-08-12,77.26
2016-08-19,75.09
2016-08-26,73.79
2016-09-02,73.97
2016-09-09,71.88
2016-09-16,74.09
2016-09-23,76.64
2016-09-30,74.47
2016-10-07,70.07
2016-10-14,71.08
2016-10-21,71.72
2016-10-28,71.98
2016-11-04,70.97
2016-11-11,70.57
2016-11-18,71.63
2016-11-25,72.89
2016-12-02,71.47
2016-12-09,73.23
2016-12-16,74.16
2016-12-23,74.61
2016-12-30,74.15
2017-01-06,74.17
2017-01-13,74.86
2017-01-20,74.71
2017-01-27,75.34
2017-02-03,75.88
2017-02-10,75.45
2017-02-17,76.04
2017-02-24,78.18
2017-03-03,78.4
2017-03-10,77.83
2017-03-17,79.93
2017-03-24,80.14
2017-03-31,78.99
2017-04-07,80.12
2017-04-14,80.15
2017-04-21,79.83
2017-04-28,81.02
2017-05-05,82.17
2017-05-12,81.34
2017-05-19,81.08
2017-05-26,82.85
2017-06-02,84.88
2017-06-09,83.64
2017-06-16,85.54
2017-06-23,83.51
2017-06-30,82.95
2017-07-07,83.68
2017-07-14,83.79
2017-07-21,86.22
2017-07-28,86.57
2017-08-04,87.19
2017-08-11,87.16
2017-08-18,87.12
2017-08-25,88.47
2017-09-01,88.16
2017-09-08,87.22
2017-09-15,87.13
2017-09-22,83.89
2017-09-29,83.84
2017-10-06,85.23
2017-10-13,86.29
2017-10-20,86.87
2017-10-27,87.29
2017-11-03,87.59
2017-11-10,89.16
2017-11-17,89.33
2017-11-24,88.72
2017-12-01,92.24
2017-12-08,91.8
2017-12-15,89.37
2017-12-22,85.09
2017-12-29,85.89
2018-01-05,83.19
2018-01-12,79.84
2018-01-19,80.83
2018-01-26,83.02
2018-02-02,81.5
2018-02-09,81.11
2018-02-16,82.96
2018-02-23,82.59
2018-03-02,79.19
2018-03-09,80.23
2018-03-16,82.86
2018-03-23,80.03
2018-03-30,84.24
2018-04-06,84.15
2018-04-13,83.38
2018-04-20,83.9
2018-04-27,87.41
2018-05-04,89.73
2018-05-11,88.25
2018-05-18,84.91
2018-05-25,87.75
2018-06-01,87.98
2018-06-08,85.31
2018-06-15,86.79
2018-06-22,89.11
2018-06-29,90.14
2018-07-06,92.57
2018-07-13,91.13
2018-07-20,91.44
2018-07-27,90.88
2018-08-03,91.83
2018-08-10,91.27
2018-08-17,94.34
2018-08-24,92.22
2018-08-31,92.23
2018-09-07,93.62
2018-09-14,94.12
2018-09-21,94.01
2018-09-28,93.91
2018-10-05,94.64
2018-10-12,92.61
2018-10-19,97.07
2018-10-26,93.62
2018-11-02,92.14
2018-11-09,96.69
2018-11-16,99.03
2018-11-23,97.15
2018-11-30,95.67
2018-12-07,98.79
2018-12-14,98.47
2018-12-21,94.46
2018-12-28,91.66
2019-01-04,91.69
2019-01-11,91.9
2019-01-18,95.43
2019-01-25,94.83
2019-02-01,97.22
2019-02-08,97.97
2019-02-15,97.05
2019-02-22,99.48
2019-03-01,98.9
2019-03-08,100.16
2019-03-15,101.51
