date,value
2015-01-02,8.78
2015-01-09,10.14
2015-01-16,10.99
2015-01-23,10.92
2015-01-30,12.38
2015-02-06,12.26
2015-02-13,12.33
2015-02-20,11.47
2015-02-27,11.27
2015-03-06,9.56
2015-03-13,8.64
2015-03-20,9.84
2015-03-27,9.86
2015-04-03,9.42
2015-04-10,10.24
2015-04-17,11.41
2015-04-24,10.65
2015-05-01,11.43
2015-05-08,11.26
2015-05-15,10.98
2015-05-22,9.96
2015-05-29,9.58
2015-06-05,8.72
2015-06-12,9.06
2015-06-19,9.27
2015-06-26,9.11
2015-07-03,8.81
2015-07-10,8.1
2015-07-17,7.49
2015-07-24,6.78
2015-07-31,6.12
2015-08-07,5.73
2015-08-14,6.25
2015-08-21,8.13
2015-08-28,8.12
2015-09-04,7.6
2015-09-11,7.38
2015-09-18,8.5
2015-09-25,8.06
2015-10-02,8.4
2015-10-09,9.55
2015-10-16,9.34
2015-10-23,9.04
2015-10-30,8.44
2015-11-06,7.06
2015-11-13,6.89
2015-11-20,6.66
2015-11-27,6.27
2015-12-04,6.84
2015-12-11,7.24
2015-12-18,6.8
2015-12-25,7.47
2016-01-01,7.1
2016-01-08,7.9
2016-01-15,7.33
2016-01-22,7.85
2016-01-29,8.48
2016-02-05,10.73
2016-02-12,11.7
2016-02-19,10.88
2016-02-26,12.15
2016-03-04,12.92
2016-03-11,13.47
2016-03-18,13.58
2016-03-25,13.05
2016-04-01,13.74
2016-04-08,14.56
2016-04-15,14.96
2016-04-22,14.71
2016-04-29,16.45
2016-05-06,16.37
2016-05-13,15.15
2016-05-20,14.46
2016-05-27,13.38
2016-06-03,15.89
2016-06-10,16.66
2016-06-17,16.03
2016-06-24,16.77
2016-07-01,19.04
2016-07-08,20.84
2016-07-15,21.0
2016-07-22,21.05
2016-07-29,21.91
2016-08-05,21.67
2016-08-12,21.91
2016-08-19,19.17
2016-08-26,17.73
2016-09-02,17.04
2016-09-09,16.16
2016-09-16,15.25
2016-09-23,16.2
2016-09-30,15.92
2016-10-07,13.43
2016-10-14,13.38
2016-10-21,13.88
2016-10-28,13.52
2016-11-04,14.18
2016-11-11,11.21
2016-11-18,11.43
2016-11-25,10.88
2016-12-02,11.45
2016-12-09,10.67
2016-12-16,9.51
2016-12-23,9.88
2016-12-30,10.51
2017-01-06,11.39
2017-01-13,12.03
2017-01-20,12.06
2017-01-27,12.0
2017-02-03,13.03
2017-02-10,13.39
2017-02-17,12.9
2017-02-24,11.59
2017-03-03,10.6
2017-03-10,10.01
2017-03-17,10.81
2017-03-24,11.1
2017-03-31,10.77
2017-04-07,11.94
2017-04-14,12.99
2017-04-21,12.43
2017-04-28,11.43
2017-05-05,11.19
2017-05-12,11.31
2017-05-19,11.59
2017-05-26,11.64
2017-06-02,11.16
2017-06-09,11.95
2017-06-16,10.3
2017-06-23,10.59
2017-06-30,9.72
2017-07-07,9.51
2017-07-14,9.81
2017-07-21,9.68
2017-07-28,10.13
2017-08-04,9.14
2017-08-11,9.71
2017-08-18,9.82
2017-08-25,8.94
2017-09-01,10.14
2017-09-08,10.61
2017-09-15,9.94
2017-09-22,9.47
2017-09-29,9.29
2017-10-06,9.56
2017-10-13,9.45
2017-10-20,9.5
2017-10-27,9.44
2017-11-03,9.24
2017-11-10,9.67
2017-11-17,9.99
2017-11-24,10.17
2017-12-01,10.35
2017-12-08,9.16
2017-12-15,9.26
2017-12-22,9.81
2017-12-29,10.19
2018-01-05,10.67
2018-01-12,11.07
2018-01-19,10.91
2018-01-26,11.7
2018-02-02,10.67
2018-02-09,9.66
2018-02-16,10.45
2018-02-23,9.88
2018-03-02,9.36
2018-03-09,9.69
2018-03-16,8.97
2018-03-23,9.65
2018-03-30,9.49
2018-04-06,9.29
2018-04-13,9.36
2018-04-20,9.16
2018-04-27,9.13
2018-05-04,8.9
2018-05-11,9.02
2018-05-18,8.23
2018-05-25,8.45
2018-06-01,8.7
2018-06-08,8.65
2018-06-15,8.15
2018-06-22,8.26
2018-06-29,8.21
2018-07-06,8.71
2018-07-13,8.5
2018-07-20,8.08
2018-07-27,8.5
2018-08-03,8.75
2018-08-10,8.55
2018-08-17,7.24
2018-08-24,7.82
2018-08-31,7.91
2018-09-07,7.83
2018-09-14,8.04
2018-09-21,8.81
2018-09-28,8.58
2018-10-05,8.49
2018-10-12,9.7
2018-10-19,9.79
2018-10-26,9.73
2018-11-02,9.97
2018-11-09,9.58
2018-11-16,9.78
2018-11-23,10.05
2018-11-30,9.92
2018-12-07,11.28
2018-12-14,11.85
2018-12-21,12.24
2018-12-28,12.3
2019-01-04,12.8
2019-01-11,12.59
2019-01-18,12.07
2019-01-25,13.11
2019-02-01,14.3
2019-02-08,13.5
2019-02-15,13.58
2019-02-22,14.85
2019-03-01,13.63
2019-03-08,13.4
2019-03-15,13.6
2019-03-22,14.44
2019-03-29,13.1
2019-04-05,13.35
2019-04-12,12.99
2019-04-19,12.79
2019-04-26,12.38
2019-05-03,11.5
2019-05-10,11.35
2019-05-17,11.53
2019-05-24,11.62
2019-05-31,13.29
2019-06-07,14.61
2019-06-14,15.79
2019-06-21,17.08
2019-06-28,17.81
