date,value
2015-01-02,53.94
2015-01-09,54.3
2015-01-16,55.71
2015-01-23,56.56
2015-01-30,56.14
2015-02-06,54.83
2015-02-13,52.64
2015-02-20,53.94
2015-02-27,54.08
2015-03-06,52.28
2015-03-13,52.26
2015-03-20,55.02
2015-03-27,54.1
2015-04-03,54.89
2015-04-10,54.18
2015-04-17,53.6
2015-04-24,55.45
2015-05-01,54.3
2015-05-08,52.98
2015-05-15,53.65
2015-05-22,52.91
2015-05-29,52.87
2015-06-05,50.79
2015-06-12,50.5
2015-06-19,50.31
2015-06-26,49.7
2015-07-03,49.85
2015-07-10,50.79
2015-07-17,51.31
2015-07-24,50.94
2015-07-31,51.91
2015-08-07,52.31
2015-08-14,54.29
2015-08-21,54.02
2015-08-28,53.01
2015-09-04,51.11
2015-09-11,51.96
2015-09-18,53.5
2015-09-25,54.89
2015-10-02,55.63
2015-10-09,56.87
2015-10-16,58.38
2015-10-23,57.63
2015-10-30,57.36
2015-11-06,55.44
2015-11-13,56.01
2015-11-20,57.4
2015-11-27,58.05
2015-12-04,58.01
2015-12-11,56.72
2015-12-18,59.55
2015-12-25,59.83
2016-01-01,59.75
2016-01-08,59.67
2016-01-15,60.48
2016-01-22,62.44
2016-01-29,64.91
2016-02-05,63.72
2016-02-12,65.08
2016-02-19,65.77
2016-02-26,64.81
2016-03-04,67.87
2016-03-11,68.11
2016-03-18,68.01
2016-03-25,67.63
2016-04-01,69.5
2016-04-08,70.38
2016-04-15,71.26
2016-04-22,69.24
2016-04-29,72.76
2016-05-06,74.02
2016-05-13,74.71
2016-05-20,73.41
2016-05-27,74.12
2016-06-03,76.46
2016-06-10,77.5
2016-06-17,78.17
2016-06-24,79.93
2016-07-01,84.1
2016-07-08,83.36
2016-07-15,81.59
2016-07-22,82.84
2016-07-29,82.58
2016-08-05,78.48
2016-08-12,77.76
2016-08-19,76.44
2016-08-26,74.8
2016-09-02,74.8
2016-09-09,72.49
2016-09-16,74.33
2016-09-23,76.49
2016-09-30,74.84
2016-10-07,70.64
2016-10-14,71.73
2016-10-21,71.59
2016-10-28,72.53
2016-11-04,70.59
2016-11-11,71.28
2016-11-18,71.83
2016-11-25,74.36
2016-12-02,72.52
2016-12-09,73.02
2016-12-16,72.88
2016-12-23,72.95
2016-12-30,72.36
2017-01-06,72.84
2017-01-13,70.82
2017-01-20,71.93
2017-01-27,72.31
2017-02-03,72.41
2017-02-10,73.46
2017-02-17,73.81
2017-02-24,76.3
2017-03-03,77.34
2017-03-10,75.92
2017-03-17,76.2
2017-03-24,77.09
2017-03-31,77.77
2017-04-07,77.9
2017-04-14,78.57
2017-04-21,80.51
2017-04-28,79.76
2017-05-05,76.65
2017-05-12,76.31
2017-05-19,75.86
2017-05-26,77.53
2017-06-02,79.0
2017-06-09,79.26
2017-06-16,82.63
2017-06-23,81.13
2017-06-30,77.95
2017-07-07,77.76
2017-07-14,78.64
2017-07-21,81.92
2017-07-28,81.05
2017-08-04,81.08
2017-08-11,80.72
2017-08-18,81.44
2017-08-25,81.96
2017-09-01,80.83
2017-09-08,81.96
2017-09-15,82.68
2017-09-22,82.03
2017-09-29,80.91
2017-10-06,82.77
2017-10-13,85.02
2017-10-20,87.76
2017-10-27,87.67
2017-11-03,88.76
2017-11-10,88.74
2017-11-17,89.02
2017-11-24,88.74
2017-12-01,91.22
2017-12-08,91.52
2017-12-15,90.82
2017-12-22,90.51
2017-12-29,91.49
2018-01-05,86.75
2018-01-12,80.83
2018-01-19,83.01
2018-01-26,84.94
2018-02-02,81.22
2018-02-09,77.94
2018-02-16,80.5
2018-02-23,80.63
2018-03-02,78.88
2018-03-09,81.36
2018-03-16,82.16
2018-03-23,79.23
2018-03-30,82.13
2018-04-06,81.92
2018-04-13,80.86
2018-04-20,83.67
2018-04-27,86.78
2018-05-04,85.72
2018-05-11,83.48
2018-05-18,80.45
2018-05-25,82.99
2018-06-01,82.13
2018-06-08,79.28
2018-06-15,81.05
2018-06-22,83.42
2018-06-29,85.38
2018-07-06,88.48
2018-07-13,87.7
2018-07-20,87.55
2018-07-27,88.36
2018-08-03,88.05
2018-08-10,87.64
2018-08-17,89.49
2018-08-24,88.85
2018-08-31,87.53
2018-09-07,88.22
2018-09-14,89.24
2018-09-21,88.6
2018-09-28,87.97
2018-10-05,89.04
2018-10-12,87.73
2018-10-19,91.94
2018-10-26,88.23
2018-11-02,87.38
2018-11-09,89.61
2018-11-16,93.25
2018-11-23,92.1
2018-11-30,95.41
2018-12-07,97.8
2018-12-14,97.14
2018-12-21,91.19
2018-12-28,90.02
2019-01-04,89.79
2019-01-11,90.64
2019-01-18,92.61
2019-01-25,93.27
2019-02-01,95.21
2019-02-08,97.74
2019-02-15,98.05
2019-02-22,100.98
2019-03-01,101.44
2019-03-08,102.53
2019-03-15,105.81
2019-03-22,106.78
2019-03-29,104.26
2019-04-05,104.92
2019-04-12,104.16
2019-04-19,104.7
2019-04-26,106.88
2019-05-03,107.38
2019-05-10,108.27
2019-05-17,112.04
2019-05-24,113.69
2019-05-31,113.02
2019-06-07,116.29
2019-06-14,118.27
2019-06-21,118.07
2019-06-28,116.0
2019-07-05,117.96
2019-07-12,116.63
2019-07-19,114.98
2019-07-26,115.09
2019-08-02,117.29
2019-08-09,120.55
2019-08-16,124.22
2019-08-23,122.81
2019-08-30,127.32
2019-09-06,125.7
2019-09-13,121.22
2019-09-20,122.83
2019-09-27,124.24
2019-10-04,125.78
2019-10-11,123.69
2019-10-18,122.41
2019-10-25,121.11
2019-11-01,122.78
2019-11-08,116.3
2019-11-15,118.24
2019-11-22,119.04
2019-11-29,121.03
2019-12-06,122.67
2019-12-13,119.2
2019-12-20,122.72
2019-12-27,122.96
2020-01-03,120.98
