date,value
2015-01-02,93.02
2015-01-09,90.42
2015-01-16,86.04
2015-01-23,84.13
2015-01-30,80.69
2015-02-06,85.01
2015-02-13,78.08
2015-02-20,79.83
2015-02-27,81.59
2015-03-06,80.31
2015-03-13,80.6
2015-03-20,82.7
2015-03-27,77.97
2015-04-03,79.7
2015-04-10,79.59
2015-04-17,77.32
2015-04-24,77.99
2015-05-01,77.68
2015-05-08,78.98
2015-05-15,80.22
2015-05-22,81.25
2015-05-29,79.72
2015-06-05,79.39
2015-06-12,79.53
2015-06-19,80.19
2015-06-26,79.88
2015-07-03,78.21
2015-07-10,77.31
2015-07-17,79.22
2015-07-24,75.9
2015-07-31,76.06
2015-08-07,79.72
2015-08-14,80.91
2015-08-21,77.03
2015-08-28,76.65
2015-09-04,74.08
2015-09-11,75.5
2015-09-18,75.95
2015-09-25,75.1
2015-10-02,74.41
2015-10-09,77.33
2015-10-16,77.21
2015-10-23,74.59
2015-10-30,73.26
2015-11-06,74.3
2015-11-13,71.2
2015-11-20,72.42
2015-11-27,71.85
2015-12-04,71.1
2015-12-11,68.86
2015-12-18,67.87
2015-12-25,70.16
2016-01-01,69.55
2016-01-08,63.63
2016-01-15,62.91
2016-01-22,55.06
2016-01-29,53.5
2016-02-05,53.98
2016-02-12,52.66
2016-02-19,54.71
2016-02-26,55.38
2016-03-04,58.29
2016-03-11,59.46
2016-03-18,61.22
2016-03-25,60.47
2016-04-01,61.1
2016-04-08,59.5
2016-04-15,62.14
2016-04-22,65.93
2016-04-29,65.43
2016-05-06,64.51
2016-05-13,64.12
2016-05-20,63.92
2016-05-27,65.52
2016-06-03,65.49
2016-06-10,64.97
2016-06-17,61.86
2016-06-24,60.06
2016-07-01,60.69
2016-07-08,61.49
2016-07-15,63.78
2016-07-22,64.28
2016-07-29,64.46
2016-08-05,65.52
2016-08-12,65.38
2016-08-19,65.53
2016-08-26,64.79
2016-09-02,65.19
2016-09-09,65.12
2016-09-16,63.66
