date,value
2015-01-02,70.4
2015-01-09,69.44
2015-01-16,72.05
2015-01-23,70.69
2015-01-30,71.04
2015-02-06,67.69
2015-02-13,69.96
2015-02-20,68.58
2015-02-27,68.9
2015-03-06,66.27
2015-03-13,67.35
2015-03-20,72.7
2015-03-27,70.07
2015-04-03,68.8
2015-04-10,69.91
2015-04-17,71.32
2015-04-24,71.79
2015-05-01,67.88
2015-05-08,69.92
2015-05-15,69.29
2015-05-22,69.45
2015-05-29,67.55
2015-06-05,67.02
2015-06-12,65.69
2015-06-19,66.7
2015-06-26,66.33
2015-07-03,65.41
2015-07-10,66.45
2015-07-17,67.52
2015-07-24,65.76
2015-07-31,33.79
2015-08-07,33.69
2015-08-14,33.46
2015-08-21,31.63
2015-08-28,31.67
2015-09-04,31.7
2015-09-11,33.3
2015-09-18,34.37
2015-09-25,32.36
2015-10-02,32.11
2015-10-09,32.23
2015-10-16,32.35
2015-10-23,31.36
2015-10-30,31.89
2015-11-06,32.09
2015-11-13,31.29
2015-11-20,34.08
2015-11-27,34.05
2015-12-04,33.92
2015-12-11,33.25
2015-12-18,32.8
2015-12-25,34.13
2016-01-01,33.95
2016-01-08,31.77
2016-01-15,30.59
2016-01-22,31.48
2016-01-29,32.22
2016-02-05,30.03
2016-02-12,29.66
2016-02-19,29.56
2016-02-26,29.37
2016-03-04,28.87
2016-03-11,29.57
2016-03-18,28.48
2016-03-25,28.0
2016-04-01,28.22
2016-04-08,29.45
2016-04-15,29.71
2016-04-22,30.1
2016-04-29,28.96
2016-05-06,27.96
2016-05-13,28.5
2016-05-20,28.69
2016-05-27,29.88
2016-06-03,29.73
2016-06-10,27.97
2016-06-17,27.58
2016-06-24,27.86
2016-07-01,30.42
2016-07-08,30.11
2016-07-15,30.24
2016-07-22,31.13
2016-07-29,34.14
2016-08-05,34.28
2016-08-12,33.54
2016-08-19,33.56
2016-08-26,33.05
2016-09-02,33.31
2016-09-09,32.2
2016-09-16,33.82
2016-09-23,33.97
2016-09-30,32.86
2016-10-07,32.29
2016-10-14,30.59
2016-10-21,30.72
2016-10-28,28.6
2016-11-04,27.66
2016-11-11,27.98
2016-11-18,27.12
2016-11-25,27.1
2016-12-02,25.89
2016-12-09,27.16
2016-12-16,27.86
2016-12-23,27.31
2016-12-30,27.32
2017-01-06,28.43
2017-01-13,28.58
2017-01-20,27.07
2017-01-27,27.05
2017-02-03,27.92
2017-02-10,29.53
2017-02-17,29.16
2017-02-24,29.35
2017-03-03,29.92
2017-03-10,29.55
2017-03-17,30.69
2017-03-24,31.31
2017-03-31,31.14
2017-04-07,30.3
2017-04-14,30.14
2017-04-21,29.76
2017-04-28,30.25
2017-05-05,30.46
2017-05-12,34.0
2017-05-19,33.9
2017-05-26,33.85
2017-06-02,35.11
2017-06-09,34.17
2017-06-16,34.54
2017-06-23,35.07
2017-06-30,34.09
2017-07-07,33.75
2017-07-14,33.87
2017-07-21,34.05
2017-07-28,30.27
2017-08-04,30.17
2017-08-11,29.08
2017-08-18,29.12
2017-08-25,29.24
2017-09-01,30.11
2017-09-08,32.25
2017-09-15,32.53
2017-09-22,33.95
2017-09-29,33.88
2017-10-06,34.26
2017-10-13,34.61
2017-10-20,34.62
2017-10-27,33.49
2017-11-03,34.48
2017-11-10,32.91
2017-11-17,33.46
2017-11-24,33.84
2017-12-01,32.85
2017-12-08,32.74
2017-12-15,33.13
2017-12-22,33.61
2017-12-29,34.7
2018-01-05,35.87
2018-01-12,35.65
2018-01-19,35.44
2018-01-26,36.63
2018-02-02,35.9
2018-02-09,33.61
2018-02-16,33.93
2018-02-23,34.01
2018-03-02,33.16
2018-03-09,33.79
2018-03-16,34.59
2018-03-23,34.17
2018-03-30,34.97
2018-04-06,35.42
2018-04-13,36.32
2018-04-20,35.34
2018-04-27,35.59
2018-05-04,35.58
2018-05-11,36.4
2018-05-18,36.33
2018-05-25,37.04
2018-06-01,36.81
2018-06-08,36.42
2018-06-15,36.41
2018-06-22,35.06
2018-06-29,35.11
2018-07-06,35.18
2018-07-13,37.16
2018-07-20,37.17
2018-07-27,38.23
2018-08-03,38.66
2018-08-10,39.38
2018-08-17,38.12
2018-08-24,38.3
2018-08-31,38.34
2018-09-07,37.18
2018-09-14,37.45
2018-09-21,37.68
2018-09-28,39.57
2018-10-05,39.06
2018-10-12,37.15
2018-10-19,39.21
2018-10-26,37.9
2018-11-02,37.85
2018-11-09,40.97
2018-11-16,40.67
2018-11-23,40.2
2018-11-30,39.82
2018-12-07,38.18
2018-12-14,39.15
2018-12-21,37.51
2018-12-28,37.77
2019-01-04,39.18
2019-01-11,36.95
2019-01-18,36.55
2019-01-25,35.75
2019-02-01,36.65
2019-02-08,37.01
2019-02-15,40.92
2019-02-22,40.94
2019-03-01,41.76
2019-03-08,41.77
2019-03-15,42.51
2019-03-22,42.59
2019-03-29,40.43
2019-04-05,40.7
2019-04-12,39.52
2019-04-19,38.8
2019-04-26,37.99
2019-05-03,38.41
2019-05-10,37.65
2019-05-17,37.78
2019-05-24,39.02
2019-05-31,37.38
2019-06-07,39.02
2019-06-14,39.67
2019-06-21,41.36
2019-06-28,41.28
2019-07-05,40.94
2019-07-12,40.21
2019-07-19,40.12
2019-07-26,43.51
2019-08-02,44.28
2019-08-09,44.77
2019-08-16,44.34
2019-08-23,44.58
2019-08-30,45.03
2019-09-06,44.74
2019-09-13,42.77
2019-09-20,45.18
2019-09-27,45.28
2019-10-04,43.31
2019-10-11,43.58
2019-10-18,43.87
2019-10-25,47.67
2019-11-01,48.39
2019-11-08,47.26
2019-11-15,47.44
2019-11-22,47.97
2019-11-29,48.48
2019-12-06,47.68
2019-12-13,48.36
2019-12-20,50.46
2019-12-27,50.44
2020-01-03,50.09
