date,value
2015-01-02,616.79
2015-01-09,606.02
2015-01-16,580.85
2015-01-23,604.0
2015-01-30,596.96
2015-02-06,611.34
2015-02-13,618.5
2015-02-20,623.31
2015-02-27,642.68
2015-03-06,645.2
2015-03-13,654.66
2015-03-20,662.43
2015-03-27,681.34
2015-04-03,689.11
2015-04-10,701.73
2015-04-17,683.43
2015-04-24,702.0
2015-05-01,679.25
2015-05-08,686.13
2015-05-15,689.85
2015-05-22,689.18
2015-05-29,673.62
2015-06-05,675.5
2015-06-12,682.08
2015-06-19,681.67
2015-06-26,677.47
2015-07-03,671.69
2015-07-10,682.3
2015-07-17,677.13
2015-07-24,675.25
2015-07-31,700.94
2015-08-07,704.4
2015-08-14,741.27
2015-08-21,700.92
2015-08-28,726.39
2015-09-04,717.7
2015-09-11,727.44
2015-09-18,724.99
2015-09-25,753.48
2015-10-02,740.78
2015-10-09,736.92
2015-10-16,739.82
2015-10-23,762.24
2015-10-30,784.41
2015-11-06,797.29
2015-11-13,755.25
2015-11-20,783.82
2015-11-27,785.96
2015-12-04,760.99
2015-12-11,755.88
2015-12-18,741.88
2015-12-25,740.56
2016-01-01,741.91
2016-01-08,712.06
2016-01-15,704.74
2016-01-22,728.32
2016-01-29,767.39
2016-02-05,727.35
2016-02-12,729.62
2016-02-19,759.91
2016-02-26,781.64
2016-03-04,777.62
2016-03-11,797.02
2016-03-18,780.21
2016-03-25,803.06
2016-04-01,805.4
2016-04-08,783.93
2016-04-15,779.78
2016-04-22,771.07
2016-04-29,765.23
2016-05-06,776.21
2016-05-13,769.44
2016-05-20,761.56
2016-05-27,765.75
2016-06-03,761.31
2016-06-10,754.15
2016-06-17,745.83
2016-06-24,769.92
2016-07-01,798.72
2016-07-08,815.02
2016-07-15,799.14
2016-07-22,794.53
2016-07-29,813.97
2016-08-05,806.29
2016-08-12,795.86
2016-08-19,793.9
2016-08-26,753.47
2016-09-02,739.73
2016-09-09,722.44
2016-09-16,735.52
2016-09-23,744.85
2016-09-30,768.34
2016-10-07,760.34
2016-10-14,763.51
2016-10-21,746.98
2016-10-28,735.37
2016-11-04,731.65
2016-11-11,750.35
2016-11-18,755.24
2016-11-25,797.96
2016-12-02,783.74
2016-12-09,803.1
2016-12-16,794.72
2016-12-23,795.82
2016-12-30,789.79
2017-01-06,792.91
2017-01-13,779.81
2017-01-20,770.02
2017-01-27,730.0
2017-02-03,724.72
2017-02-10,740.65
2017-02-17,741.05
2017-02-24,732.75
2017-03-03,725.24
2017-03-10,717.03
2017-03-17,730.77
2017-03-24,721.16
2017-03-31,723.05
2017-04-07,700.44
2017-04-14,688.46
2017-04-21,707.79
2017-04-28,692.19
2017-05-05,705.31
2017-05-12,680.72
2017-05-19,673.65
2017-05-26,615.62
2017-06-02,621.7
2017-06-09,606.36
2017-06-16,593.81
2017-06-23,574.98
2017-06-30,570.46
2017-07-07,501.39
2017-07-14,506.31
2017-07-21,511.46
2017-07-28,526.92
2017-08-04,536.82
2017-08-11,533.94
2017-08-18,510.19
2017-08-25,528.95
2017-09-01,538.77
2017-09-08,540.51
2017-09-15,569.89
2017-09-22,574.03
2017-09-29,595.11
2017-10-06,601.49
2017-10-13,599.16
2017-10-20,590.06
2017-10-27,583.17
2017-11-03,606.41
2017-11-10,598.06
2017-11-17,629.43
2017-11-24,632.98
2017-12-01,678.4
2017-12-08,721.89
2017-12-15,697.06
2017-12-22,710.09
2017-12-29,711.37
2018-01-05,775.5
2018-01-12,787.93
2018-01-19,793.8
2018-01-26,796.95
2018-02-02,750.58
2018-02-09,723.5
2018-02-16,714.05
2018-02-23,725.0
2018-03-02,662.86
2018-03-09,659.4
2018-03-16,648.49
2018-03-23,637.02
2018-03-30,648.69
2018-04-06,620.36
2018-04-13,606.83
2018-04-20,595.84
2018-04-27,628.67
2018-05-04,649.94
2018-05-11,660.86
2018-05-18,652.64
2018-05-25,633.7
2018-06-01,653.12
2018-06-08,674.39
2018-06-15,693.37
2018-06-22,685.98
2018-06-29,670.93
2018-07-06,681.86
2018-07-13,686.97
2018-07-20,714.35
2018-07-27,699.78
2018-08-03,721.38
2018-08-10,738.96
2018-08-17,765.34
2018-08-24,770.52
2018-08-31,766.88
2018-09-07,772.53
2018-09-14,749.2
2018-09-21,769.87
2018-09-28,775.7
2018-10-05,771.3
2018-10-12,774.96
2018-10-19,725.8
2018-10-26,743.57
2018-11-02,760.49
2018-11-09,793.87
2018-11-16,827.99
2018-11-23,827.53
2018-11-30,809.07
2018-12-07,870.16
2018-12-14,871.24
2018-12-21,826.04
2018-12-28,839.01
2019-01-04,835.63
2019-01-11,822.88
2019-01-18,844.32
2019-01-25,814.64
2019-02-01,849.91
2019-02-08,874.08
2019-02-15,919.75
2019-02-22,911.66
2019-03-01,929.32
2019-03-08,934.73
2019-03-15,962.23
2019-03-22,981.27
2019-03-29,1024.12
2019-04-05,1048.52
2019-04-12,1060.3
2019-04-19,1045.05
2019-04-26,1033.55
2019-05-03,1033.38
2019-05-10,1000.59
2019-05-17,984.09
2019-05-24,1052.19
2019-05-31,1027.11
2019-06-07,1099.14
2019-06-14,1119.87
2019-06-21,1118.47
2019-06-28,1099.47
2019-07-05,1130.31
2019-07-12,1164.71
2019-07-19,1172.25
2019-07-26,1146.18
2019-08-02,1096.12
2019-08-09,1088.66
2019-08-16,1091.74
2019-08-23,1065.28
2019-08-30,1101.69
2019-09-06,1143.34
2019-09-13,1149.26
2019-09-20,1159.37
2019-09-27,1085.65
2019-10-04,1060.33
2019-10-11,1085.97
2019-10-18,1110.0
2019-10-25,1129.47
2019-11-01,1156.28
2019-11-08,1165.86
2019-11-15,1171.88
2019-11-22,1163.87
2019-11-29,1177.92
2019-12-06,1172.66
2019-12-13,1235.32
2019-12-20,1226.74
2019-12-27,1202.59
2020-01-03,1187.98
