date,value
2015-01-02,129.95
2015-01-09,131.54
2015-01-16,130.78
2015-01-23,134.62
2015-01-30,145.37
2015-02-06,148.0
2015-02-13,149.73
2015-02-20,158.31
2015-02-27,150.85
2015-03-06,153.12
2015-03-13,151.57
2015-03-20,154.5
2015-03-27,148.85
2015-04-03,149.28
2015-04-10,154.38
2015-04-17,149.6
2015-04-24,148.4
2015-05-01,144.67
2015-05-08,145.46
2015-05-15,146.88
2015-05-22,144.81
2015-05-29,140.52
2015-06-05,140.73
2015-06-12,142.8
2015-06-19,145.13
2015-06-26,142.48
2015-07-03,140.21
2015-07-10,144.48
2015-07-17,146.84
2015-07-24,144.06
2015-07-31,144.17
2015-08-07,142.42
2015-08-14,145.09
2015-08-21,131.71
2015-08-28,133.24
2015-09-04,129.76
2015-09-11,134.67
2015-09-18,136.09
2015-09-25,131.01
2015-10-02,132.56
2015-10-09,139.7
2015-10-16,137.6
2015-10-23,146.7
2015-10-30,148.07
2015-11-06,147.94
2015-11-13,142.59
2015-11-20,149.4
2015-11-27,146.95
2015-12-04,148.5
2015-12-11,144.62
2015-12-18,139.58
2015-12-25,143.53
2016-01-01,144.59
2016-01-08,129.99
2016-01-15,125.63
2016-01-22,124.61
2016-01-29,120.13
2016-02-05,122.56
2016-02-12,108.63
2016-02-19,115.16
2016-02-26,118.16
2016-03-04,121.07
2016-03-11,124.63
2016-03-18,133.96
2016-03-25,132.12
2016-04-01,126.96
2016-04-08,127.88
2016-04-15,131.13
2016-04-22,131.05
2016-04-29,134.8
2016-05-06,133.26
2016-05-13,132.12
2016-05-20,127.39
2016-05-27,129.22
2016-06-03,127.38
2016-06-10,131.14
2016-06-17,129.82
2016-06-24,126.52
2016-07-01,129.69
2016-07-08,130.09
2016-07-15,132.39
2016-07-22,133.47
2016-07-29,133.66
2016-08-05,131.73
2016-08-12,133.1
2016-08-19,134.44
2016-08-26,132.23
2016-09-02,131.16
2016-09-09,128.53
2016-09-16,126.7
2016-09-23,131.78
2016-09-30,131.74
2016-10-07,133.85
2016-10-14,133.5
2016-10-21,135.63
2016-10-28,143.01
2016-11-04,139.54
2016-11-11,148.52
2016-11-18,146.35
2016-11-25,150.04
2016-12-02,152.25
2016-12-09,156.49
2016-12-16,154.5
2016-12-23,157.81
2016-12-30,155.68
2017-01-06,159.1
2017-01-13,158.83
2017-01-20,159.53
2017-01-27,167.7
2017-02-03,162.4
2017-02-10,166.23
2017-02-17,172.71
2017-02-24,177.44
2017-03-03,182.18
2017-03-10,178.7
2017-03-17,180.1
2017-03-24,175.82
2017-03-31,176.86
2017-04-07,178.85
2017-04-14,175.62
2017-04-21,180.38
2017-04-28,184.83
2017-05-05,185.01
2017-05-12,183.25
2017-05-19,180.76
2017-05-26,186.59
2017-06-02,190.23
2017-06-09,190.03
2017-06-16,196.44
2017-06-23,202.23
2017-06-30,197.75
2017-07-07,202.37
2017-07-14,208.51
2017-07-21,212.14
2017-07-28,241.27
2017-08-04,237.71
2017-08-11,234.88
2017-08-18,235.77
2017-08-25,235.89
2017-09-01,240.33
2017-09-08,238.78
2017-09-15,249.0
2017-09-22,256.45
2017-09-29,254.21
2017-10-06,258.58
2017-10-13,260.74
2017-10-20,264.75
2017-10-27,256.46
2017-11-03,261.75
2017-11-10,260.85
2017-11-17,262.26
2017-11-24,265.88
2017-12-01,271.38
2017-12-08,285.9
2017-12-15,293.94
2017-12-22,295.1
2017-12-29,294.91
2018-01-05,308.84
2018-01-12,336.21
2018-01-19,337.73
2018-01-26,343.22
2018-02-02,348.91
2018-02-09,332.83
2018-02-16,355.04
2018-02-23,356.66
2018-03-02,344.67
2018-03-09,354.52
2018-03-16,330.47
2018-03-23,321.0
2018-03-30,327.88
2018-04-06,326.12
2018-04-13,329.28
2018-04-20,338.67
2018-04-27,340.88
2018-05-04,334.43
2018-05-11,342.46
2018-05-18,351.23
2018-05-25,360.09
2018-06-01,356.72
2018-06-08,369.5
2018-06-15,357.88
2018-06-22,338.91
2018-06-29,335.51
2018-07-06,334.64
2018-07-13,350.79
2018-07-20,354.9
2018-07-27,360.65
2018-08-03,348.44
2018-08-10,339.41
2018-08-17,346.4
2018-08-24,349.38
2018-08-31,342.79
2018-09-07,349.28
2018-09-14,359.8
2018-09-21,372.23
2018-09-28,371.9
2018-10-05,386.47
2018-10-12,360.11
2018-10-19,356.26
2018-10-26,359.27
2018-11-02,357.75
2018-11-09,369.34
2018-11-16,335.95
2018-11-23,312.32
2018-11-30,346.76
2018-12-07,323.22
2018-12-14,318.75
2018-12-21,304.55
2018-12-28,316.38
2019-01-04,327.08
2019-01-11,352.9
2019-01-18,364.73
2019-01-25,364.2
2019-02-01,387.43
