date,value
2015-01-02,103.6
2015-01-09,103.02
2015-01-16,96.89
2015-01-23,103.11
2015-01-30,89.08
2015-02-06,85.68
2015-02-13,89.05
2015-02-20,86.64
2015-02-27,85.12
2015-03-06,84.4
2015-03-13,81.86
2015-03-20,85.2
2015-03-27,84.58
2015-04-03,82.28
2015-04-10,84.58
2015-04-17,81.9
2015-04-24,84.57
2015-05-01,81.17
2015-05-08,87.06
2015-05-15,88.46
2015-05-22,93.27
2015-05-29,89.32
2015-06-05,90.71
2015-06-12,86.63
2015-06-19,85.74
2015-06-26,83.28
2015-07-03,82.07
2015-07-10,80.3
2015-07-17,83.36
2015-07-24,83.02
2015-07-31,78.34
2015-08-07,78.82
2015-08-14,74.76
2015-08-21,68.18
2015-08-28,70.07
2015-09-04,63.91
2015-09-11,64.63
2015-09-18,65.75
2015-09-25,59.24
2015-10-02,63.2
2015-10-09,68.71
2015-10-16,71.99
2015-10-23,75.62
2015-10-30,83.83
2015-11-06,83.61
2015-11-13,75.85
2015-11-20,79.95
2015-11-27,81.38
2015-12-04,84.85
2015-12-11,79.74
2015-12-18,82.65
2015-12-25,83.71
2016-01-01,81.27
2016-01-08,70.8
2016-01-15,69.59
2016-01-22,70.37
2016-01-29,67.03
2016-02-05,62.64
2016-02-12,60.89
2016-02-19,67.28
2016-02-26,66.91
2016-03-04,72.22
2016-03-11,74.01
2016-03-18,76.25
2016-03-25,75.86
2016-04-01,78.73
2016-04-08,77.47
2016-04-15,78.97
2016-04-22,79.89
2016-04-29,76.94
2016-05-06,79.2
2016-05-13,77.16
2016-05-20,78.79
2016-05-27,80.97
2016-06-03,76.62
2016-06-10,75.92
2016-06-17,77.0
2016-06-24,76.29
2016-07-01,79.65
2016-07-08,78.99
2016-07-15,81.25
2016-07-22,84.49
2016-07-29,82.48
2016-08-05,84.59
2016-08-12,98.25
2016-08-19,96.86
2016-08-26,95.06
2016-09-02,99.25
2016-09-09,99.62
2016-09-16,104.64
2016-09-23,107.71
2016-09-30,105.79
2016-10-07,106.0
2016-10-14,101.85
2016-10-21,103.94
2016-10-28,101.93
2016-11-04,97.57
2016-11-11,92.99
2016-11-18,93.39
2016-11-25,93.01
2016-12-02,90.48
2016-12-09,93.28
2016-12-16,88.67
2016-12-23,86.79
2016-12-30,87.81
2017-01-06,93.89
2017-01-13,96.27
2017-01-20,96.06
2017-01-27,102.07
2017-02-03,100.39
2017-02-10,102.36
2017-02-17,100.52
2017-02-24,102.95
2017-03-03,103.31
2017-03-10,103.39
2017-03-17,105.61
2017-03-24,108.04
2017-03-31,107.83
2017-04-07,108.99
2017-04-14,110.21
2017-04-21,113.11
2017-04-28,115.5
2017-05-05,116.04
2017-05-12,120.34
2017-05-19,123.22
2017-05-26,123.99
2017-06-02,124.13
2017-06-09,139.44
2017-06-16,134.87
2017-06-23,143.01
2017-06-30,140.9
2017-07-07,142.43
2017-07-14,151.83
2017-07-21,151.89
2017-07-28,157.56
2017-08-04,153.33
2017-08-11,151.7
2017-08-18,167.5
2017-08-25,171.74
2017-09-01,171.04
2017-09-08,169.0
2017-09-15,176.7
2017-09-22,178.14
2017-09-29,172.71
2017-10-06,179.2
2017-10-13,178.45
2017-10-20,177.32
2017-10-27,176.15
2017-11-03,183.21
2017-11-10,186.41
2017-11-17,185.13
2017-11-24,191.19
2017-12-01,174.61
2017-12-08,177.62
2017-12-15,173.55
2017-12-22,176.29
2017-12-29,172.43
2018-01-05,190.7
2018-01-12,187.79
2018-01-19,184.05
2018-01-26,205.22
2018-02-02,187.31
2018-02-09,176.67
2018-02-16,183.68
2018-02-23,193.29
2018-03-02,179.76
2018-03-09,190.55
2018-03-16,200.28
2018-03-23,181.2
2018-03-30,183.54
2018-04-06,167.52
2018-04-13,172.04
2018-04-20,179.11
2018-04-27,177.16
2018-05-04,188.89
2018-05-11,194.36
2018-05-18,195.0
2018-05-25,199.2
