date,value
2015-01-02,17.9
2015-01-09,16.98
2015-01-16,15.38
2015-01-23,15.73
2015-01-30,15.15
2015-02-06,16.49
2015-02-13,16.61
2015-02-20,16.38
2015-02-27,15.81
2015-03-06,16.22
2015-03-13,16.09
2015-03-20,15.84
2015-03-27,15.31
2015-04-03,15.54
2015-04-10,15.72
2015-04-17,15.56
2015-04-24,15.64
2015-05-01,16.11
2015-05-08,16.45
2015-05-15,16.35
2015-05-22,16.75
2015-05-29,16.5
2015-06-05,17.19
2015-06-12,17.49
2015-06-19,17.17
2015-06-26,17.41
2015-07-03,17.03
2015-07-10,16.7
2015-07-17,18.1
2015-07-24,17.9
2015-07-31,17.88
2015-08-07,17.75
2015-08-14,17.7
2015-08-21,16.1
2015-08-28,16.36
2015-09-04,15.65
2015-09-11,16.04
2015-09-18,15.56
2015-09-25,15.89
2015-10-02,15.38
2015-10-09,15.58
2015-10-16,16.12
2015-10-23,16.52
2015-10-30,16.78
2015-11-06,17.95
2015-11-13,17.2
2015-11-20,17.65
2015-11-27,17.48
2015-12-04,17.8
2015-12-11,16.73
2015-12-18,16.76
2015-12-25,17.27
2016-01-01,16.83
2016-01-08,15.2
2016-01-15,14.46
2016-01-22,13.56
2016-01-29,14.14
2016-02-05,12.95
2016-02-12,11.95
2016-02-19,12.13
2016-02-26,12.7
2016-03-04,13.54
2016-03-11,13.79
2016-03-18,13.79
2016-03-25,13.68
2016-04-01,13.56
2016-04-08,12.88
2016-04-15,14.0
2016-04-22,15.11
2016-04-29,14.56
2016-05-06,14.11
2016-05-13,13.88
2016-05-20,14.52
2016-05-27,14.88
2016-06-03,14.42
2016-06-10,13.83
2016-06-17,13.4
2016-06-24,13.0
2016-07-01,13.1
2016-07-08,13.17
2016-07-15,13.66
2016-07-22,14.38
2016-07-29,14.49
2016-08-05,15.05
2016-08-12,14.91
2016-08-19,15.22
2016-08-26,15.79
2016-09-02,16.0
2016-09-09,15.74
2016-09-16,15.49
2016-09-23,15.52
2016-09-30,15.65
2016-10-07,16.13
2016-10-14,16.0
2016-10-21,16.67
2016-10-28,16.68
2016-11-04,16.55
2016-11-11,19.02
2016-11-18,20.0
2016-11-25,20.86
2016-12-02,21.23
2016-12-09,23.09
2016-12-16,22.66
2016-12-23,22.6
2016-12-30,22.1
2017-01-06,22.68
2017-01-13,23.01
2017-01-20,22.64
2017-01-27,23.36
2017-02-03,23.29
2017-02-10,23.08
2017-02-17,24.52
2017-02-24,24.23
2017-03-03,25.44
2017-03-10,25.31
2017-03-17,24.86
2017-03-24,23.12
2017-03-31,23.59
2017-04-07,23.16
2017-04-14,22.34
2017-04-21,22.71
2017-04-28,23.34
2017-05-05,23.74
2017-05-12,24.0
2017-05-19,23.05
2017-05-26,23.24
2017-06-02,22.45
2017-06-09,23.67
2017-06-16,23.43
2017-06-23,22.82
2017-06-30,24.26
2017-07-07,24.83
2017-07-14,24.21
2017-07-21,23.8
2017-07-28,24.03
2017-08-04,24.97
2017-08-11,23.86
2017-08-18,23.62
2017-08-25,23.77
2017-09-01,24.09
2017-09-08,22.89
2017-09-15,24.38
2017-09-22,25.02
2017-09-29,25.34
2017-10-06,26.21
2017-10-13,25.83
2017-10-20,27.17
2017-10-27,27.8
2017-11-03,27.82
2017-11-10,26.51
2017-11-17,26.62
2017-11-24,26.59
2017-12-01,28.1
2017-12-08,29.05
2017-12-15,29.04
2017-12-22,29.88
2017-12-29,29.52
2018-01-05,30.33
2018-01-12,31.19
2018-01-19,31.72
2018-01-26,32.2
2018-02-02,31.95
2018-02-09,30.33
2018-02-16,31.97
2018-02-23,32.03
2018-03-02,31.63
2018-03-09,32.72
2018-03-16,32.17
2018-03-23,29.17
2018-03-30,29.99
2018-04-06,29.63
2018-04-13,29.8
2018-04-20,30.26
2018-04-27,30.15
2018-05-04,29.3
2018-05-11,30.92
2018-05-18,30.26
2018-05-25,30.16
2018-06-01,29.4
2018-06-08,30.01
2018-06-15,29.28
2018-06-22,28.99
2018-06-29,28.19
2018-07-06,28.03
2018-07-13,28.55
2018-07-20,30.13
2018-07-27,31.06
2018-08-03,31.51
2018-08-10,31.19
2018-08-17,30.74
2018-08-24,30.89
2018-08-31,30.93
2018-09-07,30.86
2018-09-14,30.37
2018-09-21,31.03
2018-09-28,29.46
2018-10-05,30.23
2018-10-12,28.46
2018-10-19,28.32
2018-10-26,26.39
2018-11-02,27.89
2018-11-09,28.52
2018-11-16,27.75
2018-11-23,26.97
2018-11-30,28.4
2018-12-07,25.43
2018-12-14,24.48
2018-12-21,23.37
2018-12-28,24.39
2019-01-04,25.58
2019-01-11,26.03
2019-01-18,29.3
2019-01-25,29.58
2019-02-01,28.38
2019-02-08,28.29
2019-02-15,29.11
2019-02-22,29.08
2019-03-01,29.31
2019-03-08,28.65
2019-03-15,29.3
2019-03-22,27.01
2019-03-29,27.59
2019-04-05,29.08
2019-04-12,30.17
2019-04-19,30.03
2019-04-26,30.35
2019-05-03,30.71
2019-05-10,29.58
2019-05-17,28.4
2019-05-24,28.18
2019-05-31,26.6
2019-06-07,27.53
2019-06-14,28.04
2019-06-21,28.12
2019-06-28,29.0
2019-07-05,29.26
2019-07-12,29.45
2019-07-19,29.4
2019-07-26,30.77
2019-08-02,29.38
2019-08-09,28.33
2019-08-16,27.03
2019-08-23,26.47
2019-08-30,27.51
2019-09-06,27.73
2019-09-13,30.17
2019-09-20,29.59
2019-09-27,29.35
2019-10-04,28.37
2019-10-11,28.91
2019-10-18,30.35
2019-10-25,31.72
2019-11-01,31.8
2019-11-08,33.26
2019-11-15,32.93
2019-11-22,33.18
2019-11-29,33.32
2019-12-06,33.67
2019-12-13,34.44
2019-12-20,34.96
2019-12-27,35.35
2020-01-03,34.9
