date,value
2015-01-02,159.35
2015-01-09,155.2
2015-01-16,145.59
2015-01-23,149.8
2015-01-30,144.12
2015-02-06,151.14
2015-02-13,150.53
2015-02-20,149.31
2015-02-27,145.22
2015-03-06,145.17
2015-03-13,138.9
2015-03-20,139.0
2015-03-27,138.55
2015-04-03,150.88
2015-04-10,150.71
2015-04-17,149.16
2015-04-24,150.55
2015-05-01,154.0
2015-05-08,151.57
2015-05-15,150.39
2015-05-22,146.72
2015-05-29,141.14
2015-06-05,140.26
2015-06-12,138.19
2015-06-19,137.79
2015-06-26,143.82
2015-07-03,139.44
2015-07-10,139.56
2015-07-17,137.0
2015-07-24,131.79
2015-07-31,131.9
2015-08-07,129.89
2015-08-14,116.51
2015-08-21,110.24
2015-08-28,111.97
2015-09-04,107.39
2015-09-11,110.88
2015-09-18,108.06
2015-09-25,101.8
2015-10-02,106.64
2015-10-09,116.82
2015-10-16,114.39
2015-10-23,114.19
2015-10-30,113.18
2015-11-06,113.99
2015-11-13,109.63
2015-11-20,111.86
2015-11-27,106.14
2015-12-04,106.15
2015-12-11,98.99
2015-12-18,96.14
2015-12-25,99.98
2016-01-01,97.32
2016-01-08,89.48
2016-01-15,87.51
2016-01-22,91.09
2016-01-29,101.36
2016-02-05,99.29
2016-02-12,110.75
2016-02-19,112.95
2016-02-26,118.58
2016-03-04,129.71
2016-03-11,129.44
2016-03-18,134.08
2016-03-25,123.99
2016-04-01,127.99
2016-04-08,125.62
2016-04-15,138.89
2016-04-22,142.43
2016-04-29,145.42
2016-05-06,140.02
2016-05-13,144.55
2016-05-20,139.5
2016-05-27,142.38
2016-06-03,149.74
2016-06-10,147.18
2016-06-17,151.06
2016-06-24,146.35
2016-07-01,153.92
2016-07-08,156.33
2016-07-15,156.08
2016-07-22,161.93
2016-07-29,160.33
2016-08-05,159.86
2016-08-12,158.9
2016-08-19,159.57
2016-08-26,157.0
2016-09-02,162.15
2016-09-09,154.53
2016-09-16,151.16
2016-09-23,156.87
2016-09-30,152.22
2016-10-07,146.53
2016-10-14,146.65
2016-10-21,151.01
2016-10-28,148.31
2016-11-04,155.82
2016-11-11,155.05
2016-11-18,152.7
2016-11-25,152.69
2016-12-02,155.08
2016-12-09,159.91
2016-12-16,156.8
2016-12-23,155.78
2016-12-30,157.86
2017-01-06,164.69
2017-01-13,161.25
2017-01-20,160.12
2017-01-27,166.13
2017-02-03,163.96
2017-02-10,172.11
2017-02-17,166.24
2017-02-24,167.69
2017-03-03,167.54
2017-03-10,158.22
2017-03-17,164.0
2017-03-24,164.21
2017-03-31,163.3
2017-04-07,160.18
2017-04-14,152.86
2017-04-21,153.06
2017-04-28,153.66
2017-05-05,157.34
2017-05-12,167.26
2017-05-19,172.52
2017-05-26,169.0
2017-06-02,167.76
2017-06-09,173.63
2017-06-16,178.57
2017-06-23,180.35
2017-06-30,179.39
2017-07-07,182.03
2017-07-14,186.5
2017-07-21,185.6
2017-07-28,188.91
2017-08-04,189.11
2017-08-11,194.77
2017-08-18,201.98
2017-08-25,206.02
2017-09-01,204.78
2017-09-08,203.56
2017-09-15,212.85
2017-09-22,202.38
2017-09-29,205.02
2017-10-06,206.18
2017-10-13,208.66
2017-10-20,208.62
2017-10-27,210.66
2017-11-03,207.32
2017-11-10,206.56
2017-11-17,208.62
2017-11-24,213.79
2017-12-01,211.22
2017-12-08,209.07
2017-12-15,192.0
2017-12-22,206.84
2017-12-29,207.43
2018-01-05,223.17
2018-01-12,222.88
2018-01-19,229.99
2018-01-26,236.23
2018-02-02,224.0
2018-02-09,211.0
2018-02-16,218.22
2018-02-23,217.95
2018-03-02,217.43
2018-03-09,221.11
2018-03-16,216.0
2018-03-23,217.72
2018-03-30,227.04
2018-04-06,234.68
2018-04-13,231.0
2018-04-20,230.94
2018-04-27,234.71
2018-05-04,228.02
2018-05-11,227.01
2018-05-18,221.43
2018-05-25,224.19
2018-06-01,226.55
2018-06-08,230.0
2018-06-15,223.54
2018-06-22,220.53
2018-06-29,225.12
2018-07-06,228.54
2018-07-13,227.33
2018-07-20,229.57
2018-07-27,229.54
2018-08-03,230.8
2018-08-10,226.46
2018-08-17,221.76
2018-08-24,222.61
2018-08-31,218.02
2018-09-07,209.85
2018-09-14,213.34
2018-09-21,227.0
2018-09-28,223.08
2018-10-05,221.76
2018-10-12,217.85
2018-10-19,219.16
2018-10-26,215.73
2018-11-02,229.21
2018-11-09,224.23
2018-11-16,226.08
2018-11-23,218.04
2018-11-30,219.29
2018-12-07,220.68
2018-12-14,217.94
2018-12-21,213.67
2018-12-28,221.77
2019-01-04,228.5
2019-01-11,229.76
2019-01-18,232.05
2019-01-25,236.23
2019-02-01,242.95
2019-02-08,239.61
2019-02-15,239.08
2019-02-22,242.61
2019-03-01,239.1
2019-03-08,235.61
2019-03-15,248.19
2019-03-22,241.43
2019-03-29,239.95
2019-04-05,245.28
2019-04-12,241.85
2019-04-19,231.34
2019-04-26,236.39
2019-05-03,238.17
2019-05-10,223.85
2019-05-17,217.83
2019-05-24,221.08
2019-05-31,223.8
2019-06-07,228.97
2019-06-14,220.92
2019-06-21,225.87
2019-06-28,228.91
