date,value
2015-01-02,12.82
2015-01-09,13.49
2015-01-16,13.62
2015-01-23,13.66
2015-01-30,12.48
2015-02-06,12.84
2015-02-13,12.9
2015-02-20,12.88
2015-02-27,13.18
2015-03-06,11.65
2015-03-13,10.37
2015-03-20,11.42
2015-03-27,8.86
2015-04-03,9.87
2015-04-10,10.11
2015-04-17,10.11
2015-04-24,11.01
2015-05-01,10.75
2015-05-08,10.62
2015-05-15,10.75
2015-05-22,9.4
2015-05-29,8.8
2015-06-05,8.76
2015-06-12,8.93
2015-06-19,9.05
2015-06-26,9.28
2015-07-03,9.3
2015-07-10,8.97
2015-07-17,8.96
2015-07-24,7.93
2015-07-31,7.94
2015-08-07,7.19
2015-08-14,6.96
2015-08-21,6.63
2015-08-28,6.71
2015-09-04,5.83
2015-09-11,5.77
2015-09-18,5.85
2015-09-25,5.42
2015-10-02,5.65
2015-10-09,6.32
2015-10-16,5.75
2015-10-23,5.48
2015-10-30,5.44
2015-11-06,5.83
2015-11-13,5.58
2015-11-20,6.44
2015-11-27,5.62
2015-12-04,5.68
2015-12-11,5.3
2015-12-18,4.86
2015-12-25,4.93
2016-01-01,4.81
2016-01-08,4.38
2016-01-15,4.22
2016-01-22,4.26
2016-01-29,4.57
2016-02-05,4.99
2016-02-12,4.81
2016-02-19,4.93
2016-02-26,5.13
2016-03-04,7.17
2016-03-11,7.42
2016-03-18,7.61
2016-03-25,7.08
2016-04-01,7.69
2016-04-08,7.55
2016-04-15,8.11
2016-04-22,7.14
2016-04-29,7.47
2016-05-06,7.14
2016-05-13,7.38
2016-05-20,6.89
2016-05-27,6.63
2016-06-03,6.77
2016-06-10,6.97
2016-06-17,7.01
2016-06-24,7.29
2016-07-01,7.91
2016-07-08,8.0
2016-07-15,8.64
2016-07-22,8.86
2016-07-29,8.7
2016-08-05,9.13
2016-08-12,9.14
2016-08-19,9.11
2016-08-26,8.71
2016-09-02,9.07
2016-09-09,8.71
2016-09-16,8.5
2016-09-23,9.1
2016-09-30,9.07
2016-10-07,9.53
2016-10-14,9.65
2016-10-21,10.22
2016-10-28,10.11
2016-11-04,9.75
2016-11-11,8.61
2016-11-18,8.58
2016-11-25,8.56
2016-12-02,8.16
2016-12-09,8.53
2016-12-16,7.98
2016-12-23,8.29
2016-12-30,8.71
2017-01-06,9.38
2017-01-13,9.63
2017-01-20,9.9
2017-01-27,10.42
2017-02-03,10.18
2017-02-10,10.4
2017-02-17,10.62
2017-02-24,10.72
2017-03-03,10.81
2017-03-10,10.1
2017-03-17,10.11
2017-03-24,10.14
2017-03-31,10.24
2017-04-07,10.09
2017-04-14,9.79
2017-04-21,9.84
2017-04-28,10.55
2017-05-05,9.69
2017-05-12,10.23
2017-05-19,8.54
2017-05-26,8.53
2017-06-02,8.27
2017-06-09,8.2
2017-06-16,8.25
2017-06-23,7.94
2017-06-30,8.5
2017-07-07,8.5
2017-07-14,9.3
2017-07-21,9.31
2017-07-28,9.46
2017-08-04,9.9
2017-08-11,9.99
2017-08-18,10.39
2017-08-25,10.71
2017-09-01,10.89
2017-09-08,10.99
2017-09-15,11.49
2017-09-22,11.5
2017-09-29,11.07
2017-10-06,11.43
2017-10-13,11.57
2017-10-20,11.2
2017-10-27,11.01
2017-11-03,10.21
2017-11-10,9.99
2017-11-17,10.31
2017-11-24,10.39
2017-12-01,9.94
2017-12-08,9.98
2017-12-15,9.78
2017-12-22,10.17
2017-12-29,10.24
2018-01-05,10.97
2018-01-12,11.0
2018-01-19,11.58
2018-01-26,13.08
2018-02-02,11.85
2018-02-09,11.33
2018-02-16,11.88
2018-02-23,12.39
2018-03-02,11.97
2018-03-09,11.94
2018-03-16,11.59
2018-03-23,11.56
2018-03-30,11.88
2018-04-06,10.47
2018-04-13,9.87
2018-04-20,10.0
2018-04-27,10.08
2018-05-04,9.33
2018-05-11,9.11
2018-05-18,8.39
2018-05-25,8.3
2018-06-01,7.93
2018-06-08,7.36
2018-06-15,6.84
2018-06-22,6.9
2018-06-29,6.86
2018-07-06,7.21
2018-07-13,7.49
2018-07-20,8.04
2018-07-27,8.25
2018-08-03,8.63
2018-08-10,7.45
2018-08-17,7.29
2018-08-24,6.91
2018-08-31,6.94
2018-09-07,7.02
2018-09-14,6.67
2018-09-21,7.23
2018-09-28,7.08
2018-10-05,8.0
2018-10-12,8.6
2018-10-19,8.79
2018-10-26,9.25
2018-11-02,9.86
2018-11-09,9.49
2018-11-16,9.79
2018-11-23,9.62
2018-11-30,9.96
2018-12-07,9.66
2018-12-14,9.75
2018-12-21,9.58
2018-12-28,9.83
2019-01-04,10.88
2019-01-11,11.16
2019-01-18,11.35
2019-01-25,11.51
2019-02-01,12.22
2019-02-08,11.89
2019-02-15,12.39
2019-02-22,11.87
2019-03-01,11.23
2019-03-08,11.1
2019-03-15,11.91
2019-03-22,10.55
2019-03-29,10.91
2019-04-05,9.39
2019-04-12,8.94
2019-04-19,8.82
2019-04-26,9.12
2019-05-03,9.13
2019-05-10,8.76
2019-05-17,8.01
2019-05-24,8.49
2019-05-31,9.36
2019-06-07,9.58
2019-06-14,9.18
2019-06-21,9.72
2019-06-28,9.82
2019-07-05,10.24
2019-07-12,10.19
2019-07-19,9.98
2019-07-26,9.6
2019-08-02,8.77
2019-08-09,8.72
2019-08-16,8.27
2019-08-23,7.72
2019-08-30,7.99
2019-09-06,8.39
2019-09-13,8.15
2019-09-20,8.13
2019-09-27,8.25
2019-10-04,7.99
2019-10-11,8.27
2019-10-18,8.15
2019-10-25,8.85
2019-11-01,8.71
2019-11-08,8.2
2019-11-15,8.03
2019-11-22,8.0
2019-11-29,7.85
2019-12-06,8.28
2019-12-13,8.44
2019-12-20,8.6
2019-12-27,8.9
2020-01-03,9.25
