date,value
2018-11-16,18.5
2018-11-23,18.55
2018-11-30,18.41
2018-12-07,18.0
2018-12-14,17.41
2018-12-21,16.35
2018-12-28,17.29
2019-01-04,17.46
2019-01-11,17.37
2019-01-18,18.25
2019-01-25,18.24
2019-02-01,19.99
2019-02-08,19.62
2019-02-15,19.89
2019-02-22,20.18
2019-03-01,19.5
2019-03-08,18.6
2019-03-15,19.76
2019-03-22,19.59
2019-03-29,19.3
2019-04-05,19.87
2019-04-12,20.12
2019-04-19,19.86
2019-04-26,20.44
2019-05-03,20.19
2019-05-10,19.59
2019-05-17,18.75
2019-05-24,18.98
2019-05-31,18.9
2019-06-07,18.64
2019-06-14,18.46
2019-06-21,19.0
2019-06-28,18.62
2019-07-05,18.34
2019-07-12,18.05
2019-07-19,18.05
2019-07-26,18.01
2019-08-02,18.06
2019-08-09,18.1
2019-08-16,18.0
2019-08-23,18.17
2019-08-30,18.64
2019-09-06,18.65
2019-09-13,18.86
2019-09-20,19.02
2019-09-27,18.59
2019-10-04,18.63
2019-10-11,18.58
2019-10-18,18.69
2019-10-25,18.87
2019-11-01,19.05
2019-11-08,18.98
2019-11-15,18.94
2019-11-22,18.63
2019-11-29,19.53
2019-12-06,19.52
2019-12-13,19.69
2019-12-20,20.03
2019-12-27,20.15
2020-01-03,19.78
