date,value
2018-11-30,50.31
2018-12-07,50.57
2018-12-14,50.57
2018-12-21,50.7
2018-12-28,50.7
2019-01-04,50.79
2019-01-11,50.92
2019-01-18,51.01
2019-01-25,51.22
2019-02-01,51.38
2019-02-08,51.57
2019-02-15,51.64
2019-02-22,51.76
2019-03-01,51.54
2019-03-08,51.94
2019-03-15,52.09
2019-03-22,52.55
2019-03-29,52.59
2019-04-05,52.48
2019-04-12,52.45
2019-04-19,52.52
2019-04-26,52.78
2019-05-03,52.67
2019-05-10,52.75
2019-05-17,52.92
2019-05-24,53.0
2019-05-31,53.32
2019-06-07,53.71
2019-06-14,53.76
2019-06-21,54.12
2019-06-28,54.35
2019-07-05,54.47
2019-07-12,54.14
2019-07-19,54.59
2019-07-26,54.79
2019-08-02,55.06
2019-08-09,55.48
2019-08-16,56.14
2019-08-23,55.95
2019-08-30,56.12
2019-09-06,55.72
2019-09-13,54.99
2019-09-20,55.3
2019-09-27,55.53
2019-10-04,55.63
2019-10-11,55.11
2019-10-18,54.93
2019-10-25,54.99
2019-11-01,54.9
2019-11-08,54.58
2019-11-15,54.82
2019-11-22,54.86
2019-11-29,54.92
2019-12-06,54.25
2019-12-13,54.37
2019-12-20,53.8
2019-12-27,53.86
2020-01-03,54.1
