date,value
2015-01-02,223.08
2015-01-09,226.9
2015-01-16,220.195
2015-01-23,233.325
2015-01-30,217.92
2015-02-06,211.78
2015-02-13,212.13
2015-02-20,209.63
2015-02-27,203.75
2015-03-06,213.31
2015-03-13,204.445
2015-03-20,212.69
2015-03-27,207.33
2015-04-03,208.51
2015-04-10,214.79
2015-04-17,207.87
2015-04-24,216.9
2015-05-01,202.47
2015-05-08,193.54
2015-05-15,192.98
2015-05-22,203.8
2015-05-29,197.4
2015-06-05,205.89
2015-06-12,207.6
2015-06-19,210.87
2015-06-26,203.36
2015-07-03,197.03
2015-07-10,187.75
2015-07-17,198.44
2015-07-24,206.25
2015-07-31,172.66
2015-08-07,176.08
2015-08-14,164.24
2015-08-21,152.91
2015-08-28,152.13
2015-09-04,146.0
2015-09-11,144.03
2015-09-18,142.57
2015-09-25,134.34
2015-10-02,148.51
2015-10-09,144.22
2015-10-16,151.0
2015-10-23,157.6
2015-10-30,187.47
2015-11-06,200.3
2015-11-13,193.95
2015-11-20,206.69
2015-11-27,205.58
2015-12-04,208.3
2015-12-11,193.68
2015-12-18,191.92
2015-12-25,193.93
2016-01-01,189.04
2016-01-08,171.34
2016-01-15,163.92
2016-01-22,171.17
2016-01-29,163.27
2016-02-05,145.34
2016-02-12,152.73
2016-02-19,164.47
2016-02-26,173.8
2016-03-04,178.55
2016-03-11,182.98
2016-03-18,187.92
2016-03-25,184.86
2016-04-01,190.33
2016-04-08,183.98
2016-04-15,193.22
2016-04-22,190.76
2016-04-29,194.3
2016-05-06,173.94
2016-05-13,159.75
2016-05-20,170.05
2016-05-27,185.01
2016-06-03,173.74
2016-06-10,164.28
2016-06-17,162.68
2016-06-24,159.12
2016-07-01,165.19
2016-07-08,159.8
2016-07-15,162.74
2016-07-22,160.88
2016-07-29,159.6
2016-08-05,167.38
2016-08-12,167.98
2016-08-19,177.53
2016-08-26,173.47
2016-09-02,177.78
2016-09-09,182.1
2016-09-16,185.01
2016-09-23,191.72
2016-09-30,182.07
2016-10-07,179.8
2016-10-14,175.51
2016-10-21,176.76
2016-10-28,179.59
2016-11-04,167.7
2016-11-11,162.95
2016-11-18,164.38
2016-11-25,164.44
2016-12-02,161.67
2016-12-09,170.82
2016-12-16,164.93
2016-12-23,163.62
2016-12-30,164.41
2017-01-06,176.38
2017-01-13,176.48
2017-01-20,173.44
2017-01-27,174.1
2017-02-03,175.17
2017-02-10,183.99
2017-02-17,185.17
2017-02-24,175.17
2017-03-03,173.79
2017-03-10,172.74
2017-03-17,176.62
2017-03-24,168.26
2017-03-31,172.52
2017-04-07,172.44
2017-04-14,172.61
2017-04-21,178.08
2017-04-28,180.23
2017-05-05,178.03
2017-05-12,186.83
2017-05-19,188.76
2017-05-26,190.39
2017-06-02,187.6
2017-06-09,181.07
2017-06-16,173.88
2017-06-23,178.14
2017-06-30,178.86
2017-07-07,181.4
2017-07-14,188.55
2017-07-21,193.18
2017-07-28,220.0
2017-08-04,226.05
2017-08-11,223.49
2017-08-18,220.69
2017-08-25,225.55
2017-09-01,232.64
2017-09-08,229.23
2017-09-15,235.21
2017-09-22,240.57
2017-09-29,247.69
2017-10-06,247.69
2017-10-13,262.68
2017-10-20,264.9
2017-10-27,239.37
2017-11-03,241.54
2017-11-10,237.4
2017-11-17,239.27
2017-11-24,249.42
2017-12-01,235.07
2017-12-08,234.59
2017-12-15,233.48
2017-12-22,239.05
2017-12-29,234.21
2018-01-05,245.14
2018-01-12,253.04
2018-01-19,255.98
2018-01-26,260.25
2018-02-02,233.17
2018-02-09,215.67
2018-02-16,244.72
2018-02-23,250.74
2018-03-02,250.6
2018-03-09,263.56
2018-03-16,262.39
2018-03-23,230.08
2018-03-30,223.19
2018-04-06,219.82
2018-04-13,228.17
2018-04-20,232.5
2018-04-27,251.93
2018-05-04,251.73
2018-05-11,269.91
2018-05-18,253.01
2018-05-25,243.8
2018-06-01,248.46
2018-06-08,263.59
2018-06-15,272.97
2018-06-22,259.0
2018-06-29,243.0
2018-07-06,251.77
2018-07-13,267.19
2018-07-20,259.98
2018-07-27,255.09
2018-08-03,235.65
2018-08-10,220.1
2018-08-17,222.67
2018-08-24,224.36
2018-08-31,226.48
2018-09-07,216.04
2018-09-14,220.03
2018-09-21,228.85
2018-09-28,228.68
2018-10-05,205.62
2018-10-12,204.36
2018-10-19,191.92
2018-10-26,188.51
2018-11-02,194.69
2018-11-09,183.75
2018-11-16,186.95
2018-11-23,182.61
2018-11-30,188.28
2018-12-07,179.56
2018-12-14,177.54
2018-12-21,157.42
2018-12-28,162.17
2019-01-04,160.95
2019-01-11,166.11
2019-01-18,171.36
2019-01-25,167.1
2019-02-01,171.27
2019-02-08,169.9
2019-02-15,170.06
2019-02-22,167.17
2019-03-01,162.09
2019-03-08,163.65
2019-03-15,170.48
2019-03-22,166.73
2019-03-29,164.85
2019-04-05,181.55
2019-04-12,173.09
2019-04-19,171.02
2019-04-26,166.12
2019-05-03,167.04
2019-05-10,156.75
2019-05-17,128.31
2019-05-24,114.47
2019-05-31,110.0
2019-06-07,109.81
