date,value
2018-03-30,11.0
2018-04-06,10.94
2018-04-13,11.4
2018-04-20,11.19
2018-04-27,10.61
2018-05-04,9.99
2018-05-11,11.46
2018-05-18,12.84
2018-05-25,14.24
2018-06-01,16.91
2018-06-08,18.95
2018-06-15,19.65
2018-06-22,16.65
2018-06-29,13.99
2018-07-06,13.3
2018-07-13,13.8
2018-07-20,14.41
2018-07-27,12.13
2018-08-03,11.06
2018-08-10,11.14
2018-08-17,10.7
2018-08-24,10.91
2018-08-31,12.83
2018-09-07,11.71
2018-09-14,13.52
2018-09-21,12.43
2018-09-28,13.48
2018-10-05,13.35
2018-10-12,13.71
2018-10-19,12.49
2018-10-26,13.17
2018-11-02,14.43
2018-11-09,13.4
2018-11-16,14.5
2018-11-23,14.98
2018-11-30,15.61
2018-12-07,14.69
2018-12-14,15.22
2018-12-21,13.3
2018-12-28,14.37
2019-01-04,13.7
2019-01-11,15.36
2019-01-18,16.71
2019-01-25,17.44
2019-02-01,17.83
2019-02-08,17.46
2019-02-15,17.74
2019-02-22,19.48
2019-03-01,17.98
2019-03-08,17.94
2019-03-15,18.71
2019-03-22,17.21
2019-03-29,18.95
2019-04-05,18.02
2019-04-12,18.32
2019-04-19,17.45
2019-04-26,17.78
2019-05-03,18.19
2019-05-10,17.1
2019-05-17,15.35
2019-05-24,14.05
2019-05-31,13.5
2019-06-07,14.8
2019-06-14,14.27
2019-06-21,15.44
2019-06-28,16.27
2019-07-05,16.74
2019-07-12,16.4
2019-07-19,15.54
2019-07-26,15.96
2019-08-02,14.72
2019-08-09,13.91
2019-08-16,14.52
2019-08-23,14.7
2019-08-30,14.05
2019-09-06,14.46
2019-09-13,15.06
2019-09-20,15.26
2019-09-27,14.33
2019-10-04,13.92
2019-10-11,14.37
2019-10-18,14.41
2019-10-25,15.52
2019-11-01,16.46
2019-11-08,16.58
2019-11-15,16.71
2019-11-22,16.59
2019-11-29,17.28
2019-12-06,17.17
2019-12-13,17.9
2019-12-20,17.94
2019-12-27,18.24
2020-01-03,22.08
