date,value
2015-01-02,40.46
2015-01-09,39.03
2015-01-16,37.46
2015-01-23,36.9
2015-01-30,36.0
2015-02-06,38.47
2015-02-13,39.2
2015-02-20,39.44
2015-02-27,39.14
2015-03-06,39.28
2015-03-13,40.94
2015-03-20,40.57
2015-03-27,39.75
2015-04-03,40.55
2015-04-10,40.86
2015-04-17,40.5
2015-04-24,42.07
2015-05-01,42.74
2015-05-08,43.41
2015-05-15,43.09
2015-05-22,43.47
2015-05-29,43.36
2015-06-05,43.36
2015-06-12,43.68
2015-06-19,43.12
2015-06-26,42.98
2015-07-03,41.79
2015-07-10,41.71
2015-07-17,42.82
2015-07-24,43.72
2015-07-31,43.4
2015-08-07,44.75
2015-08-14,44.07
2015-08-21,41.45
2015-08-28,40.67
2015-09-04,38.49
2015-09-11,39.56
2015-09-18,38.86
2015-09-25,39.6
2015-10-02,39.17
2015-10-09,40.45
2015-10-16,40.49
2015-10-23,42.25
2015-10-30,41.65
2015-11-06,44.19
2015-11-13,42.67
2015-11-20,43.74
2015-11-27,43.88
2015-12-04,44.06
2015-12-11,40.77
2015-12-18,40.22
2015-12-25,41.23
2016-01-01,41.22
2016-01-08,37.15
2016-01-15,35.78
2016-01-22,35.15
2016-01-29,36.22
2016-02-05,34.46
2016-02-12,33.83
2016-02-19,34.93
2016-02-26,36.12
2016-03-04,38.09
2016-03-11,37.75
2016-03-18,38.15
2016-03-25,37.28
2016-04-01,36.93
2016-04-08,35.49
2016-04-15,37.85
2016-04-22,41.06
2016-04-29,40.24
2016-05-06,39.53
2016-05-13,39.44
2016-05-20,41.07
2016-05-27,42.27
2016-06-03,41.52
2016-06-10,41.24
2016-06-17,40.06
2016-06-24,37.99
2016-07-01,38.04
2016-07-08,38.49
2016-07-15,39.79
2016-07-22,39.19
2016-07-29,39.4
2016-08-05,40.5
2016-08-12,39.73
2016-08-19,40.25
2016-08-26,40.85
2016-09-02,41.65
2016-09-09,40.93
2016-09-16,40.06
2016-09-23,40.2
2016-09-30,39.88
2016-10-07,40.57
2016-10-14,39.47
2016-10-21,43.05
2016-10-28,43.5
2016-11-04,42.99
2016-11-11,46.73
2016-11-18,47.44
2016-11-25,47.47
2016-12-02,47.65
2016-12-09,48.62
