date,value
2015-01-02,8.29
2015-01-09,8.27
2015-01-16,8.06
2015-01-23,8.11
2015-01-30,8.02
2015-02-06,8.53
2015-02-13,8.5
2015-02-20,8.6
2015-02-27,8.78
2015-03-06,9.24
2015-03-13,9.28
2015-03-20,9.17
2015-03-27,9.12
2015-04-03,9.07
2015-04-10,9.13
2015-04-17,9.24
2015-04-24,9.26
2015-05-01,9.33
2015-05-08,9.15
2015-05-15,9.5
2015-05-22,9.44
2015-05-29,9.42
2015-06-05,9.64
2015-06-12,9.61
2015-06-19,9.31
2015-06-26,9.29
2015-07-03,9.3
2015-07-10,9.14
2015-07-17,9.26
2015-07-24,8.71
2015-07-31,9.45
2015-08-07,9.39
2015-08-14,9.51
2015-08-21,9.1
2015-08-28,9.37
2015-09-04,9.4
2015-09-11,9.38
2015-09-18,9.12
2015-09-25,9.03
2015-10-02,8.91
2015-10-09,9.12
2015-10-16,9.25
2015-10-23,9.36
2015-10-30,9.28
2015-11-06,9.61
2015-11-13,9.27
2015-11-20,9.51
2015-11-27,9.8
2015-12-04,10.06
2015-12-11,9.4
2015-12-18,9.51
2015-12-25,9.64
2016-01-01,9.4
2016-01-08,8.98
2016-01-15,8.67
2016-01-22,8.75
2016-01-29,8.74
2016-02-05,8.7
2016-02-12,8.51
2016-02-19,8.56
2016-02-26,8.81
2016-03-04,8.89
2016-03-11,9.06
2016-03-18,9.13
2016-03-25,9.31
2016-04-01,9.56
2016-04-08,9.43
2016-04-15,9.5
2016-04-22,9.5
2016-04-29,8.41
2016-05-06,8.01
2016-05-13,7.78
2016-05-20,7.38
2016-05-27,7.64
2016-06-03,7.86
2016-06-10,7.78
2016-06-17,7.55
2016-06-24,7.68
2016-07-01,7.83
2016-07-08,7.99
2016-07-15,8.14
2016-07-22,8.29
2016-07-29,8.36
2016-08-05,8.44
2016-08-12,8.53
2016-08-19,8.73
2016-08-26,8.68
2016-09-02,8.83
2016-09-09,8.74
2016-09-16,8.28
2016-09-23,8.32
2016-09-30,8.28
2016-10-07,8.07
2016-10-14,7.8
2016-10-21,7.84
2016-10-28,7.65
2016-11-04,6.78
2016-11-11,7.29
2016-11-18,7.36
2016-11-25,7.44
2016-12-02,7.28
2016-12-09,7.64
2016-12-16,7.39
2016-12-23,7.12
2016-12-30,6.96
2017-01-06,7.42
2017-01-13,7.32
2017-01-20,7.35
2017-01-27,7.38
2017-02-03,7.48
2017-02-10,7.65
2017-02-17,7.76
2017-02-24,7.88
2017-03-03,7.78
2017-03-10,7.72
2017-03-17,7.47
2017-03-24,7.31
2017-03-31,7.55
2017-04-07,7.3
2017-04-14,7.25
2017-04-21,7.3
2017-04-28,7.33
2017-05-05,7.62
2017-05-12,7.46
2017-05-19,7.57
2017-05-26,7.68
2017-06-02,7.81
2017-06-09,7.62
2017-06-16,7.46
2017-06-23,7.49
2017-06-30,7.49
2017-07-07,7.53
2017-07-14,7.59
2017-07-21,7.59
2017-07-28,7.57
2017-08-04,7.53
2017-08-11,7.27
2017-08-18,7.22
2017-08-25,7.22
2017-09-01,7.21
2017-09-08,7.13
2017-09-15,7.25
