date,value
2015-05-22,28.36
2015-05-29,27.58
2015-06-05,28.6
2015-06-12,28.21
2015-06-19,30.11
2015-06-26,30.66
2015-07-03,30.09
2015-07-10,29.95
2015-07-17,29.17
2015-07-24,30.28
2015-07-31,32.58
2015-08-07,34.69
2015-08-14,34.67
2015-08-21,33.62
2015-08-28,31.57
2015-09-04,33.73
2015-09-11,35.25
2015-09-18,33.38
2015-09-25,32.25
2015-10-02,32.16
2015-10-09,32.49
2015-10-16,32.86
2015-10-23,33.76
2015-10-30,36.03
2015-11-06,36.24
2015-11-13,35.23
2015-11-20,34.51
2015-11-27,34.93
2015-12-04,33.83
2015-12-11,33.97
2015-12-18,32.07
2015-12-25,32.98
2016-01-01,33.06
2016-01-08,30.27
2016-01-15,28.99
2016-01-22,29.85
2016-01-29,30.17
2016-02-05,28.64
2016-02-12,28.63
2016-02-19,28.58
2016-02-26,28.5
2016-03-04,30.29
2016-03-11,29.47
2016-03-18,29.74
2016-03-25,29.04
2016-04-01,31.61
2016-04-08,29.87
2016-04-15,29.27
2016-04-22,30.94
2016-04-29,31.98
2016-05-06,32.22
2016-05-13,32.72
2016-05-20,33.05
2016-05-27,34.65
2016-06-03,35.5
2016-06-10,35.12
2016-06-17,33.84
2016-06-24,34.84
2016-07-01,37.61
2016-07-08,37.96
2016-07-15,38.52
2016-07-22,39.13
2016-07-29,38.85
2016-08-05,39.23
2016-08-12,39.34
2016-08-19,38.54
2016-08-26,39.37
2016-09-02,39.53
2016-09-09,39.26
2016-09-16,39.71
2016-09-23,40.56
2016-09-30,40.9
2016-10-07,39.02
2016-10-14,39.23
2016-10-21,39.24
2016-10-28,38.7
2016-11-04,38.4
2016-11-11,36.2
2016-11-18,36.55
2016-11-25,37.35
2016-12-02,37.05
2016-12-09,38.9
2016-12-16,38.0
2016-12-23,38.3
2016-12-30,37.8
2017-01-06,38.1
2017-01-13,36.9
2017-01-20,34.5
2017-01-27,36.1
2017-02-03,37.9
2017-02-10,38.5
2017-02-17,37.75
2017-02-24,38.4
2017-03-03,37.49
2017-03-10,38.45
2017-03-17,40.0
2017-03-24,37.85
2017-03-31,38.3
2017-04-07,38.8
2017-04-14,38.3
2017-04-21,39.9
2017-04-28,41.4
2017-05-05,41.9
2017-05-12,39.1
2017-05-19,38.6
2017-05-26,39.45
2017-06-02,40.25
2017-06-09,38.4
2017-06-16,39.0
2017-06-23,39.8
2017-06-30,40.95
2017-07-07,41.2
2017-07-14,41.8
2017-07-21,41.9
2017-07-28,42.5
2017-08-04,42.25
2017-08-11,41.4
2017-08-18,41.65
2017-08-25,42.05
2017-09-01,43.35
2017-09-08,42.35
2017-09-15,44.15
2017-09-22,43.7
2017-09-29,43.05
2017-10-06,43.4
2017-10-13,46.8
2017-10-20,45.95
2017-10-27,46.45
2017-11-03,45.75
2017-11-10,45.85
2017-11-17,45.5
2017-11-24,45.5
2017-12-01,45.15
2017-12-08,45.55
2017-12-15,45.05
2017-12-22,44.25
2017-12-29,44.15
2018-01-05,46.8
2018-01-12,49.8
2018-01-19,51.8
2018-01-26,51.55
2018-02-02,48.85
2018-02-09,45.85
2018-02-16,47.7
2018-02-23,47.7
2018-03-02,48.1
2018-03-09,48.5
2018-03-16,48.7
2018-03-23,46.25
2018-03-30,47.1
2018-04-06,47.7
2018-04-13,47.65
2018-04-20,48.8
2018-04-27,48.6
2018-05-04,49.75
2018-05-11,50.15
2018-05-18,50.2
2018-05-25,49.9
2018-06-01,50.7
2018-06-08,51.95
2018-06-15,52.1
2018-06-22,54.4
2018-06-29,53.55
2018-07-06,54.2
2018-07-13,55.25
2018-07-20,55.85
2018-07-27,53.35
2018-08-03,52.85
2018-08-10,53.05
2018-08-17,52.65
2018-08-24,53.45
2018-08-31,53.4
2018-09-07,53.9
2018-09-14,53.7
2018-09-21,53.45
2018-09-28,51.95
2018-10-05,50.21
2018-10-12,47.55
2018-10-19,47.89
2018-10-26,46.21
2018-11-02,48.49
2018-11-09,48.98
2018-11-16,49.79
2018-11-23,45.07
2018-11-30,45.34
2018-12-07,45.3
2018-12-14,44.5
2018-12-21,44.09
2018-12-28,44.84
2019-01-04,45.38
2019-01-11,46.78
2019-01-18,48.59
2019-01-25,48.15
2019-02-01,49.64
2019-02-08,50.69
2019-02-15,52.38
2019-02-22,52.29
2019-03-01,52.75
2019-03-08,51.8
2019-03-15,52.52
2019-03-22,52.69
2019-03-29,54.5
2019-04-05,54.22
2019-04-12,54.65
2019-04-19,54.87
2019-04-26,56.66
2019-05-03,54.96
2019-05-10,54.71
2019-05-17,56.39
2019-05-24,56.69
2019-05-31,56.69
2019-06-07,60.82
2019-06-14,59.6
2019-06-21,60.93
2019-06-28,60.15
2019-07-05,60.64
2019-07-12,62.64
2019-07-19,61.92
2019-07-26,63.14
2019-08-02,62.11
2019-08-09,61.31
2019-08-16,62.43
2019-08-23,62.73
2019-08-30,62.25
2019-09-06,64.1
2019-09-13,61.72
2019-09-20,61.51
2019-09-27,60.62
2019-10-04,61.14
2019-10-11,61.67
2019-10-18,61.97
2019-10-25,62.61
2019-11-01,64.06
2019-11-08,56.66
2019-11-15,60.34
2019-11-22,61.29
2019-11-29,63.01
2019-12-06,63.31
2019-12-13,63.14
2019-12-20,64.36
2019-12-27,64.47
2020-01-03,64.21
