date,value
2015-01-02,23.99
2015-01-09,23.92
2015-01-16,23.9
2015-01-23,24.02
2015-01-30,23.97
2015-02-06,24.02
2015-02-13,24.02
2015-02-20,24.16
2015-02-27,24.19
2015-03-06,24.1
2015-03-13,24.06
2015-03-20,24.01
2015-03-27,24.04
2015-04-03,24.18
2015-04-10,24.28
2015-04-17,24.13
2015-04-24,24.19
2015-05-01,24.24
2015-05-08,24.19
2015-05-15,24.12
2015-05-22,24.14
2015-05-29,24.14
2015-06-05,23.99
2015-06-12,23.95
2015-06-19,23.81
2015-06-26,23.86
2015-07-03,23.83
2015-07-10,23.9
2015-07-17,23.92
2015-07-24,23.66
2015-07-31,23.69
2015-08-07,23.57
2015-08-14,23.42
2015-08-21,23.31
2015-08-28,23.35
2015-09-04,23.43
2015-09-11,23.44
2015-09-18,23.26
2015-09-25,23.18
2015-10-02,23.05
2015-10-09,23.16
2015-10-16,23.08
2015-10-23,23.08
2015-10-30,23.0
2015-11-06,22.95
2015-11-13,22.73
2015-11-20,22.65
2015-11-27,22.68
2015-12-04,22.79
2015-12-11,22.29
2015-12-18,22.17
2015-12-25,22.36
2016-01-01,22.4
2016-01-08,22.31
2016-01-15,22.045
2016-01-22,22.19
2016-01-29,22.18
2016-02-05,22.07
2016-02-12,21.81
2016-02-19,21.85
2016-02-26,22.07
2016-03-04,22.4
2016-03-11,22.63
2016-03-18,22.72
2016-03-25,22.51
2016-04-01,22.7
2016-04-08,22.65
2016-04-15,22.74
2016-04-22,22.99
2016-04-29,23.09
2016-05-06,23.05
2016-05-13,22.92
2016-05-20,22.97
2016-05-27,23.05
2016-06-03,23.1
2016-06-10,23.07
2016-06-17,22.82
2016-06-24,22.81
2016-07-01,22.96
2016-07-08,23.09
2016-07-15,23.05
2016-07-22,23.19
2016-07-29,23.2
2016-08-05,23.18
2016-08-12,23.25
2016-08-19,23.16
2016-08-26,23.18
2016-09-02,23.23
2016-09-09,23.215
2016-09-16,23.13
2016-09-23,23.18
2016-09-30,23.21
2016-10-07,23.22
2016-10-14,23.14
2016-10-21,23.2
2016-10-28,23.2
2016-11-04,22.98
2016-11-11,23.02
2016-11-18,23.05
2016-11-25,23.07
2016-12-02,23.22
2016-12-09,23.32
2016-12-16,23.29
2016-12-23,23.33
2016-12-30,23.36
2017-01-06,23.42
2017-01-13,23.36
2017-01-20,23.33
2017-01-27,23.32
2017-02-03,23.27
2017-02-10,23.29
2017-02-17,23.26
2017-02-24,23.32
2017-03-03,23.42
2017-03-10,23.25
2017-03-17,23.25
2017-03-24,23.2
2017-03-31,23.26
2017-04-07,23.29
2017-04-14,23.23
2017-04-21,23.26
2017-04-28,23.28
2017-05-05,23.23
2017-05-12,23.3
2017-05-19,23.22
2017-05-26,23.3
2017-06-02,23.31
2017-06-09,23.22
2017-06-16,23.15
2017-06-23,23.06
2017-06-30,23.14
2017-07-07,23.13
2017-07-14,23.16
2017-07-21,23.24
2017-07-28,23.29
2017-08-04,23.22
2017-08-11,23.16
2017-08-18,23.05
2017-08-25,23.14
2017-09-01,23.12
2017-09-08,23.09
2017-09-15,23.12
2017-09-22,23.07
2017-09-29,23.16
2017-10-06,23.19
2017-10-13,23.2
2017-10-20,23.21
2017-10-27,23.14
2017-11-03,23.09
2017-11-10,23.03
2017-11-17,23.04
2017-11-24,23.03
2017-12-01,23.05
2017-12-08,23.06
2017-12-15,23.05
2017-12-22,22.99
2017-12-29,23.04
2018-01-05,23.1
2018-01-12,23.11
2018-01-19,23.18
2018-01-26,23.2
2018-02-02,23.23
2018-02-09,23.04
2018-02-16,23.14
2018-02-23,23.13
2018-03-02,23.12
2018-03-09,23.19
2018-03-16,23.17
2018-03-23,23.06
2018-03-30,23.13
2018-04-06,23.1
2018-04-13,23.15
2018-04-20,23.14
2018-04-27,23.13
2018-05-04,23.09
2018-05-11,23.11
2018-05-18,23.1
2018-05-25,23.0
2018-06-01,22.99
2018-06-08,23.06
2018-06-15,23.08
2018-06-22,22.96
2018-06-29,22.9
2018-07-06,23.04
2018-07-13,23.04
2018-07-20,23.08
2018-07-27,23.0
2018-08-03,23.02
2018-08-10,23.06
2018-08-17,23.09
2018-08-24,23.03
2018-08-31,23.06
2018-09-07,23.07
2018-09-14,23.14
2018-09-21,23.19
2018-09-28,23.17
2018-10-05,23.19
2018-10-12,23.11
2018-10-19,23.14
2018-10-26,22.99
2018-11-02,23.04
2018-11-09,23.06
2018-11-16,22.9
2018-11-23,22.64
2018-11-30,22.66
2018-12-07,22.47
2018-12-14,22.37
2018-12-21,21.91
2018-12-28,21.81
2019-01-04,22.34
2019-01-11,22.51
2019-01-18,22.55
2019-01-25,22.43
2019-02-01,22.46
2019-02-08,22.57
2019-02-15,22.68
2019-02-22,22.76
2019-03-01,22.81
2019-03-08,22.72
2019-03-15,22.79
2019-03-22,22.45
2019-03-29,22.64
2019-04-05,22.82
2019-04-12,22.91
2019-04-19,22.96
2019-04-26,22.92
2019-05-03,23.01
2019-05-10,22.89
2019-05-17,22.91
2019-05-24,22.72
2019-05-31,22.64
2019-06-07,22.69
2019-06-14,22.74
2019-06-21,22.76
2019-06-28,22.66
2019-07-05,22.71
2019-07-12,22.75
2019-07-19,22.82
2019-07-26,22.77
2019-08-02,22.72
2019-08-09,22.65
2019-08-16,22.58
2019-08-23,22.56
2019-08-30,22.61
2019-09-06,22.66
2019-09-13,22.79
2019-09-20,22.73
2019-09-27,22.57
2019-10-04,22.52
2019-10-11,22.39
2019-10-18,22.5
2019-10-25,22.52
2019-11-01,22.46
2019-11-08,22.56
2019-11-15,22.6
2019-11-22,22.43
2019-11-29,22.46
2019-12-06,22.69
2019-12-13,22.75
2019-12-20,22.87
2019-12-27,22.79
2020-01-03,22.87
