date,value
2015-01-02,32.56
2015-01-09,32.47
2015-01-16,31.83
2015-01-23,31.75
2015-01-30,30.85
2015-02-06,32.11
2015-02-13,33.01
2015-02-20,33.09
2015-02-27,32.14
2015-03-06,31.84
2015-03-13,32.38
2015-03-20,33.13
2015-03-27,32.76
2015-04-03,33.13
2015-04-10,33.21
2015-04-17,32.57
2015-04-24,32.43
2015-05-01,31.85
2015-05-08,31.91
2015-05-15,32.05
2015-05-22,32.3
2015-05-29,32.39
2015-06-05,32.93
2015-06-12,33.38
2015-06-19,33.54
2015-06-26,33.13
2015-07-03,33.13
2015-07-10,33.65
2015-07-17,34.29
2015-07-24,33.38
2015-07-31,33.45
2015-08-07,33.58
2015-08-14,34.39
2015-08-21,32.67
2015-08-28,32.39
2015-09-04,31.14
2015-09-11,31.79
2015-09-18,31.39
2015-09-25,31.28
2015-10-02,31.09
2015-10-09,31.97
2015-10-16,31.32
2015-10-23,32.05
2015-10-30,32.27
2015-11-06,32.11
2015-11-13,31.34
2015-11-20,32.58
2015-11-27,32.4
2015-12-04,33.02
2015-12-11,32.02
2015-12-18,31.25
2015-12-25,32.08
2016-01-01,32.1
2016-01-08,30.2
2016-01-15,29.87
2016-01-22,29.4
2016-01-29,30.25
2016-02-05,31.5
2016-02-12,31.37
2016-02-19,31.48
2016-02-26,32.45
2016-03-04,33.63
2016-03-11,34.36
2016-03-18,35.2
2016-03-25,35.22
2016-04-01,35.61
2016-04-08,34.64
2016-04-15,35.52
2016-04-22,34.69
2016-04-29,35.11
2016-05-06,34.89
2016-05-13,35.13
2016-05-20,35.2
2016-05-27,35.97
2016-06-03,35.98
2016-06-10,36.41
2016-06-17,35.61
2016-06-24,35.61
2016-07-01,37.1
2016-07-08,37.34
2016-07-15,36.04
2016-07-22,37.07
2016-07-29,36.66
2016-08-05,36.85
2016-08-12,36.51
2016-08-19,36.57
2016-08-26,36.88
2016-09-02,38.0
2016-09-09,36.83
2016-09-16,36.94
2016-09-23,37.49
2016-09-30,37.71
2016-10-07,38.21
2016-10-14,37.44
2016-10-21,37.62
2016-10-28,36.76
2016-11-04,36.28
2016-11-11,39.15
2016-11-18,42.34
2016-11-25,43.18
2016-12-02,43.22
2016-12-09,44.42
2016-12-16,44.88
2016-12-23,44.89
2016-12-30,44.86
2017-01-06,44.91
2017-01-13,44.26
2017-01-20,43.83
2017-01-27,43.26
2017-02-03,42.53
2017-02-10,42.98
2017-02-17,43.87
2017-02-24,43.42
2017-03-03,43.6
2017-03-10,43.21
2017-03-17,43.76
2017-03-24,42.61
2017-03-31,41.72
2017-04-07,41.81
2017-04-14,41.32
2017-04-21,42.5
2017-04-28,42.9
2017-05-05,43.08
2017-05-12,42.29
2017-05-19,42.07
2017-05-26,42.87
2017-06-02,43.81
2017-06-09,43.85
2017-06-16,44.33
2017-06-23,42.93
2017-06-30,43.07
2017-07-07,43.16
2017-07-14,43.3
2017-07-21,44.07
2017-07-28,44.58
2017-08-04,44.06
2017-08-11,43.54
2017-08-18,43.63
2017-08-25,44.29
2017-09-01,45.05
2017-09-08,48.13
2017-09-15,46.42
2017-09-22,47.42
2017-09-29,48.19
2017-10-06,48.73
2017-10-13,49.39
2017-10-20,49.32
2017-10-27,49.68
2017-11-03,50.39
2017-11-10,49.48
2017-11-17,49.88
2017-11-24,50.05
2017-12-01,51.75
2017-12-08,51.93
2017-12-15,51.18
2017-12-22,51.11
2017-12-29,51.46
2018-01-05,52.29
2018-01-12,52.42
2018-01-19,52.5
2018-01-26,53.77
2018-02-02,52.98
2018-02-09,50.49
2018-02-16,52.7
2018-02-23,52.88
2018-03-02,52.27
2018-03-09,53.63
2018-03-16,52.75
2018-03-23,49.94
2018-03-30,25.44
2018-04-06,25.09
2018-04-13,25.72
2018-04-20,25.95
2018-04-27,27.73
2018-05-04,27.51
2018-05-11,27.45
2018-05-18,27.61
2018-05-25,27.81
2018-06-01,28.04
2018-06-08,28.48
2018-06-15,28.26
2018-06-22,28.22
2018-06-29,27.73
2018-07-06,28.3
2018-07-13,28.75
2018-07-20,29.67
2018-07-27,29.28
2018-08-03,29.29
2018-08-10,29.65
2018-08-17,29.82
2018-08-24,30.38
2018-08-31,30.48
2018-09-07,30.82
2018-09-14,31.07
2018-09-21,30.27
2018-09-28,29.57
2018-10-05,29.32
2018-10-12,27.91
2018-10-19,28.85
2018-10-26,27.94
2018-11-02,28.18
2018-11-09,29.29
2018-11-16,28.87
2018-11-23,28.46
2018-11-30,29.02
2018-12-07,27.59
2018-12-14,27.62
2018-12-21,26.53
2018-12-28,27.18
2019-01-04,27.39
2019-01-11,27.78
2019-01-18,28.64
2019-01-25,28.2
2019-02-01,27.87
2019-02-08,27.83
2019-02-15,29.06
2019-02-22,29.51
2019-03-01,29.87
2019-03-08,28.87
2019-03-15,29.46
2019-03-22,28.88
2019-03-29,29.51
2019-04-05,29.93
2019-04-12,30.51
2019-04-19,30.57
2019-04-26,31.68
2019-05-03,32.34
2019-05-10,32.19
2019-05-17,31.69
2019-05-24,31.85
2019-05-31,31.57
2019-06-07,32.87
2019-06-14,32.82
2019-06-21,32.9
2019-06-28,33.5
2019-07-05,34.76
2019-07-12,34.99
2019-07-19,34.7
2019-07-26,36.39
2019-08-02,35.85
2019-08-09,36.74
2019-08-16,36.08
2019-08-23,35.42
2019-08-30,36.89
2019-09-06,36.81
2019-09-13,35.98
2019-09-20,36.23
2019-09-27,35.79
2019-10-04,36.41
2019-10-11,36.04
2019-10-18,36.32
2019-10-25,35.96
2019-11-01,37.63
2019-11-08,37.75
2019-11-15,37.87
2019-11-22,37.85
2019-11-29,37.74
2019-12-06,38.37
2019-12-13,38.86
2019-12-20,40.25
2019-12-27,39.3
2020-01-03,39.65
