date,value
2015-01-02,20.58
2015-01-09,20.65
2015-01-16,20.8
2015-01-23,20.911
2015-01-30,21.19
2015-02-06,20.82
2015-02-13,20.92
2015-02-20,20.84
2015-02-27,20.95
2015-03-06,20.59
2015-03-13,20.6
2015-03-20,20.8438
2015-03-27,20.81
2015-04-03,20.954
2015-04-10,20.88
2015-04-17,21.02
2015-04-24,20.9498
2015-05-01,20.6367
2015-05-08,20.63
2015-05-15,20.615
2015-05-22,20.49
2015-05-29,20.58
2015-06-05,20.16
2015-06-12,20.2
2015-06-19,20.2849
2015-06-26,20.07
2015-07-03,20.1672
2015-07-10,20.09
2015-07-17,20.16
2015-07-24,20.14
2015-07-31,20.24
2015-08-07,20.1007
2015-08-14,20.0652
2015-08-21,20.43
2015-08-28,20.2
2015-09-04,20.16
2015-09-11,20.05
2015-09-18,20.22
2015-09-25,20.17
2015-10-02,20.23
2015-10-09,20.28
2015-10-16,20.36
2015-10-23,20.41
2015-10-30,20.2677
2015-11-06,20.1
2015-11-13,20.16
2015-11-20,20.19
2015-11-27,20.1532
2015-12-04,20.13
2015-12-11,20.16
2015-12-18,20.09
2015-12-25,20.08
2016-01-01,19.93
2016-01-08,20.12
2016-01-15,20.01
2016-01-22,19.93
2016-01-29,20.05
2016-02-05,20.05
2016-02-12,20.0
2016-02-19,20.05
2016-02-26,20.18
2016-03-04,20.2
2016-03-11,20.25
2016-03-18,20.51
2016-03-25,20.55
2016-04-01,20.69
2016-04-08,20.82
2016-04-15,20.82
2016-04-22,20.85
2016-04-29,20.93
2016-05-06,20.9
2016-05-13,20.94
2016-05-20,20.8119
2016-05-27,20.85
2016-06-03,21.01
2016-06-10,21.07
2016-06-17,21.07
2016-06-24,21.14
2016-07-01,21.28
2016-07-08,21.43
2016-07-15,21.28
2016-07-22,21.34
2016-07-29,21.4205
2016-08-05,21.27
2016-08-12,21.394
2016-08-19,21.4
2016-08-26,21.39
2016-09-02,21.3491
2016-09-09,21.2643
2016-09-16,21.15
2016-09-23,21.31
2016-09-30,21.3799
2016-10-07,21.2
2016-10-14,21.17
2016-10-21,21.2
2016-10-28,21.08
2016-11-04,20.975
2016-11-11,20.73
2016-11-18,20.49
2016-11-25,20.53
2016-12-02,20.52
2016-12-09,20.45
2016-12-16,20.376
2016-12-23,20.49
2016-12-30,20.47
2017-01-06,20.54
2017-01-13,20.58
2017-01-20,20.56
2017-01-27,20.58
2017-02-03,20.56
2017-02-10,20.6
2017-02-17,20.5925
2017-02-24,20.76
2017-03-03,20.55
2017-03-10,20.44
2017-03-17,20.56
2017-03-24,20.65
2017-03-31,20.69
2017-04-07,20.7
2017-04-14,20.87
2017-04-21,20.91
2017-04-28,20.88
2017-05-05,20.7849
2017-05-12,20.88
2017-05-19,20.98
2017-05-26,21.0
2017-06-02,21.04
2017-06-09,21.0
2017-06-16,21.059
2017-06-23,21.06
2017-06-30,20.98
2017-07-07,20.89
2017-07-14,21.05
2017-07-21,21.13
2017-07-28,21.12
2017-08-04,21.08
2017-08-11,21.09
2017-08-18,21.11
2017-08-25,21.1256
2017-09-01,21.1
2017-09-08,21.16
2017-09-15,21.07
2017-09-22,21.08
2017-09-29,21.1
2017-10-06,21.06
2017-10-13,21.13
2017-10-20,21.0303
2017-10-27,21.07
2017-11-03,21.04
2017-11-10,20.959
2017-11-17,20.94
2017-11-24,20.99
2017-12-01,20.9401
2017-12-08,20.93
2017-12-15,20.91
2017-12-22,20.87
2017-12-29,20.82
2018-01-05,20.81
2018-01-12,20.785
2018-01-19,20.68
2018-01-26,20.693
2018-02-02,20.55
2018-02-09,20.5
2018-02-16,20.45
2018-02-23,20.47
2018-03-02,20.36
2018-03-09,20.35
2018-03-16,20.304
2018-03-23,20.295
2018-03-30,20.39
2018-04-06,20.35
2018-04-13,20.322
2018-04-20,20.228
2018-04-27,20.22
2018-05-04,20.195
2018-05-11,20.17
2018-05-18,20.125
2018-05-25,20.25
2018-06-01,20.26
2018-06-08,20.19
2018-06-15,20.19
2018-06-22,20.17
2018-06-29,20.19
2018-07-06,20.22
2018-07-13,20.24
2018-07-20,20.24
2018-07-27,20.22
2018-08-03,20.24
2018-08-10,20.29
2018-08-17,20.33
2018-08-24,20.35
2018-08-31,20.32
2018-09-07,20.275
2018-09-14,20.251
2018-09-21,20.25
2018-09-28,20.22
2018-10-05,20.13
2018-10-12,20.16
2018-10-19,20.06
2018-10-26,20.14
2018-11-02,20.04
2018-11-09,20.065
2018-11-16,20.11
2018-11-23,20.037
2018-11-30,20.02
2018-12-07,20.07
2018-12-14,20.12
2018-12-21,20.15
2018-12-28,20.15
2019-01-04,20.15
2019-01-11,20.25
2019-01-18,20.32
2019-01-25,20.33
2019-02-01,20.47
2019-02-08,20.54
2019-02-15,20.55
2019-02-22,20.53
2019-03-01,20.525
2019-03-08,20.63
2019-03-15,20.6803
2019-03-22,20.78
2019-03-29,20.8
2019-04-05,20.75
2019-04-12,20.77
2019-04-19,20.77
2019-04-26,20.78
2019-05-03,20.76
2019-05-10,20.8
2019-05-17,20.85
2019-05-24,20.82
2019-05-31,20.94
2019-06-07,21.03
2019-06-14,21.04
2019-06-21,21.16
2019-06-28,21.155
2019-07-05,21.13
2019-07-12,21.1
2019-07-19,21.17
2019-07-26,21.1
2019-08-02,21.21
2019-08-09,21.27
2019-08-16,21.32
2019-08-23,21.32
2019-08-30,21.36
2019-09-06,21.34
2019-09-13,21.16
2019-09-20,21.275
2019-09-27,21.25
2019-10-04,21.39
2019-10-11,21.29
2019-10-18,21.32
2019-10-25,21.27
2019-11-01,21.31
2019-11-08,21.23
2019-11-15,21.29
2019-11-22,21.25
2019-11-29,21.255
2019-12-06,21.27
2019-12-13,21.3
2019-12-20,21.295
2019-12-27,21.3
2020-01-03,21.35
