date,value
2015-01-02,13.22
2015-01-09,14.65
2015-01-16,14.46
2015-01-23,14.84
2015-01-30,14.81
2015-02-06,14.72
2015-02-13,14.98
2015-02-20,16.47
2015-02-27,16.9
2015-03-06,16.56
2015-03-13,16.61
2015-03-20,17.84
2015-03-27,17.83
2015-04-03,17.72
2015-04-10,18.1
2015-04-17,18.4
2015-04-24,18.34
2015-05-01,17.74
2015-05-08,17.51
2015-05-15,17.85
2015-05-22,17.83
2015-05-29,18.27
2015-06-05,17.85
2015-06-12,17.56
2015-06-19,17.84
2015-06-26,18.09
2015-07-03,17.57
2015-07-10,17.6
2015-07-17,17.94
2015-07-24,17.36
2015-07-31,17.34
2015-08-07,17.29
2015-08-14,17.43
2015-08-21,16.35
2015-08-28,17.07
2015-09-04,16.24
2015-09-11,16.89
2015-09-18,16.75
2015-09-25,16.31
2015-10-02,16.92
2015-10-09,16.88
2015-10-16,17.07
2015-10-23,16.73
2015-10-30,18.28
2015-11-06,18.78
2015-11-13,17.51
2015-11-20,17.87
2015-11-27,18.33
2015-12-04,18.51
2015-12-11,18.1
2015-12-18,18.19
2015-12-25,18.72
2016-01-01,18.44
2016-01-08,17.43
2016-01-15,17.87
2016-01-22,17.85
2016-01-29,17.53
2016-02-05,16.62
2016-02-12,16.64
2016-02-19,17.16
2016-02-26,17.21
2016-03-04,17.44
2016-03-11,18.05
2016-03-18,18.12
2016-03-25,17.93
2016-04-01,18.94
2016-04-08,19.31
2016-04-15,19.46
2016-04-22,19.76
2016-04-29,21.92
2016-05-06,22.03
2016-05-13,22.35
2016-05-20,22.37
2016-05-27,22.58
2016-06-03,22.8
2016-06-10,23.02
2016-06-17,22.49
2016-06-24,22.37
2016-07-01,23.41
2016-07-08,23.9
2016-07-15,23.58
2016-07-22,23.92
2016-07-29,24.28
2016-08-05,24.14
2016-08-12,23.89
2016-08-19,24.17
2016-08-26,23.97
2016-09-02,24.26
2016-09-09,23.51
2016-09-16,23.5
2016-09-23,23.71
2016-09-30,23.8
2016-10-07,23.48
2016-10-14,22.95
2016-10-21,22.82
2016-10-28,22.09
2016-11-04,21.56
2016-11-11,21.5
2016-11-18,21.34
2016-11-25,21.15
2016-12-02,20.35
2016-12-09,20.81
2016-12-16,21.4
2016-12-23,21.81
2016-12-30,21.63
2017-01-06,22.15
2017-01-13,23.82
2017-01-20,23.9
2017-01-27,23.87
2017-02-03,25.22
2017-02-10,25.2
2017-02-17,25.39
2017-02-24,24.78
2017-03-03,24.98
2017-03-10,24.64
2017-03-17,24.43
2017-03-24,24.32
2017-03-31,24.87
2017-04-07,24.65
2017-04-14,24.44
2017-04-21,24.86
2017-04-28,26.38
2017-05-05,26.51
2017-05-12,26.23
2017-05-19,26.41
2017-05-26,27.32
2017-06-02,27.6
2017-06-09,27.82
2017-06-16,27.75
2017-06-23,28.1
2017-06-30,27.72
2017-07-07,27.59
2017-07-14,27.78
2017-07-21,27.62
2017-07-28,27.01
2017-08-04,26.83
2017-08-11,26.41
2017-08-18,26.89
2017-08-25,26.72
2017-09-01,27.5
2017-09-08,28.79
2017-09-15,28.93
2017-09-22,28.85
2017-09-29,29.17
2017-10-06,29.5
2017-10-13,29.44
2017-10-20,29.69
2017-10-27,28.5
2017-11-03,27.86
2017-11-10,28.36
2017-11-17,28.26
2017-11-24,28.66
2017-12-01,26.15
2017-12-08,25.77
2017-12-15,25.78
2017-12-22,25.1
2017-12-29,24.79
2018-01-05,25.97
2018-01-12,27.46
2018-01-19,27.65
2018-01-26,28.42
2018-02-02,27.39
2018-02-09,25.92
2018-02-16,27.2
2018-02-23,27.2
2018-03-02,26.77
2018-03-09,28.54
2018-03-16,27.93
2018-03-23,26.3
2018-03-30,27.32
2018-04-06,27.35
2018-04-13,28.31
2018-04-20,28.84
2018-04-27,29.23
2018-05-04,29.55
2018-05-11,29.97
2018-05-18,30.45
2018-05-25,30.31
2018-06-01,30.59
2018-06-08,31.95
2018-06-15,32.96
2018-06-22,32.62
2018-06-29,32.7
2018-07-06,33.61
2018-07-13,33.35
2018-07-20,33.77
2018-07-27,33.77
2018-08-03,33.53
2018-08-10,33.55
2018-08-17,34.41
2018-08-24,34.72
2018-08-31,35.56
2018-09-07,35.85
2018-09-14,37.39
2018-09-21,37.77
2018-09-28,38.5
2018-10-05,37.85
2018-10-12,36.99
2018-10-19,36.54
2018-10-26,35.83
2018-11-02,36.81
2018-11-09,38.6
2018-11-16,37.21
2018-11-23,34.8
2018-11-30,37.67
2018-12-07,35.48
2018-12-14,35.8
2018-12-21,32.83
2018-12-28,34.67
2019-01-04,34.21
2019-01-11,35.56
2019-01-18,37.69
2019-01-25,37.45
2019-02-01,37.93
2019-02-08,39.19
2019-02-15,40.01
2019-02-22,40.52
2019-03-01,40.75
2019-03-08,39.51
2019-03-15,40.21
2019-03-22,37.3
2019-03-29,38.38
2019-04-05,38.16
2019-04-12,37.73
2019-04-19,35.11
2019-04-26,37.38
2019-05-03,37.2
2019-05-10,36.58
2019-05-17,37.32
2019-05-24,38.47
2019-05-31,38.41
2019-06-07,41.28
2019-06-14,40.42
2019-06-21,41.69
2019-06-28,42.98
2019-07-05,42.62
2019-07-12,42.25
2019-07-19,42.25
2019-07-26,42.08
2019-08-02,42.75
2019-08-09,43.2
2019-08-16,42.15
2019-08-23,41.17
2019-08-30,42.73
