date,value
2015-01-02,25.15
2015-01-09,25.28
2015-01-16,25.3
2015-01-23,25.38
2015-01-30,25.46
2015-02-06,25.34
2015-02-13,25.36
2015-02-20,25.32
2015-02-27,25.46
2015-03-06,25.2
2015-03-13,25.23
2015-03-20,25.38
2015-03-27,25.26
2015-04-03,25.36
2015-04-10,25.46
2015-04-17,25.48
2015-04-24,25.4
2015-05-01,25.26
2015-05-08,25.28
2015-05-15,25.28
2015-05-22,25.2
2015-05-29,25.19
2015-06-05,24.94
2015-06-12,24.89
2015-06-19,24.93
2015-06-26,24.75
2015-07-03,24.84
2015-07-10,24.84
2015-07-17,24.88
2015-07-24,24.86
2015-07-31,24.93
2015-08-07,24.74
2015-08-14,24.77
2015-08-21,24.71
2015-08-28,24.69
2015-09-04,24.62
2015-09-11,24.69
2015-09-18,24.78
2015-09-25,24.67
2015-10-02,24.51
2015-10-09,24.72
2015-10-16,24.72
2015-10-23,24.78
2015-10-30,24.69
2015-11-06,24.47
2015-11-13,24.37
2015-11-20,24.54
2015-11-27,24.47
2015-12-04,24.36
2015-12-11,24.26
2015-12-18,24.13
2015-12-25,24.17
2016-01-01,24.01
2016-01-08,24.08
2016-01-15,24.06
2016-01-22,23.98
2016-01-29,24.17
2016-02-05,24.08
2016-02-12,24.13
2016-02-19,24.07
2016-02-26,24.25
2016-03-04,24.29
2016-03-11,24.42
2016-03-18,24.53
2016-03-25,24.52
2016-04-01,24.68
2016-04-08,24.71
2016-04-15,24.7
2016-04-22,24.82
2016-04-29,24.96
2016-05-06,24.77
2016-05-13,24.85
2016-05-20,24.77
2016-05-27,24.83
2016-06-03,24.84
2016-06-10,24.88
2016-06-17,24.93
2016-06-24,25.0
2016-07-01,25.09
2016-07-08,25.21
2016-07-15,25.19
2016-07-22,25.23
2016-07-29,25.18
2016-08-05,25.13
2016-08-12,25.23
2016-08-19,25.2
2016-08-26,25.18
2016-09-02,25.24
2016-09-09,25.14
2016-09-16,25.07
2016-09-23,25.28
2016-09-30,25.3
2016-10-07,25.14
2016-10-14,25.13
2016-10-21,25.23
2016-10-28,24.94
