date,value
2015-01-02,107.84
2015-01-09,108.55
2015-01-16,109.27
2015-01-23,109.68
2015-01-30,110.62
2015-02-06,109.15
2015-02-13,109.14
2015-02-20,108.8
2015-02-27,109.53
2015-03-06,108.51
2015-03-13,109.31
2015-03-20,110.19
2015-03-27,110.1
2015-04-03,109.95
2015-04-10,110.15
2015-04-17,110.45
2015-04-24,109.99
2015-05-01,108.57
2015-05-08,108.09
2015-05-15,107.84
2015-05-22,107.75
2015-05-29,108.28
2015-06-05,106.68
2015-06-12,106.68
2015-06-19,107.22
2015-06-26,106.52
2015-07-03,106.47
2015-07-10,106.49
2015-07-17,107.48
2015-07-24,107.76
2015-07-31,107.4
2015-08-07,107.38
2015-08-14,106.94
2015-08-21,107.61
2015-08-28,106.93
2015-09-04,106.47
2015-09-11,106.37
2015-09-18,106.81
2015-09-25,106.01
2015-10-02,106.29
2015-10-09,106.25
2015-10-16,106.76
2015-10-23,106.93
2015-10-30,106.26
2015-11-06,105.14
2015-11-13,105.42
2015-11-20,105.48
2015-11-27,105.56
2015-12-04,105.44
2015-12-11,106.04
2015-12-18,105.4
2015-12-25,105.58
2016-01-01,104.22
2016-01-08,104.43
2016-01-15,104.53
2016-01-22,103.82
2016-01-29,104.99
2016-02-05,104.34
2016-02-12,103.91
2016-02-19,104.07
2016-02-26,104.25
2016-03-04,104.03
2016-03-11,104.05
2016-03-18,104.93
2016-03-25,104.87
2016-04-01,105.26
2016-04-08,105.76
2016-04-15,105.65
2016-04-22,105.69
2016-04-29,106.11
2016-05-06,105.83
2016-05-13,106.11
2016-05-20,105.57
2016-05-27,105.64
2016-06-03,106.39
2016-06-10,106.68
2016-06-17,106.3
2016-06-24,106.62
2016-07-01,107.53
2016-07-08,108.18
2016-07-15,107.19
2016-07-22,107.68
2016-07-29,107.91
2016-08-05,107.32
2016-08-12,107.56
2016-08-19,107.64
2016-08-26,107.52
2016-09-02,107.49
2016-09-09,107.18
2016-09-16,106.77
2016-09-23,107.64
2016-09-30,107.95
2016-10-07,106.88
2016-10-14,106.62
2016-10-21,107.17
2016-10-28,106.84
2016-11-04,106.87
2016-11-11,105.04
2016-11-18,104.35
2016-11-25,104.03
2016-12-02,103.67
2016-12-09,103.93
2016-12-16,103.1
2016-12-23,103.92
2016-12-30,104.13
2017-01-06,104.31
2017-01-13,104.5
2017-01-20,104.24
2017-01-27,104.72
2017-02-03,104.63
2017-02-10,105.18
2017-02-17,105.0
2017-02-24,105.61
2017-03-03,104.48
2017-03-10,104.09
2017-03-17,104.67
2017-03-24,105.2
2017-03-31,105.32
2017-04-07,105.42
2017-04-14,106.07
2017-04-21,106.27
2017-04-28,105.73
2017-05-05,105.16
2017-05-12,105.42
