date,value
2015-01-02,22.66
2015-01-09,21.09
2015-01-16,21.68
2015-01-23,22.14
2015-01-30,20.97
2015-02-06,22.03
2015-02-13,24.72
2015-02-20,23.79
2015-02-27,24.28
2015-03-06,23.99
2015-03-13,23.77
2015-03-20,24.47
2015-03-27,24.52
2015-04-03,24.71
2015-04-10,25.22
2015-04-17,24.44
2015-04-24,24.88
2015-05-01,22.6
2015-05-08,22.75
2015-05-15,22.55
2015-05-22,22.23
2015-05-29,21.62
2015-06-05,21.89
2015-06-12,21.56
2015-06-19,22.02
2015-06-26,21.86
2015-07-03,19.35
2015-07-10,18.25
2015-07-17,19.47
2015-07-24,17.09
2015-07-31,14.06
2015-08-07,13.71
2015-08-14,12.99
