date,value
2015-01-02,79.51
2015-01-09,81.62
2015-01-16,82.63
2015-01-23,86.83
2015-01-30,86.51
2015-02-06,86.66
2015-02-13,88.0
2015-02-20,88.71
2015-02-27,86.31
2015-03-06,85.04
2015-03-13,84.91
2015-03-20,86.8
2015-03-27,84.81
2015-04-03,84.15
2015-04-10,84.69
2015-04-17,85.84
2015-04-24,85.98
2015-05-01,83.17
2015-05-08,83.67
2015-05-15,83.8
2015-05-22,82.06
2015-05-29,81.55
2015-06-05,82.78
2015-06-12,82.7
2015-06-19,82.79
2015-06-26,81.54
2015-07-03,81.11
2015-07-10,81.34
2015-07-17,81.09
2015-07-24,82.43
2015-07-31,81.91
2015-08-07,82.34
2015-08-14,86.07
2015-08-21,82.67
2015-08-28,83.75
2015-09-04,81.04
2015-09-11,78.63
2015-09-18,77.41
2015-09-25,78.75
2015-10-02,79.94
2015-10-09,81.19
2015-10-16,81.66
2015-10-23,85.32
2015-10-30,85.46
2015-11-06,84.72
2015-11-13,83.66
2015-11-20,87.05
2015-11-27,86.07
2015-12-04,85.11
2015-12-11,84.82
2015-12-18,84.82
2015-12-25,86.94
2016-01-01,86.45
2016-01-08,83.08
2016-01-15,79.12
2016-01-22,81.62
2016-01-29,86.2
2016-02-05,84.06
2016-02-12,83.13
2016-02-19,85.46
2016-02-26,85.79
2016-03-04,87.25
2016-03-11,85.78
2016-03-18,86.42
2016-03-25,85.58
2016-04-01,87.11
2016-04-08,88.05
2016-04-15,87.28
2016-04-22,87.75
2016-04-29,86.88
2016-05-06,88.34
2016-05-13,89.85
2016-05-20,89.92
2016-05-27,90.8
2016-06-03,92.76
2016-06-10,94.13
2016-06-17,94.41
2016-06-24,96.44
2016-07-01,101.18
2016-07-08,102.2
2016-07-15,100.11
2016-07-22,98.87
2016-07-29,97.03
2016-08-05,96.22
2016-08-12,96.52
2016-08-19,93.37
2016-08-26,93.26
2016-09-02,96.06
2016-09-09,93.31
2016-09-16,90.37
2016-09-23,95.18
2016-09-30,94.21
2016-10-07,88.3
2016-10-14,92.03
2016-10-21,94.92
2016-10-28,91.22
2016-11-04,87.81
2016-11-11,82.25
2016-11-18,85.0
2016-11-25,84.77
2016-12-02,81.88
2016-12-09,85.57
2016-12-16,85.7
2016-12-23,87.24
2016-12-30,86.77
2017-01-06,85.5
2017-01-13,85.68
2017-01-20,86.82
2017-01-27,86.85
2017-02-03,88.74
2017-02-10,87.56
2017-02-17,89.23
2017-02-24,92.59
2017-03-03,91.75
2017-03-10,90.28
2017-03-17,89.8
2017-03-24,93.68
2017-03-31,94.45
2017-04-07,94.5
2017-04-14,96.0
2017-04-21,95.53
2017-04-28,94.6
2017-05-05,95.92
2017-05-12,94.06
2017-05-19,99.44
2017-05-26,102.81
2017-06-02,104.59
2017-06-09,102.06
2017-06-16,101.18
2017-06-23,99.84
2017-06-30,100.18
2017-07-07,99.47
2017-07-14,101.1
2017-07-21,99.17
2017-07-28,100.58
2017-08-04,102.02
2017-08-11,100.85
2017-08-18,104.12
2017-08-25,106.99
2017-09-01,107.01
2017-09-08,106.49
2017-09-15,105.48
2017-09-22,100.6
2017-09-29,99.98
2017-10-06,101.52
2017-10-13,102.5
2017-10-20,104.99
2017-10-27,103.19
2017-11-03,106.51
2017-11-10,113.28
2017-11-17,110.02
2017-11-24,112.72
2017-12-01,112.55
2017-12-08,109.5
2017-12-15,110.65
2017-12-22,108.55
2017-12-29,111.01
2018-01-05,108.03
2018-01-12,103.57
2018-01-19,107.35
2018-01-26,110.63
2018-02-02,112.1
2018-02-09,103.86
2018-02-16,109.12
2018-02-23,110.44
2018-03-02,104.56
2018-03-09,110.99
2018-03-16,109.08
2018-03-23,109.66
2018-03-30,109.61
2018-04-06,108.01
2018-04-13,103.76
2018-04-20,102.62
2018-04-27,101.31
2018-05-04,103.31
2018-05-11,103.61
2018-05-18,102.23
2018-05-25,102.74
2018-06-01,103.8
2018-06-08,103.04
2018-06-15,101.09
2018-06-22,103.6
2018-06-29,107.82
2018-07-06,111.27
2018-07-13,111.06
2018-07-20,110.33
2018-07-27,109.06
2018-08-03,112.49
2018-08-10,110.34
2018-08-17,113.86
2018-08-24,112.43
2018-08-31,114.03
2018-09-07,113.02
2018-09-14,111.55
2018-09-21,111.71
2018-09-28,111.33
2018-10-05,108.74
2018-10-12,104.95
2018-10-19,106.93
2018-10-26,103.54
2018-11-02,109.34
2018-11-09,110.87
2018-11-16,112.12
2018-11-23,107.96
2018-11-30,114.9
2018-12-07,115.76
2018-12-14,114.55
2018-12-21,106.2
2018-12-28,108.12
2019-01-04,108.07
2019-01-11,107.38
2019-01-18,107.61
2019-01-25,113.7
2019-02-01,116.98
2019-02-08,118.37
2019-02-15,120.13
2019-02-22,119.87
2019-03-01,119.23
2019-03-08,120.96
2019-03-15,125.03
2019-03-22,125.5
2019-03-29,128.0
2019-04-05,129.1
2019-04-12,128.87
2019-04-19,122.62
2019-04-26,124.01
2019-05-03,124.79
2019-05-10,125.68
2019-05-17,127.25
2019-05-24,127.83
2019-05-31,130.01
2019-06-07,135.22
2019-06-14,133.31
2019-06-21,135.78
2019-06-28,130.35
2019-07-05,134.23
2019-07-12,132.52
2019-07-19,125.48
2019-07-26,130.58
2019-08-02,135.23
2019-08-09,141.24
2019-08-16,142.92
2019-08-23,146.34
2019-08-30,145.17
2019-09-06,146.44
2019-09-13,136.44
2019-09-20,140.58
2019-09-27,137.87
2019-10-04,137.92
2019-10-11,136.68
2019-10-18,144.06
2019-10-25,141.0
2019-11-01,137.42
2019-11-08,130.81
2019-11-15,134.68
2019-11-22,132.32
2019-11-29,133.66
2019-12-06,135.46
2019-12-13,132.68
2019-12-20,142.0
2019-12-27,141.08
2020-01-03,142.46
