date,value
2015-01-02,18.83
2015-01-09,18.55
2015-01-16,18.33
2015-01-23,18.455
2015-01-30,17.99
2015-02-06,17.13
2015-02-13,18.02
2015-02-20,18.5
2015-02-27,18.355
2015-03-06,18.09
2015-03-13,18.115
2015-03-20,18.66
2015-03-27,18.08
2015-04-03,18.5
2015-04-10,19.055
2015-04-17,18.43
2015-04-24,18.99
2015-05-01,18.96
2015-05-08,19.18
2015-05-15,19.2
2015-05-22,19.9
2015-05-29,19.79
2015-06-05,20.39
2015-06-12,19.85
2015-06-19,20.07
2015-06-26,20.04
2015-07-03,19.36
2015-07-10,19.58
2015-07-17,19.54
2015-07-24,19.16
2015-07-31,20.97
2015-08-07,20.9
2015-08-14,21.56
2015-08-21,19.8
2015-08-28,20.14
2015-09-04,20.29
2015-09-11,20.65
2015-09-18,20.81
2015-09-25,20.955
2015-10-02,20.81
2015-10-09,21.75
2015-10-16,21.35
2015-10-23,21.395
2015-10-30,22.22
2015-11-06,22.71
2015-11-13,22.29
2015-11-20,21.47
2015-11-27,22.37
2015-12-04,21.65
2015-12-11,21.09
2015-12-18,21.0
2015-12-25,21.29
2016-01-01,20.81
2016-01-08,19.24
2016-01-15,19.0
2016-01-22,19.52
2016-01-29,19.56
2016-02-05,20.0
2016-02-12,20.28
2016-02-19,20.95
2016-02-26,21.63
2016-03-04,22.3
2016-03-11,22.54
2016-03-18,23.17
2016-03-25,23.0
2016-04-01,23.64
2016-04-08,23.41
2016-04-15,23.46
2016-04-22,23.74
2016-04-29,23.19
2016-05-06,23.35
2016-05-13,23.68
2016-05-20,24.55
2016-05-27,25.05
2016-06-03,24.7
2016-06-10,24.7
2016-06-17,24.26
2016-06-24,23.78
2016-07-01,24.38
2016-07-08,25.05
2016-07-15,25.58
2016-07-22,26.07
2016-07-29,24.05
2016-08-05,24.68
2016-08-12,24.71
2016-08-19,24.99
2016-08-26,25.57
2016-09-02,25.91
2016-09-09,25.04
2016-09-16,24.23
2016-09-23,24.81
2016-09-30,25.53
2016-10-07,25.53
2016-10-14,25.99
2016-10-21,25.71
2016-10-28,25.38
2016-11-04,24.93
2016-11-11,25.33
2016-11-18,26.4
2016-11-25,26.76
2016-12-02,25.32
2016-12-09,25.95
2016-12-16,25.54
2016-12-23,25.76
2016-12-30,25.22
2017-01-06,25.65
2017-01-13,26.07
2017-01-20,25.94
2017-01-27,26.22
2017-02-03,29.13
2017-02-10,29.53
2017-02-17,30.2
2017-02-24,31.29
2017-03-03,31.1
2017-03-10,31.4
2017-03-17,31.86
2017-03-24,31.61
2017-03-31,31.4
2017-04-07,31.18
2017-04-14,31.11
2017-04-21,32.88
2017-04-28,32.57
2017-05-05,33.04
2017-05-12,32.89
2017-05-19,32.78
2017-05-26,34.93
2017-06-02,35.27
2017-06-09,34.72
2017-06-16,34.18
2017-06-23,34.26
2017-06-30,33.49
2017-07-07,33.67
2017-07-14,34.73
2017-07-21,34.98
2017-07-28,37.01
2017-08-04,36.2
2017-08-11,36.34
2017-08-18,36.95
2017-08-25,37.4
2017-09-01,38.69
2017-09-08,38.24
2017-09-15,38.27
2017-09-22,38.88
2017-09-29,39.47
2017-10-06,40.68
2017-10-13,42.0
2017-10-20,42.28
2017-10-27,43.08
2017-11-03,43.9
2017-11-10,44.04
2017-11-17,44.58
2017-11-24,45.6
2017-12-01,43.72
2017-12-08,43.56
2017-12-15,43.68
2017-12-22,42.26
2017-12-29,41.82
2018-01-05,43.99
2018-01-12,45.07
2018-01-19,45.6
2018-01-26,45.8
2018-02-02,41.1
2018-02-09,37.68
2018-02-16,39.16
2018-02-23,39.74
2018-03-02,39.29
