date,value
2015-01-02,49.02
2015-01-09,48.59
2015-01-16,48.46
2015-01-23,48.8
2015-01-30,48.95
2015-02-06,48.63
2015-02-13,48.68
2015-02-20,49.4
2015-02-27,49.69
2015-03-06,49.61
2015-03-13,49.25
2015-03-20,49.49
2015-03-27,49.33
2015-04-03,49.58
2015-04-10,50.07
2015-04-17,50.54
2015-04-24,50.85
2015-05-01,50.67
2015-05-08,50.53
2015-05-15,51.04
2015-05-22,51.34
2015-05-29,50.78
2015-06-05,49.56
2015-06-12,49.81
2015-06-19,49.85
2015-06-26,49.84
2015-07-03,49.54
2015-07-10,49.53
2015-07-17,49.62
2015-07-24,49.25
2015-07-31,49.44
2015-08-07,48.65
2015-08-14,48.53
2015-08-21,48.01
2015-08-28,47.91
2015-09-04,47.6
2015-09-11,47.54
2015-09-18,47.71
2015-09-25,47.34
2015-10-02,46.98
2015-10-09,47.73
2015-10-16,47.84
2015-10-23,48.1
2015-10-30,47.71
2015-11-06,47.98
2015-11-13,47.55
2015-11-20,47.88
2015-11-27,47.88
2015-12-04,46.96
2015-12-11,46.64
2015-12-18,46.69
2015-12-25,46.64
2016-01-01,46.06
2016-01-08,46.16
2016-01-15,45.36
2016-01-22,45.49
2016-01-29,45.9
2016-02-05,45.92
2016-02-12,45.75
2016-02-19,45.93
2016-02-26,46.19
2016-03-04,47.35
2016-03-11,47.77
2016-03-18,48.32
2016-03-25,48.86
2016-04-01,49.11
2016-04-08,49.81
2016-04-15,50.19
2016-04-22,50.86
2016-04-29,50.9
2016-05-06,50.92
2016-05-13,50.91
2016-05-20,50.22
2016-05-27,50.93
2016-06-03,50.35
2016-06-10,50.15
2016-06-17,49.69
2016-06-24,49.76
2016-07-01,50.44
2016-07-08,50.73
2016-07-15,50.87
2016-07-22,50.88
2016-07-29,51.06
2016-08-05,50.8
2016-08-12,51.26
2016-08-19,51.11
2016-08-26,50.99
2016-09-02,50.77
2016-09-09,50.92
2016-09-16,50.32
2016-09-23,51.06
2016-09-30,51.06
2016-10-07,50.91
2016-10-14,50.66
2016-10-21,51.06
2016-10-28,50.54
2016-11-04,50.45
2016-11-11,49.2
2016-11-18,48.86
2016-11-25,49.2
2016-12-02,49.54
2016-12-09,49.56
2016-12-16,49.37
2016-12-23,49.43
2016-12-30,49.57
2017-01-06,49.95
2017-01-13,50.23
2017-01-20,50.21
2017-01-27,50.36
2017-02-03,50.27
2017-02-10,50.54
2017-02-17,50.51
2017-02-24,51.07
2017-03-03,50.53
2017-03-10,50.06
2017-03-17,50.44
2017-03-24,50.6
2017-03-31,50.47
2017-04-07,50.64
2017-04-14,50.85
2017-04-21,50.9
2017-04-28,51.1
2017-05-05,50.89
2017-05-12,51.0
2017-05-19,50.93
2017-05-26,50.99
2017-06-02,51.13
2017-06-09,51.01
2017-06-16,51.17
2017-06-23,51.15
2017-06-30,50.9
2017-07-07,50.67
2017-07-14,51.01
2017-07-21,51.1
2017-07-28,51.39
2017-08-04,51.11
2017-08-11,51.07
2017-08-18,51.33
2017-08-25,51.49
2017-09-01,51.54
2017-09-08,51.57
2017-09-15,51.62
2017-09-22,51.46
2017-09-29,51.56
2017-10-06,51.29
2017-10-13,51.51
2017-10-20,51.58
2017-10-27,51.46
2017-11-03,51.27
2017-11-10,51.05
2017-11-17,51.22
