date,value
2015-01-02,65.03
2015-01-09,64.95
2015-01-16,65.59
2015-01-23,67.22
2015-01-30,66.35
2015-02-06,67.72
2015-02-13,70.98
2015-02-20,72.075
2015-02-27,72.06
2015-03-06,69.97
2015-03-13,70.38
2015-03-20,73.73
2015-03-27,73.28
2015-04-03,72.77
2015-04-10,75.0
2015-04-17,71.81
2015-04-24,73.32
2015-05-01,72.11
2015-05-08,68.02
2015-05-15,67.34
2015-05-22,68.33
2015-05-29,67.29
2015-06-05,66.24
2015-06-12,67.85
2015-06-19,69.43
2015-06-26,69.11
2015-07-03,68.48
2015-07-10,69.92
2015-07-17,71.33
2015-07-24,68.12
2015-07-31,71.72
2015-08-07,63.59
2015-08-14,64.25
2015-08-21,61.72
2015-08-28,63.13
2015-09-04,59.83
2015-09-11,62.52
2015-09-18,63.24
2015-09-25,60.71
2015-10-02,61.34
2015-10-09,64.08
2015-10-16,65.25
2015-10-23,64.63
2015-10-30,66.29
2015-11-06,60.17
2015-11-13,56.55
2015-11-20,58.75
2015-11-27,59.61
2015-12-04,60.13
2015-12-11,60.0
2015-12-18,59.02
2015-12-25,60.69
2016-01-01,60.17
2016-01-08,58.74
2016-01-15,56.77
2016-01-22,57.38
2016-01-29,58.01
2016-02-05,55.31
2016-02-12,54.9
2016-02-19,51.46
2016-02-26,52.01
2016-03-04,51.64
2016-03-11,54.01
2016-03-18,53.48
2016-03-25,51.46
2016-04-01,54.08
2016-04-08,56.45
2016-04-15,57.02
2016-04-22,58.51
2016-04-29,56.14
2016-05-06,53.63
2016-05-13,53.74
2016-05-20,54.56
2016-05-27,55.28
2016-06-03,55.22
2016-06-10,55.61
2016-06-17,53.85
2016-06-24,55.13
2016-07-01,58.91
2016-07-08,60.62
2016-07-15,60.58
2016-07-22,61.95
2016-07-29,62.39
2016-08-05,66.87
2016-08-12,66.45
2016-08-19,64.71
2016-08-26,64.64
2016-09-02,64.77
2016-09-09,62.22
2016-09-16,62.02
2016-09-23,62.75
2016-09-30,61.75
2016-10-07,61.13
2016-10-14,60.95
2016-10-21,58.46
2016-10-28,58.4
2016-11-04,52.32
2016-11-11,48.47
2016-11-18,49.53
2016-11-25,50.49
2016-12-02,47.85
2016-12-09,48.4
2016-12-16,48.92
2016-12-23,48.04
2016-12-30,47.37
2017-01-06,47.55
2017-01-13,51.35
2017-01-20,51.87
2017-01-27,53.02
2017-02-03,53.66
2017-02-10,51.5
2017-02-17,56.15
2017-02-24,55.61
2017-03-03,55.74
2017-03-10,55.24
2017-03-17,56.61
2017-03-24,57.77
2017-03-31,58.85
2017-04-07,59.6
2017-04-14,58.61
2017-04-21,58.97
2017-04-28,64.75
2017-05-05,64.89
2017-05-12,64.36
2017-05-19,64.1
2017-05-26,64.95
2017-06-02,67.42
2017-06-09,66.28
2017-06-16,66.04
2017-06-23,68.32
2017-06-30,66.47
2017-07-07,65.74
2017-07-14,65.83
2017-07-21,65.38
2017-07-28,64.6
2017-08-04,63.08
2017-08-11,62.11
2017-08-18,64.25
2017-08-25,65.25
2017-09-01,68.28
2017-09-08,69.35
2017-09-15,71.48
2017-09-22,69.63
2017-09-29,71.32
2017-10-06,71.52
2017-10-13,73.57
2017-10-20,73.01
2017-10-27,65.31
2017-11-03,65.43
2017-11-10,65.31
2017-11-17,65.4
2017-11-24,70.57
2017-12-01,70.17
2017-12-08,70.42
2017-12-15,69.42
2017-12-22,67.38
2017-12-29,67.39
2018-01-05,70.53
2018-01-12,72.9
2018-01-19,68.91
2018-01-26,68.6
2018-02-02,66.39
2018-02-09,61.31
2018-02-16,64.22
2018-02-23,64.53
2018-03-02,62.94
2018-03-09,64.91
2018-03-16,61.26
2018-03-23,56.51
2018-03-30,58.0
2018-04-06,56.42
2018-04-13,56.91
2018-04-20,58.23
2018-04-27,59.43
2018-05-04,57.24
2018-05-11,60.83
2018-05-18,61.34
2018-05-25,59.94
2018-06-01,59.73
2018-06-08,60.69
2018-06-15,61.87
2018-06-22,59.81
2018-06-29,59.79
2018-07-06,62.96
2018-07-13,61.47
2018-07-20,60.45
2018-07-27,61.13
2018-08-03,66.85
2018-08-10,65.18
2018-08-17,65.29
2018-08-24,65.42
2018-08-31,65.11
2018-09-07,64.23
2018-09-14,64.94
2018-09-21,63.82
2018-09-28,64.41
2018-10-05,64.48
2018-10-12,62.12
2018-10-19,62.98
2018-10-26,55.55
2018-11-02,56.72
2018-11-09,57.57
2018-11-16,57.89
2018-11-23,56.91
2018-11-30,57.91
2018-12-07,53.73
2018-12-14,55.91
2018-12-21,49.21
2018-12-28,52.01
2019-01-04,52.23
2019-01-11,53.88
2019-01-18,54.06
2019-01-25,54.9
2019-02-01,54.86
2019-02-08,56.01
2019-02-15,57.91
2019-02-22,57.73
2019-03-01,55.95
2019-03-08,55.45
2019-03-15,57.91
2019-03-22,56.96
2019-03-29,57.21
2019-04-05,57.32
2019-04-12,62.8
2019-04-19,62.71
2019-04-26,65.08
2019-05-03,68.47
2019-05-10,68.94
2019-05-17,68.48
2019-05-24,70.59
2019-05-31,69.97
2019-06-07,72.74
2019-06-14,72.23
2019-06-21,72.09
2019-06-28,73.3
2019-07-05,74.5
2019-07-12,76.12
2019-07-19,72.83
2019-07-26,73.11
2019-08-02,70.97
2019-08-09,71.41
2019-08-16,70.65
2019-08-23,67.93
2019-08-30,68.91
2019-09-06,67.36
2019-09-13,67.85
2019-09-20,68.44
2019-09-27,68.37
2019-10-04,66.82
2019-10-11,67.58
2019-10-18,67.76
2019-10-25,66.43
2019-11-01,67.53
2019-11-08,67.31
2019-11-15,68.4
2019-11-22,69.44
2019-11-29,71.59
2019-12-06,71.29
2019-12-13,72.23
2019-12-20,73.26
2019-12-27,73.28
2020-01-03,73.83
