date,value
2015-01-02,28.18
2015-01-09,26.58
2015-01-16,24.87
2015-01-23,25.66
2015-01-30,26.3
2015-02-06,26.61
2015-02-13,28.18
2015-02-20,27.04
2015-02-27,25.85
2015-03-06,27.29
2015-03-13,26.28
2015-03-20,26.68
2015-03-27,26.98
2015-04-03,27.8
2015-04-10,27.81
2015-04-17,28.71
2015-04-24,29.77
2015-05-01,30.84
2015-05-08,30.21
2015-05-15,29.73
2015-05-22,30.45
2015-05-29,30.83
2015-06-05,29.43
2015-06-12,28.74
2015-06-19,28.61
2015-06-26,28.54
2015-07-03,28.63
2015-07-10,27.44
2015-07-17,28.41
2015-07-24,26.15
2015-07-31,26.61
2015-08-07,25.02
2015-08-14,24.79
2015-08-21,21.16
2015-08-28,21.9
2015-09-04,20.17
2015-09-11,20.59
2015-09-18,19.99
2015-09-25,18.38
2015-10-02,16.87
2015-10-09,19.27
2015-10-16,19.5
2015-10-23,19.04
2015-10-30,18.74
2015-11-06,19.62
2015-11-13,17.57
2015-11-20,17.47
2015-11-27,18.04
2015-12-04,17.33
2015-12-11,15.68
2015-12-18,15.61
2015-12-25,16.08
2016-01-01,15.62
2016-01-08,13.88
2016-01-15,13.28
2016-01-22,13.55
2016-01-29,13.68
2016-02-05,12.77
2016-02-12,12.89
2016-02-19,15.05
2016-02-26,15.09
2016-03-04,16.44
2016-03-11,16.64
2016-03-18,17.15
2016-03-25,16.1
2016-04-01,16.99
2016-04-08,16.02
2016-04-15,17.26
2016-04-22,17.32
2016-04-29,16.74
2016-05-06,16.24
2016-05-13,15.8
2016-05-20,16.29
2016-05-27,16.28
2016-06-03,16.08
2016-06-10,15.79
2016-06-17,15.93
2016-06-24,15.74
2016-07-01,16.21
2016-07-08,16.37
2016-07-15,16.4
2016-07-22,17.07
2016-07-29,17.28
2016-08-05,16.84
2016-08-12,16.03
2016-08-19,16.22
2016-08-26,15.8
2016-09-02,15.54
2016-09-09,15.71
2016-09-16,15.69
2016-09-23,15.49
2016-09-30,15.57
2016-10-07,15.53
2016-10-14,14.62
2016-10-21,15.0
2016-10-28,15.8
