date,value
2015-01-02,27.96
2015-01-09,27.55
2015-01-16,27.72
2015-01-23,27.84
2015-01-30,27.59
2015-02-06,27.8
2015-02-13,28.12
2015-02-20,28.47
2015-02-27,28.39
2015-03-06,27.68
2015-03-13,27.41
2015-03-20,28.5
2015-03-27,28.32
2015-04-03,28.67
2015-04-10,29.15
2015-04-17,29.22
2015-04-24,29.715
2015-05-01,29.2
2015-05-08,29.63
2015-05-15,30.05
2015-05-22,29.85
2015-05-29,29.4
2015-06-05,28.97
2015-06-12,29.13
2015-06-19,28.83
2015-06-26,29.09
2015-07-03,28.71
2015-07-10,28.34
2015-07-17,28.51
2015-07-24,27.94
2015-07-31,28.3417
2015-08-07,28.177
2015-08-14,28.14
2015-08-21,26.81
2015-08-28,26.86
2015-09-04,25.85
2015-09-11,26.66
2015-09-18,26.49
2015-09-25,26.11
2015-10-02,26.9
2015-10-09,27.99
2015-10-16,28.23
2015-10-23,28.69
2015-10-30,28.32
2015-11-06,28.475
2015-11-13,27.73
2015-11-20,28.73
2015-11-27,28.7
2015-12-04,28.67
2015-12-11,27.52
2015-12-18,27.24
2015-12-25,27.464
2016-01-01,27.14
2016-01-08,25.7
2016-01-15,25.16
2016-01-22,25.65
2016-01-29,26.58
2016-02-05,26.1
2016-02-12,25.71
2016-02-19,26.54
2016-02-26,26.28
2016-03-04,27.08
2016-03-11,27.32
2016-03-18,27.83
2016-03-25,27.5
2016-04-01,28.0
2016-04-08,27.9
2016-04-15,28.62
2016-04-22,28.82
2016-04-29,29.27
2016-05-06,28.87
2016-05-13,28.8
2016-05-20,28.77
2016-05-27,29.5
2016-06-03,29.82
2016-06-10,29.65
2016-06-17,29.32
2016-06-24,28.79
2016-07-01,30.01
2016-07-08,29.75
2016-07-15,30.21
2016-07-22,30.0399
2016-07-29,30.37
2016-08-05,29.99
2016-08-12,30.47
2016-08-19,30.75
2016-08-26,30.39
2016-09-02,30.79
2016-09-09,30.1529
2016-09-16,29.96
2016-09-23,30.82
2016-09-30,30.91
2016-10-07,29.77
2016-10-14,29.36
2016-10-21,29.58
2016-10-28,29.19
2016-11-04,28.47
2016-11-11,29.1
2016-11-18,28.92
2016-11-25,29.3
2016-12-02,28.8748
2016-12-09,29.2
2016-12-16,28.78
2016-12-23,28.5
2016-12-30,28.45
2017-01-06,28.8
2017-01-13,28.92
2017-01-20,29.05
2017-01-27,29.57
2017-02-03,29.7
2017-02-10,29.92
2017-02-17,29.85
2017-02-24,29.92
2017-03-03,30.35
2017-03-10,30.1
2017-03-17,30.68
2017-03-24,30.81
2017-03-31,31.07
2017-04-07,31.21
2017-04-14,31.09
2017-04-21,31.49
2017-04-28,32.11
2017-05-05,32.5
2017-05-12,32.23
2017-05-19,32.46
2017-05-26,32.71
2017-06-02,33.09
2017-06-09,32.81
2017-06-16,33.0798
2017-06-23,32.75
2017-06-30,32.62
2017-07-07,32.43
2017-07-14,33.22
2017-07-21,33.59
2017-07-28,33.2
2017-08-04,33.64
2017-08-11,33.07
2017-08-18,32.83
2017-08-25,33.27
2017-09-01,33.52
2017-09-08,33.95
2017-09-15,34.25
2017-09-22,34.5
2017-09-29,34.42
2017-10-06,34.78
2017-10-13,35.12
2017-10-20,35.23
2017-10-27,35.23
2017-11-03,35.21
2017-11-10,35.14
2017-11-17,35.304
2017-11-24,35.81
2017-12-01,35.8712
2017-12-08,35.8242
2017-12-15,35.52
2017-12-22,35.85
2017-12-29,35.54
2018-01-05,35.83
2018-01-12,35.57
2018-01-19,36.21
2018-01-26,36.4
2018-02-02,35.19
2018-02-09,32.99
2018-02-16,34.08
2018-02-23,34.39
2018-03-02,33.17
2018-03-09,34.77
2018-03-16,34.58
2018-03-23,33.29
2018-03-30,34.08
2018-04-06,33.67
2018-04-13,34.12
2018-04-20,34.45
2018-04-27,34.32
2018-05-04,34.4
2018-05-11,34.53
2018-05-18,34.2
2018-05-25,34.5
2018-06-01,34.36
2018-06-08,34.42
2018-06-15,34.07
2018-06-22,33.52
2018-06-29,33.49
2018-07-06,34.16
2018-07-13,34.105
2018-07-20,34.4692
2018-07-27,34.83
2018-08-03,35.01
2018-08-10,34.72
2018-08-17,34.86
2018-08-24,34.96
2018-08-31,35.25
2018-09-07,34.87
2018-09-14,35.27
2018-09-21,35.44
2018-09-28,34.8825
2018-10-05,34.5497
2018-10-12,33.02
2018-10-19,33.23
2018-10-26,32.17
2018-11-02,32.8
2018-11-09,33.39
2018-11-16,33.209
2018-11-23,32.92
2018-11-30,33.58
2018-12-07,32.56
2018-12-14,32.39
2018-12-21,31.3
2018-12-28,30.955
2019-01-04,31.5
2019-01-11,32.17
2019-01-18,33.05
2019-01-25,33.01
2019-02-01,33.55
2019-02-08,33.5319
2019-02-15,34.19
2019-02-22,34.97
2019-03-01,35.2
2019-03-08,34.61
2019-03-15,35.57
2019-03-22,35.3
2019-03-29,35.4162
2019-04-05,36.0489
2019-04-12,35.9
2019-04-19,35.97
2019-04-26,36.17
2019-05-03,36.5
2019-05-10,35.7
2019-05-17,34.99
2019-05-24,35.14
2019-05-31,34.95
2019-06-07,36.56
2019-06-14,36.67
2019-06-21,37.49
2019-06-28,37.4403
2019-07-05,37.84
2019-07-12,37.56
2019-07-19,37.39
2019-07-26,37.57
2019-08-02,36.8172
2019-08-09,36.8
2019-08-16,36.79
2019-08-23,36.19
2019-08-30,37.34
2019-09-06,37.64
2019-09-13,38.04
2019-09-20,37.96
2019-09-27,37.9707
2019-10-04,37.67
2019-10-11,38.28
2019-10-18,38.93
2019-10-25,39.45
2019-11-01,39.77
2019-11-08,39.13
2019-11-15,39.41
2019-11-22,39.38
2019-11-29,39.8327
2019-12-06,40.25
2019-12-13,40.78
2019-12-20,41.45
2019-12-27,41.18
2020-01-03,40.93
