date,value
2015-01-02,79.09
2015-01-09,79.72
2015-01-16,82.34
2015-01-23,81.99
2015-01-30,80.92
2015-02-06,81.96
2015-02-13,84.03
2015-02-20,85.37
2015-02-27,85.14
2015-03-06,83.77
2015-03-13,84.36
2015-03-20,86.14
2015-03-27,84.97
2015-04-03,85.77
2015-04-10,85.9
2015-04-17,85.06
2015-04-24,83.95
2015-05-01,81.93
2015-05-08,83.23
2015-05-15,83.62
2015-05-22,84.44
2015-05-29,83.97
2015-06-05,82.61
2015-06-12,83.33
2015-06-19,83.59
2015-06-26,82.82
2015-07-03,82.12
2015-07-10,84.11
2015-07-17,84.97
2015-07-24,84.49
2015-07-31,86.33
2015-08-07,89.04
2015-08-14,89.65
2015-08-21,86.7
2015-08-28,86.85
2015-09-04,84.93
2015-09-11,84.09
2015-09-18,83.89
2015-09-25,85.63
2015-10-02,85.13
2015-10-09,87.62
2015-10-16,88.37
2015-10-23,87.81
2015-10-30,86.09
2015-11-06,81.89
2015-11-13,82.53
2015-11-20,85.73
2015-11-27,87.11
2015-12-04,86.74
2015-12-11,83.85
2015-12-18,83.22
2015-12-25,86.44
2016-01-01,84.88
2016-01-08,82.06
2016-01-15,78.93
2016-01-22,81.07
2016-01-29,84.0
2016-02-05,86.9
2016-02-12,88.58
2016-02-19,89.41
2016-02-26,91.7
2016-03-04,91.78
2016-03-11,90.98
2016-03-18,91.73
2016-03-25,91.45
2016-04-01,93.7
2016-04-08,94.11
2016-04-15,93.91
2016-04-22,92.03
2016-04-29,92.7
2016-05-06,96.84
2016-05-13,96.55
2016-05-20,96.48
2016-05-27,98.17
2016-06-03,98.88
2016-06-10,99.88
2016-06-17,98.57
2016-06-24,98.18
2016-07-01,102.31
2016-07-08,101.3
2016-07-15,100.29
2016-07-22,100.29
2016-07-29,98.24
2016-08-05,100.52
2016-08-12,100.48
2016-08-19,99.41
2016-08-26,99.1
2016-09-02,49.97
2016-09-09,47.39
2016-09-16,46.8
2016-09-23,48.14
2016-09-30,47.92
