date,value
2015-01-02,58.49
2015-01-09,60.95
2015-01-16,63.0
2015-01-23,67.06
2015-01-30,65.32
2015-02-06,67.69
2015-02-13,68.7
2015-02-20,68.4
2015-02-27,67.75
2015-03-06,64.36
2015-03-13,63.73
2015-03-20,63.72
2015-03-27,64.25
2015-04-03,66.31
2015-04-10,71.49
2015-04-17,67.68
2015-04-24,75.0
2015-05-01,72.03
2015-05-08,70.41
2015-05-15,70.53
2015-05-22,68.58
2015-05-29,65.74
2015-06-05,65.99
2015-06-12,65.75
2015-06-19,64.33
2015-06-26,64.59
2015-07-03,64.67
2015-07-10,61.35
2015-07-17,62.9
2015-07-24,63.75
2015-07-31,65.0
2015-08-07,64.97
2015-08-14,63.97
2015-08-21,62.87
2015-08-28,59.74
2015-09-04,56.91
2015-09-11,59.74
2015-09-18,58.36
2015-09-25,60.29
2015-10-02,61.25
2015-10-09,58.97
2015-10-16,61.44
2015-10-23,61.29
2015-10-30,60.31
2015-11-06,59.61
2015-11-13,57.48
2015-11-20,59.04
2015-11-27,57.82
2015-12-04,58.7
2015-12-11,56.83
2015-12-18,56.61
2015-12-25,57.13
2016-01-01,56.33
2016-01-08,51.51
2016-01-15,50.66
2016-01-22,53.87
2016-01-29,54.53
2016-02-05,53.76
2016-02-12,53.21
2016-02-19,54.34
2016-02-26,54.31
2016-03-04,55.88
2016-03-11,55.72
2016-03-18,55.01
2016-03-25,54.35
2016-04-01,55.79
2016-04-08,55.5
2016-04-15,57.49
2016-04-22,58.55
2016-04-29,57.52
2016-05-06,55.62
2016-05-13,54.27
2016-05-20,54.42
2016-05-27,55.82
2016-06-03,56.75
2016-06-10,56.87
2016-06-17,54.99
2016-06-24,54.3
2016-07-01,57.92
2016-07-08,57.26
2016-07-15,59.68
2016-07-22,62.29
2016-07-29,62.09
2016-08-05,62.26
2016-08-12,63.36
2016-08-19,63.33
2016-08-26,61.71
2016-09-02,61.9
2016-09-09,61.65
2016-09-16,61.03
2016-09-23,61.88
