date,value
2015-01-02,73.84
2015-01-09,72.06
2015-01-16,73.45
2015-01-23,74.12
2015-01-30,71.22
2015-02-06,70.51
2015-02-13,72.58
2015-02-20,72.5
2015-02-27,74.3
2015-03-06,73.58
2015-03-13,73.45
2015-03-20,75.4
2015-03-27,73.025
2015-04-03,71.335
2015-04-10,72.06
2015-04-17,68.57
2015-04-24,70.65
2015-05-01,64.74
2015-05-08,65.7
2015-05-15,64.52
2015-05-22,64.03
2015-05-29,61.73
2015-06-05,64.18
2015-06-12,63.7
2015-06-19,64.21
2015-06-26,63.04
2015-07-03,63.06
2015-07-10,63.55
2015-07-17,63.0
2015-07-24,64.31
2015-07-31,70.15
2015-08-07,68.85
2015-08-14,69.4
2015-08-21,67.24
2015-08-28,67.24
2015-09-04,67.7
2015-09-11,68.68
2015-09-18,67.57
2015-09-25,68.53
2015-10-02,68.81
2015-10-09,71.71
2015-10-16,71.75
2015-10-23,72.79
2015-10-30,69.38
2015-11-06,68.72
2015-11-13,67.02
2015-11-20,68.53
2015-11-27,68.86
2015-12-04,62.8
2015-12-11,62.0
2015-12-18,62.36
2015-12-25,63.53
2016-01-01,62.02
2016-01-08,63.12
2016-01-15,63.56
2016-01-22,64.23
2016-01-29,64.77
2016-02-05,68.08
2016-02-12,70.16
2016-02-19,70.48
2016-02-26,70.35
2016-03-04,72.68
2016-03-11,72.63
2016-03-18,74.34
2016-03-25,73.74
2016-04-01,73.65
2016-04-08,71.84
2016-04-15,73.51
2016-04-22,74.56
2016-04-29,70.97
2016-05-06,72.82
2016-05-13,72.31
2016-05-20,74.32
2016-05-27,75.18
2016-06-03,73.36
2016-06-10,72.99
2016-06-17,71.98
2016-06-24,71.64
2016-07-01,75.19
2016-07-08,74.43
2016-07-15,71.94
2016-07-22,72.03
2016-07-29,69.62
2016-08-05,69.22
2016-08-12,69.68
2016-08-19,69.42
2016-08-26,68.78
2016-09-02,71.32
2016-09-09,68.9
2016-09-16,67.53
2016-09-23,69.59
2016-09-30,70.46
2016-10-07,70.34
2016-10-14,70.26
2016-10-21,68.86
2016-10-28,67.59
2016-11-04,68.69
2016-11-11,73.58
2016-11-18,74.4
2016-11-25,74.3
2016-12-02,74.04
2016-12-09,77.04
2016-12-16,73.11
2016-12-23,74.54
2016-12-30,73.26
2017-01-06,74.15
2017-01-13,73.38
2017-01-20,73.6
2017-01-27,77.58
2017-02-03,75.55
2017-02-10,76.56
2017-02-17,79.06
2017-02-24,80.13
2017-03-03,79.77
2017-03-10,79.34
2017-03-17,78.92
2017-03-24,77.47
2017-03-31,77.29
2017-04-07,75.73
2017-04-14,74.46
2017-04-21,76.54
2017-04-28,72.7
2017-05-05,73.35
2017-05-12,69.35
2017-05-19,67.36
2017-05-26,67.04
2017-06-02,67.62
2017-06-09,67.86
2017-06-16,70.04
2017-06-23,66.99
2017-06-30,68.68
2017-07-07,67.97
2017-07-14,69.46
2017-07-21,65.56
2017-07-28,65.25
2017-08-04,67.22
2017-08-11,65.63
2017-08-18,66.78
2017-08-25,69.07
2017-09-01,70.17
2017-09-08,73.74
2017-09-15,71.45
2017-09-22,73.13
2017-09-29,76.1
2017-10-06,76.52
2017-10-13,77.26
2017-10-20,78.3
2017-10-27,79.82
2017-11-03,79.44
2017-11-10,80.33
2017-11-17,78.44
2017-11-24,79.67
2017-12-01,86.54
2017-12-08,88.38
2017-12-15,86.21
2017-12-22,88.7
2017-12-29,89.09
2018-01-05,89.57
2018-01-12,94.28
2018-01-19,95.16
2018-01-26,96.73
2018-02-02,91.79
2018-02-09,89.35
2018-02-16,92.62
2018-02-23,92.63
2018-03-02,89.51
2018-03-09,91.74
2018-03-16,92.14
2018-03-23,90.86
2018-03-30,93.71
2018-04-06,90.48
2018-04-13,94.27
2018-04-20,93.68
2018-04-27,92.0
2018-05-04,82.54
2018-05-11,86.44
2018-05-18,88.5
2018-05-25,88.23
2018-06-01,87.52
2018-06-08,88.32
2018-06-15,90.09
2018-06-22,88.61
2018-06-29,83.66
2018-07-06,84.46
2018-07-13,86.74
2018-07-20,90.32
2018-07-27,91.45
2018-08-03,95.79
2018-08-10,94.9
2018-08-17,97.14
2018-08-24,96.5
2018-08-31,96.08
2018-09-07,96.44
2018-09-14,100.09
2018-09-21,97.57
2018-09-28,97.92
2018-10-05,97.28
2018-10-12,91.68
2018-10-19,90.86
2018-10-26,86.19
2018-11-02,88.7
2018-11-09,89.61
2018-11-16,90.8
2018-11-23,89.23
2018-11-30,92.33
2018-12-07,87.69
2018-12-14,84.65
2018-12-21,80.87
2018-12-28,83.21
2019-01-04,82.69
2019-01-11,85.63
2019-01-18,88.67
2019-01-25,87.05
2019-02-01,87.72
2019-02-08,90.36
2019-02-15,91.45
2019-02-22,91.94
2019-03-01,90.2
2019-03-08,87.44
2019-03-15,89.0
2019-03-22,84.68
2019-03-29,86.99
2019-04-05,89.46
2019-04-12,90.79
2019-04-19,89.99
2019-04-26,87.76
2019-05-03,83.9
2019-05-10,81.73
2019-05-17,82.22
2019-05-24,79.72
2019-05-31,79.63
2019-06-07,79.69
2019-06-14,83.7
2019-06-21,83.03
2019-06-28,84.35
2019-07-05,84.9
2019-07-12,85.06
2019-07-19,83.65
2019-07-26,85.12
2019-08-02,81.66
2019-08-09,84.48
2019-08-16,83.82
2019-08-23,82.23
2019-08-30,84.49
2019-09-06,83.28
2019-09-13,87.1
2019-09-20,84.5
2019-09-27,83.79
2019-10-04,83.29
2019-10-11,85.25
2019-10-18,86.555
2019-10-25,90.11
2019-11-01,74.7
2019-11-08,78.06
2019-11-15,74.72
2019-11-22,75.59
2019-11-29,76.85
2019-12-06,76.02
2019-12-13,76.55
2019-12-20,76.8
2019-12-27,77.93
2020-01-03,77.74
