date,value
2015-01-02,29.32
2015-01-09,29.32
2015-01-16,29.9
2015-01-23,30.56
2015-01-30,30.04
2015-02-06,30.52
2015-02-13,30.31
2015-02-20,30.66
2015-02-27,31.46
2015-03-06,31.32
2015-03-13,31.12
2015-03-20,31.54
2015-03-27,31.69
2015-04-03,32.06
2015-04-10,31.96
2015-04-17,31.39
2015-04-24,32.17
2015-05-01,32.39
2015-05-08,32.15
2015-05-15,32.61
2015-05-22,32.21
2015-05-29,31.67
2015-06-05,30.98
2015-06-12,31.45
2015-06-19,31.05
2015-06-26,31.41
2015-07-03,31.8
2015-07-10,31.74
2015-07-17,30.75
2015-07-24,30.34
2015-07-31,31.05
2015-08-07,31.21
2015-08-14,30.57
2015-08-21,29.9
2015-08-28,29.9
2015-09-04,29.86
2015-09-11,30.31
2015-09-18,30.44
2015-09-25,30.1
2015-10-02,30.32
2015-10-09,30.57
2015-10-16,30.98
2015-10-23,31.12
2015-10-30,30.64
2015-11-06,30.4
2015-11-13,29.8
2015-11-20,30.67
2015-11-27,30.36
2015-12-04,30.37
2015-12-11,29.4
2015-12-18,29.82
2015-12-25,30.2
2016-01-01,30.03
2016-01-08,29.73
2016-01-15,29.8
2016-01-22,30.34
2016-01-29,31.12
2016-02-05,31.56
2016-02-12,31.47
2016-02-19,31.57
2016-02-26,31.52
2016-03-04,32.47
2016-03-11,32.58
2016-03-18,33.37
2016-03-25,33.84
2016-04-01,34.0
2016-04-08,33.48
2016-04-15,34.09
2016-04-22,34.35
2016-04-29,34.1
2016-05-06,34.07
2016-05-13,34.46
2016-05-20,33.81
2016-05-27,34.05
2016-06-03,34.63
2016-06-10,34.89
2016-06-17,34.93
2016-06-24,34.99
2016-07-01,36.6
2016-07-08,36.57
2016-07-15,38.11
2016-07-22,36.43
2016-07-29,36.13
2016-08-05,36.32
2016-08-12,36.92
2016-08-19,36.01
2016-08-26,36.35
2016-09-02,36.15
2016-09-09,35.39
2016-09-16,35.06
2016-09-23,35.28
2016-09-30,35.03
2016-10-07,35.29
2016-10-14,35.0
2016-10-21,34.94
2016-10-28,34.54
2016-11-04,33.86
2016-11-11,33.41
2016-11-18,32.75
2016-11-25,33.43
2016-12-02,33.16
2016-12-09,32.83
2016-12-16,32.04
2016-12-23,31.63
2016-12-30,31.55
2017-01-06,31.82
2017-01-13,32.11
2017-01-20,32.15
2017-01-27,31.59
2017-02-03,32.17
2017-02-10,32.45
2017-02-17,32.75
2017-02-24,33.13
2017-03-03,33.02
2017-03-10,33.44
2017-03-17,34.2
2017-03-24,34.29
2017-03-31,33.98
2017-04-07,33.91
2017-04-14,33.87
2017-04-21,33.91
2017-04-28,33.84
2017-05-05,34.25
2017-05-12,34.67
2017-05-19,34.91
2017-05-26,35.66
2017-06-02,36.03
2017-06-09,35.73
2017-06-16,35.63
2017-06-23,35.65
2017-06-30,35.22
2017-07-07,35.28
2017-07-14,36.29
2017-07-21,34.42
2017-07-28,34.18
2017-08-04,33.92
2017-08-11,33.67
2017-08-18,33.77
2017-08-25,34.39
2017-09-01,34.64
2017-09-08,34.75
2017-09-15,34.66
2017-09-22,34.18
2017-09-29,34.11
2017-10-06,33.58
2017-10-13,34.24
2017-10-20,33.82
2017-10-27,33.98
2017-11-03,33.79
2017-11-10,33.96
2017-11-17,34.02
2017-11-24,34.6
2017-12-01,34.42
2017-12-08,34.96
2017-12-15,35.13
2017-12-22,35.26
2017-12-29,35.44
2018-01-05,36.57
2018-01-12,36.68
2018-01-19,36.91
2018-01-26,37.37
2018-02-02,37.1
2018-02-09,36.47
2018-02-16,37.01
2018-02-23,37.5
2018-03-02,37.05
2018-03-09,37.37
2018-03-16,37.5
2018-03-23,37.41
2018-03-30,38.86
2018-04-06,38.57
2018-04-13,38.78
2018-04-20,38.52
2018-04-27,38.16
2018-05-04,37.52
2018-05-11,36.46
2018-05-18,36.51
2018-05-25,36.77
2018-06-01,36.61
2018-06-08,36.71
2018-06-15,36.07
2018-06-22,36.14
