date,value
2015-01-02,51.61
2015-01-09,51.69
2015-01-16,51.75
2015-01-23,52.05
2015-01-30,50.51
2015-02-06,51.935
2015-02-13,52.46
2015-02-20,52.58
2015-02-27,52.76
2015-03-06,52.47
2015-03-13,53.115
2015-03-20,54.605
2015-03-27,52.925
2015-04-03,53.47
2015-04-10,53.52
2015-04-17,52.56
2015-04-24,52.56
2015-05-01,50.87
2015-05-08,51.475
2015-05-15,50.87
2015-05-22,50.94
2015-05-29,50.58
2015-06-05,50.53
2015-06-12,51.22
2015-06-19,51.17
2015-06-26,50.91
2015-07-03,52.4
2015-07-10,53.66
2015-07-17,53.56
2015-07-24,53.06
2015-07-31,55.21
2015-08-07,55.33
2015-08-14,56.64
2015-08-21,53.86
2015-08-28,52.79
2015-09-04,51.91
2015-09-11,53.43
2015-09-18,52.81
2015-09-25,53.46
2015-10-02,54.06
2015-10-09,56.17
2015-10-16,56.89
2015-10-23,59.04
2015-10-30,60.23
2015-11-06,60.86
2015-11-13,59.52
2015-11-20,61.02
2015-11-27,61.08
2015-12-04,61.49
2015-12-11,59.14
2015-12-18,57.97
2015-12-25,59.63
2016-01-01,59.17
2016-01-08,55.53
2016-01-15,55.12
2016-01-22,54.98
2016-01-29,57.63
2016-02-05,60.25
2016-02-12,61.77
2016-02-19,62.57
2016-02-26,63.57
2016-03-04,64.52
2016-03-11,65.9
2016-03-18,65.78
2016-03-25,64.74
2016-04-01,65.96
2016-04-08,64.65
2016-04-15,65.88
2016-04-22,64.59
2016-04-29,66.01
2016-05-06,66.77
2016-05-13,67.69
2016-05-20,68.16
2016-05-27,69.28
2016-06-03,69.49
2016-06-10,70.47
2016-06-17,69.2
2016-06-24,70.21
2016-07-01,74.65
2016-07-08,75.7
2016-07-15,75.96
2016-07-22,74.9
2016-07-29,74.7
2016-08-05,75.95
2016-08-12,75.8
2016-08-19,76.0
2016-08-26,76.2
2016-09-02,77.85
2016-09-09,75.5
2016-09-16,74.73
2016-09-23,74.96
2016-09-30,75.42
2016-10-07,75.17
2016-10-14,75.95
2016-10-21,71.55
2016-10-28,70.18
2016-11-04,68.26
2016-11-11,71.52
2016-11-18,74.47
2016-11-25,76.68
2016-12-02,76.88
2016-12-09,78.21
2016-12-16,75.65
2016-12-23,76.49
2016-12-30,75.75
2017-01-06,75.78
2017-01-13,70.06
2017-01-20,70.27
2017-01-27,70.62
2017-02-03,71.43
2017-02-10,71.06
2017-02-17,72.67
2017-02-24,73.49
2017-03-03,73.965
2017-03-10,73.97
2017-03-17,75.18
2017-03-24,71.88
2017-03-31,72.27
2017-04-07,70.24
2017-04-14,70.46
2017-04-21,70.18
2017-04-28,72.09
2017-05-05,70.83
2017-05-12,69.06
2017-05-19,69.04
2017-05-26,69.91
2017-06-02,70.72
2017-06-09,71.78
2017-06-16,73.75
2017-06-23,71.23
2017-06-30,72.45
2017-07-07,72.66
2017-07-14,72.69
2017-07-21,74.42
2017-07-28,75.81
2017-08-04,80.3
2017-08-11,79.0
2017-08-18,77.34
2017-08-25,77.46
2017-09-01,76.96
2017-09-08,75.77
2017-09-15,75.22
2017-09-22,75.88
2017-09-29,76.57
2017-10-06,76.7
2017-10-13,76.47
2017-10-20,76.46
2017-10-27,71.03
2017-11-03,72.57
2017-11-10,73.4
2017-11-17,73.46
2017-11-24,72.51
2017-12-01,74.52
2017-12-08,74.4
2017-12-15,74.28
2017-12-22,73.99
2017-12-29,74.97
2018-01-05,74.0
2018-01-12,74.03
2018-01-19,75.16
2018-01-26,77.51
2018-02-02,76.38
2018-02-09,72.14
2018-02-16,77.19
2018-02-23,75.8
2018-03-02,74.61
2018-03-09,77.04
2018-03-16,75.13
2018-03-23,71.61
