date,value
2015-01-02,69.04
2015-01-09,68.6
2015-01-16,69.17
2015-01-23,67.14
2015-01-30,67.52
2015-02-06,69.3
2015-02-13,70.08
2015-02-20,70.24
2015-02-27,70.82
2015-03-06,69.25
2015-03-13,68.46
2015-03-20,69.56
2015-03-27,68.75
2015-04-03,69.33
2015-04-10,69.61
2015-04-17,69.28
2015-04-24,69.17
2015-05-01,67.68
2015-05-08,68.2
2015-05-15,68.63
2015-05-22,68.5
2015-05-29,66.79
2015-06-05,65.48
2015-06-12,66.29
2015-06-19,66.9
2015-06-26,66.5
2015-07-03,66.16
2015-07-10,66.64
2015-07-17,67.5
2015-07-24,67.0
2015-07-31,68.02
2015-08-07,68.49
2015-08-14,67.79
2015-08-21,64.98
2015-08-28,63.35
2015-09-04,61.46
2015-09-11,61.92
2015-09-18,62.69
2015-09-25,63.14
2015-10-02,64.28
2015-10-09,66.34
2015-10-16,67.12
2015-10-23,68.94
2015-10-30,66.35
2015-11-06,65.82
2015-11-13,64.56
2015-11-20,66.1
2015-11-27,66.56
2015-12-04,66.34
2015-12-11,65.21
2015-12-18,65.57
2015-12-25,66.99
2016-01-01,66.62
2016-01-08,62.55
2016-01-15,63.35
2016-01-22,64.61
2016-01-29,67.53
2016-02-05,66.19
2016-02-12,65.7
2016-02-19,67.46
2016-02-26,66.28
2016-03-04,68.16
2016-03-11,68.37
2016-03-18,70.48
2016-03-25,69.91
2016-04-01,71.2
2016-04-08,71.07
2016-04-15,71.25
2016-04-22,69.06
2016-04-29,70.92
2016-05-06,71.82
2016-05-13,71.67
2016-05-20,70.02
2016-05-27,70.59
2016-06-03,71.6
2016-06-10,72.12
2016-06-17,71.44
2016-06-24,70.58
2016-07-01,72.95
2016-07-08,74.25
2016-07-15,74.72
2016-07-22,74.61
2016-07-29,74.43
2016-08-05,74.58
2016-08-12,74.97
2016-08-19,74.49
2016-08-26,74.47
2016-09-02,74.89
2016-09-09,70.86
2016-09-16,71.96
2016-09-23,73.25
2016-09-30,74.14
2016-10-07,73.05
2016-10-14,72.31
2016-10-21,70.92
2016-10-28,71.17
2016-11-04,69.57
2016-11-11,67.42
2016-11-18,65.86
2016-11-25,66.53
2016-12-02,64.72
