date,value
2017-01-13,105.38
2017-01-20,105.38
2017-01-27,105.38
2017-02-03,105.38
2017-02-10,105.38
2017-02-17,105.41
2017-02-24,105.41
2017-03-03,105.41
2017-03-10,105.41
2017-03-17,105.41
2017-03-24,105.41
2017-03-31,105.41
2017-04-07,105.41
2017-04-14,105.41
2017-04-21,105.41
2017-04-28,105.41
2017-05-05,105.41
2017-05-12,105.52
2017-05-19,105.534
2017-05-26,105.534
2017-06-02,105.534
2017-06-09,105.534
2017-06-16,105.534
2017-06-23,105.534
2017-06-30,105.534
2017-07-07,105.62
2017-07-14,105.63
2017-07-21,105.69
2017-07-28,105.7002
2017-08-04,105.71
2017-08-11,105.74
2017-08-18,105.77
2017-08-25,105.82
2017-09-01,105.82
2017-09-08,105.82
2017-09-15,105.82
2017-09-22,105.82
2017-09-29,105.8752
2017-10-06,105.89
2017-10-13,105.96
2017-10-20,105.98
2017-10-27,105.9599
2017-11-03,105.97
2017-11-10,105.977
2017-11-17,105.9551
2017-11-24,106.02
2017-12-01,106.03
2017-12-08,106.03
2017-12-15,106.03
2017-12-22,105.285
2017-12-29,105.285
2018-01-05,105.38
2018-01-12,105.4
2018-01-19,105.41
2018-01-26,105.44
2018-02-02,105.47
2018-02-09,105.48
2018-02-16,105.49
2018-02-23,105.54
2018-03-02,105.54
2018-03-09,105.57
2018-03-16,105.578
2018-03-23,105.62
2018-03-30,105.68
2018-04-06,105.72
2018-04-13,105.74
2018-04-20,105.76
2018-04-27,105.753
2018-05-04,105.82
2018-05-11,105.83
2018-05-18,105.89
2018-05-25,105.895
2018-06-01,105.895
2018-06-08,106.03
2018-06-15,106.05
2018-06-22,106.096
2018-06-29,106.11
2018-07-06,106.186
2018-07-13,106.2
2018-07-20,106.24
2018-07-27,106.34
2018-08-03,106.26
2018-08-10,106.37
2018-08-17,106.48
2018-08-24,105.45
2018-08-31,105.55
2018-09-07,105.53
2018-09-14,105.62
2018-09-21,105.58
2018-09-28,105.46
2018-10-05,105.518
2018-10-12,105.57
2018-10-19,105.551
2018-10-26,105.42
2018-11-02,105.51
2018-11-09,105.509
2018-11-16,105.62
2018-11-23,105.47
2018-11-30,105.54
2018-12-07,105.558
2018-12-14,105.57
2018-12-21,105.69
2018-12-28,105.46
2019-01-04,105.48
2019-01-11,105.55
2019-01-18,105.61
2019-01-25,105.445
2019-02-01,105.505
2019-02-08,105.56
2019-02-15,105.605
2019-02-22,105.465
2019-03-01,105.515
2019-03-08,105.565
2019-03-15,105.615
2019-03-22,105.455
2019-03-29,105.49
2019-04-05,105.555
2019-04-12,105.59
2019-04-19,105.64
2019-04-26,105.505
2019-05-03,105.56
2019-05-10,105.595
2019-05-17,105.655
2019-05-24,105.5
2019-05-31,105.539
2019-06-07,105.655
2019-06-14,105.714
2019-06-21,105.762
2019-06-28,105.595
2019-07-05,105.64
2019-07-12,105.675
2019-07-19,105.735
2019-07-26,105.555
2019-08-02,105.615
2019-08-09,105.685
2019-08-16,105.75
2019-08-23,105.595
2019-08-30,105.615
2019-09-06,105.66
2019-09-13,105.655
2019-09-20,105.715
2019-09-27,105.58
2019-10-04,105.691
2019-10-11,105.72
2019-10-18,105.775
2019-10-25,105.61
2019-11-01,105.65
2019-11-08,105.696
2019-11-15,105.69
2019-11-22,105.575
2019-11-29,105.61
2019-12-06,105.655
2019-12-13,105.68
2019-12-20,105.7
2019-12-27,105.54
2020-01-03,105.595
