date,value
2015-01-02,103.87
2015-01-09,106.62
2015-01-16,109.08
2015-01-23,108.4
2015-01-30,106.71
2015-02-06,106.93
2015-02-13,109.0
2015-02-20,108.94
2015-02-27,108.64
2015-03-06,108.69
2015-03-13,108.77
2015-03-20,111.89
2015-03-27,110.02
2015-04-03,110.2
2015-04-10,110.67
2015-04-17,109.26
2015-04-24,109.24
2015-05-01,106.19
2015-05-08,107.59
2015-05-15,109.2
2015-05-22,109.79
2015-05-29,107.66
2015-06-05,105.97
2015-06-12,104.96
2015-06-19,106.75
2015-06-26,107.12
2015-07-03,106.12
2015-07-10,107.67
2015-07-17,110.44
2015-07-24,110.36
2015-07-31,111.94
2015-08-07,118.21
2015-08-14,117.62
2015-08-21,113.97
2015-08-28,111.69
2015-09-04,109.6
2015-09-11,109.84
2015-09-18,113.46
2015-09-25,116.24
2015-10-02,116.93
2015-10-09,120.52
2015-10-16,121.92
2015-10-23,123.25
2015-10-30,121.94
2015-11-06,122.28
2015-11-13,120.74
2015-11-20,123.85
2015-11-27,125.51
2015-12-04,128.78
2015-12-11,125.92
2015-12-18,127.05
2015-12-25,127.86
2016-01-01,126.83
2016-01-08,126.18
2016-01-15,126.86
2016-01-22,127.59
2016-01-29,129.05
2016-02-05,124.38
2016-02-12,127.54
2016-02-19,128.63
2016-02-26,127.82
2016-03-04,125.61
2016-03-11,126.45
2016-03-18,127.41
2016-03-25,126.56
2016-04-01,127.38
2016-04-08,128.53
2016-04-15,126.41
2016-04-22,122.45
2016-04-29,125.23
2016-05-06,130.46
2016-05-13,131.98
2016-05-20,128.83
2016-05-27,129.7
2016-06-03,129.92
2016-06-10,131.77
2016-06-17,132.37
2016-06-24,134.88
2016-07-01,137.16
2016-07-08,138.37
2016-07-15,136.58
2016-07-22,135.18
2016-07-29,131.07
2016-08-05,132.22
2016-08-12,133.42
2016-08-19,130.8
2016-08-26,130.63
2016-09-02,131.97
2016-09-09,122.89
2016-09-16,122.73
2016-09-23,126.53
2016-09-30,125.18
2016-10-07,122.65
2016-10-14,121.77
2016-10-21,120.05
2016-10-28,119.03
2016-11-04,113.26
2016-11-11,113.05
2016-11-18,114.8
2016-11-25,117.22
2016-12-02,114.02
2016-12-09,115.29
2016-12-16,119.04
2016-12-23,120.9
2016-12-30,120.02
2017-01-06,122.52
2017-01-13,119.53
2017-01-20,121.42
2017-01-27,120.49
2017-02-03,125.14
2017-02-10,127.03
2017-02-17,133.71
2017-02-24,136.37
2017-03-03,136.92
2017-03-10,138.07
2017-03-17,137.54
2017-03-24,137.81
2017-03-31,134.83
2017-04-07,133.22
2017-04-14,133.86
2017-04-21,134.29
2017-04-28,133.69
2017-05-05,132.89
2017-05-12,132.16
2017-05-19,132.16
2017-05-26,134.99
2017-06-02,136.63
2017-06-09,137.14
2017-06-16,139.5
2017-06-23,138.91
2017-06-30,133.24
2017-07-07,134.38
2017-07-14,131.9
2017-07-21,132.24
2017-07-28,132.77
2017-08-04,134.49
2017-08-11,134.31
2017-08-18,137.73
2017-08-25,137.48
2017-09-01,137.98
2017-09-08,134.04
2017-09-15,136.18
2017-09-22,129.83
2017-09-29,131.91
2017-10-06,129.14
2017-10-13,131.29
2017-10-20,127.77
2017-10-27,127.03
2017-11-03,128.11
2017-11-10,132.05
2017-11-17,133.51
2017-11-24,135.39
2017-12-01,139.64
2017-12-08,145.23
2017-12-15,147.63
2017-12-22,149.52
2017-12-29,148.74
2018-01-05,145.73
2018-01-12,140.96
2018-01-19,143.86
2018-01-26,142.64
2018-02-02,130.91
2018-02-09,128.8
2018-02-16,131.7
2018-02-23,129.43
2018-03-02,130.94
2018-03-09,131.57
2018-03-16,128.49
2018-03-23,124.4
2018-03-30,133.11
2018-04-06,128.51
2018-04-13,125.53
2018-04-20,114.88
2018-04-27,118.31
2018-05-04,120.29
2018-05-11,120.54
2018-05-18,117.33
2018-05-25,122.58
2018-06-01,120.44
2018-06-08,126.75
2018-06-15,128.85
2018-06-22,128.91
2018-06-29,135.25
2018-07-06,135.44
2018-07-13,134.46
2018-07-20,131.8
2018-07-27,132.72
2018-08-03,143.08
2018-08-10,140.21
2018-08-17,147.53
2018-08-24,145.67
2018-08-31,144.98
2018-09-07,150.74
2018-09-14,151.38
2018-09-21,152.47
2018-09-28,150.41
2018-10-05,149.58
2018-10-12,144.84
2018-10-19,152.57
2018-10-26,147.82
2018-11-02,154.2
2018-11-09,158.77
2018-11-16,162.02
2018-11-23,162.83
2018-11-30,165.62
2018-12-07,162.47
2018-12-14,164.52
2018-12-21,154.51
2018-12-28,153.12
2019-01-04,153.06
2019-01-11,153.35
2019-01-18,154.37
2019-01-25,147.69
2019-02-01,149.86
2019-02-08,155.66
2019-02-15,156.28
2019-02-22,159.58
2019-03-01,157.8
2019-03-08,157.83
2019-03-15,160.67
2019-03-22,158.13
2019-03-29,160.46
2019-04-05,155.6
2019-04-12,155.49
2019-04-19,153.48
2019-04-26,157.56
2019-05-03,148.18
2019-05-10,148.19
2019-05-17,147.05
2019-05-24,149.63
2019-05-31,148.81
2019-06-07,156.63
2019-06-14,156.88
2019-06-21,154.92
2019-06-28,153.11
2019-07-05,155.77
2019-07-12,158.06
2019-07-19,161.86
2019-07-26,166.33
2019-08-02,156.9
2019-08-09,158.27
2019-08-16,160.9
2019-08-23,155.93
2019-08-30,158.16
2019-09-06,162.04
2019-09-13,158.94
2019-09-20,151.78
2019-09-27,152.68
2019-10-04,151.38
2019-10-11,150.25
2019-10-18,149.7
2019-10-25,151.4
2019-11-01,147.04
2019-11-08,148.0
2019-11-15,145.3
2019-11-22,146.26
2019-11-29,148.23
2019-12-06,151.86
2019-12-13,151.7
2019-12-20,152.66
2019-12-27,153.53
2020-01-03,152.91
