date,value
2015-01-02,51.47
2015-01-09,51.86
2015-01-16,52.11
2015-01-23,52.11
2015-01-30,52.48
2015-02-06,52.03
2015-02-13,51.9
2015-02-20,51.8
2015-02-27,51.99
2015-03-06,51.47
2015-03-13,51.85
2015-03-20,52.16
2015-03-27,52.11
2015-04-03,52.15
2015-04-10,52.17
2015-04-17,52.32
2015-04-24,52.37
2015-05-01,51.75
2015-05-08,51.8
2015-05-15,51.94
2015-05-22,51.78
2015-05-29,51.81
2015-06-05,51.4
2015-06-12,51.29
2015-06-19,51.53
2015-06-26,51.21
2015-07-03,51.22
2015-07-10,51.27
2015-07-17,51.39
2015-07-24,51.64
2015-07-31,51.68
2015-08-07,51.56
2015-08-14,51.59
2015-08-21,51.74
2015-08-28,51.24
2015-09-04,51.25
2015-09-11,51.5
2015-09-18,51.46
2015-09-25,51.43
2015-10-02,51.53
2015-10-09,51.36
2015-10-16,51.8
2015-10-23,51.53
2015-10-30,51.25
2015-11-06,50.91
2015-11-13,51.06
2015-11-20,51.16
2015-11-27,51.29
2015-12-04,50.87
2015-12-11,51.0
2015-12-18,50.79
2015-12-25,50.65
2016-01-01,50.66
2016-01-08,51.13
2016-01-15,51.54
2016-01-22,51.06
2016-01-29,51.34
2016-02-05,51.55
2016-02-12,52.01
2016-02-19,51.62
2016-02-26,51.74
2016-03-04,51.4
2016-03-11,51.28
2016-03-18,51.7
2016-03-25,51.08
2016-04-01,52.02
2016-04-08,52.21
2016-04-15,52.12
2016-04-22,52.0
2016-04-29,52.17
2016-05-06,52.45
2016-05-13,52.65
2016-05-20,52.36
2016-05-27,52.2
2016-06-03,52.47
2016-06-10,52.54
2016-06-17,52.96
2016-06-24,52.74
2016-07-01,53.18
2016-07-08,53.29
2016-07-15,52.92
2016-07-22,52.94
2016-07-29,53.45
2016-08-05,53.13
2016-08-12,53.1
2016-08-19,53.32
2016-08-26,53.24
2016-09-02,53.12
2016-09-09,53.04
2016-09-16,53.13
2016-09-23,53.1
2016-09-30,53.08
2016-10-07,52.5
2016-10-14,52.51
2016-10-21,52.48
2016-10-28,52.27
2016-11-04,52.54
2016-11-11,51.59
