date,value
2015-01-02,35.14
2015-01-09,35.28
2015-01-16,36.64
2015-01-23,37.55
2015-01-30,37.73
2015-02-06,35.69
2015-02-13,34.65
2015-02-20,35.58
2015-02-27,35.13
2015-03-06,33.15
2015-03-13,33.49
2015-03-20,35.68
2015-03-27,34.28
2015-04-03,35.29
2015-04-10,34.84
2015-04-17,34.5
2015-04-24,35.16
2015-05-01,34.25
2015-05-08,33.66
2015-05-15,33.78
2015-05-22,34.18
2015-05-29,34.14
2015-06-05,31.78
2015-06-12,32.29
2015-06-19,32.5
2015-06-26,31.81
2015-07-03,32.75
2015-07-10,33.72
2015-07-17,33.65
2015-07-24,32.97
2015-07-31,34.26
2015-08-07,34.21
2015-08-14,35.3
2015-08-21,35.56
2015-08-28,33.47
2015-09-04,32.22
2015-09-11,32.67
2015-09-18,33.68
2015-09-25,34.58
2015-10-02,35.61
2015-10-09,35.62
2015-10-16,36.39
2015-10-23,36.74
2015-10-30,36.07
2015-11-06,34.24
2015-11-13,34.62
2015-11-20,35.64
2015-11-27,35.17
2015-12-04,34.98
2015-12-11,34.86
2015-12-18,35.61
2015-12-25,36.01
2016-01-01,36.08
2016-01-08,36.1
2016-01-15,36.19
2016-01-22,36.55
2016-01-29,38.88
2016-02-05,39.88
2016-02-12,39.19
2016-02-19,39.4
2016-02-26,39.5
2016-03-04,40.39
2016-03-11,40.99
2016-03-18,41.31
2016-03-25,41.68
2016-04-01,42.71
2016-04-08,41.71
2016-04-15,41.55
2016-04-22,39.65
2016-04-29,40.68
2016-05-06,41.11
2016-05-13,41.93
2016-05-20,40.85
2016-05-27,41.59
2016-06-03,42.82
2016-06-10,43.31
2016-06-17,43.82
2016-06-24,44.36
2016-07-01,45.63
2016-07-08,45.51
2016-07-15,44.82
2016-07-22,45.54
2016-07-29,45.18
2016-08-05,43.69
2016-08-12,43.86
2016-08-19,43.06
2016-08-26,41.95
2016-09-02,42.31
2016-09-09,41.31
2016-09-16,42.33
2016-09-23,43.87
2016-09-30,42.01
2016-10-07,40.26
2016-10-14,40.7
2016-10-21,41.16
2016-10-28,41.3
2016-11-04,40.78
2016-11-11,39.75
2016-11-18,39.72
2016-11-25,40.6
2016-12-02,39.94
2016-12-09,41.12
2016-12-16,41.5
2016-12-23,41.7
2016-12-30,41.62
2017-01-06,42.15
2017-01-13,41.94
2017-01-20,42.33
2017-01-27,41.78
2017-02-03,42.62
2017-02-10,42.93
2017-02-17,43.22
2017-02-24,44.68
2017-03-03,44.3
2017-03-10,44.14
2017-03-17,44.71
2017-03-24,45.28
2017-03-31,44.74
2017-04-07,44.95
2017-04-14,45.21
2017-04-21,45.19
2017-04-28,45.4
2017-05-05,45.44
2017-05-12,45.54
2017-05-19,46.05
2017-05-26,47.41
2017-06-02,47.79
2017-06-09,46.98
2017-06-16,48.25
2017-06-23,47.31
2017-06-30,46.25
2017-07-07,45.75
2017-07-14,45.9
2017-07-21,46.75
2017-07-28,46.3
2017-08-04,47.03
2017-08-11,47.31
2017-08-18,48.21
2017-08-25,48.5
2017-09-01,48.42
2017-09-08,48.66
2017-09-15,47.87
2017-09-22,46.47
2017-09-29,46.32
2017-10-06,46.3
2017-10-13,47.54
2017-10-20,48.18
2017-10-27,48.2
2017-11-03,48.13
2017-11-10,49.27
2017-11-17,49.59
2017-11-24,49.44
2017-12-01,49.74
2017-12-08,49.87
2017-12-15,49.25
2017-12-22,47.35
2017-12-29,47.3
2018-01-05,45.81
2018-01-12,44.01
2018-01-19,44.05
2018-01-26,44.79
2018-02-02,43.48
2018-02-09,42.79
2018-02-16,44.2
2018-02-23,43.86
2018-03-02,42.59
2018-03-09,42.86
2018-03-16,44.28
2018-03-23,43.25
2018-03-30,45.29
2018-04-06,45.32
2018-04-13,44.21
2018-04-20,45.19
2018-04-27,47.18
2018-05-04,46.45
2018-05-11,45.38
2018-05-18,44.11
2018-05-25,45.62
2018-06-01,45.17
2018-06-08,43.35
2018-06-15,44.08
2018-06-22,45.44
2018-06-29,47.28
2018-07-06,48.59
2018-07-13,47.85
2018-07-20,47.42
2018-07-27,48.12
2018-08-03,48.36
2018-08-10,48.37
2018-08-17,49.89
2018-08-24,49.36
2018-08-31,49.24
2018-09-07,50.09
2018-09-14,50.38
2018-09-21,49.33
2018-09-28,49.0
2018-10-05,49.89
2018-10-12,48.85
2018-10-19,50.68
2018-10-26,49.25
2018-11-02,48.14
2018-11-09,50.14
2018-11-16,51.02
2018-11-23,50.68
2018-11-30,52.09
2018-12-07,52.93
2018-12-14,52.89
2018-12-21,51.17
2018-12-28,49.37
2019-01-04,48.85
2019-01-11,49.73
2019-01-18,50.88
2019-01-25,50.81
2019-02-01,51.78
2019-02-08,52.95
2019-02-15,52.77
2019-02-22,54.2
2019-03-01,54.1
2019-03-08,54.64
2019-03-15,55.53
2019-03-22,55.64
2019-03-29,55.54
2019-04-05,55.11
2019-04-12,54.98
2019-04-19,53.81
2019-04-26,54.9
2019-05-03,55.26
2019-05-10,55.63
2019-05-17,56.46
2019-05-24,57.24
2019-05-31,56.11
2019-06-07,57.79
2019-06-14,58.75
2019-06-21,59.15
2019-06-28,57.91
2019-07-05,58.72
2019-07-12,58.58
2019-07-19,58.26
2019-07-26,58.69
2019-08-02,58.7
2019-08-09,60.32
2019-08-16,61.2
2019-08-23,61.58
2019-08-30,63.05
2019-09-06,62.76
2019-09-13,61.27
2019-09-20,63.11
2019-09-27,64.01
2019-10-04,64.92
2019-10-11,63.88
2019-10-18,64.01
2019-10-25,63.65
2019-11-01,63.34
2019-11-08,59.61
2019-11-15,60.9
2019-11-22,61.76
2019-11-29,61.3
2019-12-06,61.46
2019-12-13,60.99
2019-12-20,63.1
2019-12-27,62.54
2020-01-03,62.31
