date,value
2017-11-24,18.02
2017-12-01,17.71
2017-12-08,17.12
2017-12-15,16.69
2017-12-22,17.02
2017-12-29,17.03
2018-01-05,16.94
2018-01-12,17.1
2018-01-19,18.4
2018-01-26,17.68
2018-02-02,17.23
2018-02-09,16.92
2018-02-16,18.19
2018-02-23,17.87
2018-03-02,18.65
2018-03-09,19.0
2018-03-16,18.6
2018-03-23,18.55
2018-03-30,18.86
2018-04-06,18.77
2018-04-13,19.3
2018-04-20,20.1
2018-04-27,20.65
2018-05-04,20.98
2018-05-11,20.77
2018-05-18,20.02
2018-05-25,20.25
2018-06-01,20.07
2018-06-08,20.56
2018-06-15,20.14
2018-06-22,19.41
2018-06-29,18.55
2018-07-06,18.66
2018-07-13,19.52
2018-07-20,19.77
2018-07-27,18.94
2018-08-03,18.53
2018-08-10,18.85
2018-08-17,19.37
2018-08-24,19.67
2018-08-31,19.44
2018-09-07,19.72
2018-09-14,20.88
2018-09-21,21.43
2018-09-28,20.95
2018-10-05,20.76
2018-10-12,19.47
2018-10-19,18.77
2018-10-26,17.78
2018-11-02,17.83
2018-11-09,18.07
2018-11-16,17.7
2018-11-23,17.23
2018-11-30,17.43
2018-12-07,16.75
2018-12-14,17.03
2018-12-21,16.18
2018-12-28,16.7
2019-01-04,17.56
2019-01-11,18.06
2019-01-18,18.28
2019-01-25,18.73
2019-02-01,19.74
2019-02-08,21.38
2019-02-15,21.61
2019-02-22,22.6
2019-03-01,23.3
2019-03-08,22.39
2019-03-15,23.79
2019-03-22,23.4
2019-03-29,24.26
2019-04-05,25.0
2019-04-12,25.45
2019-04-19,24.96
2019-04-26,25.58
2019-05-03,25.86
2019-05-10,25.58
2019-05-17,26.05
2019-05-24,26.33
2019-05-31,25.43
2019-06-07,26.8
2019-06-14,28.71
2019-06-21,29.66
2019-06-28,28.98
2019-07-05,29.16
2019-07-12,29.03
2019-07-19,28.19
2019-07-26,27.83
2019-08-02,29.12
2019-08-09,30.01
2019-08-16,29.12
2019-08-23,28.52
2019-08-30,27.82
2019-09-06,28.31
2019-09-13,26.98
2019-09-20,28.12
2019-09-27,27.83
2019-10-04,27.58
2019-10-11,27.9
2019-10-18,28.12
2019-10-25,28.45
2019-11-01,29.96
2019-11-08,28.85
2019-11-15,35.53
2019-11-22,37.14
2019-11-29,37.49
2019-12-06,36.05
2019-12-13,36.66
2019-12-20,38.27
2019-12-27,37.29
2020-01-03,38.51
