date,value
2015-01-02,82.49
2015-01-09,79.37
2015-01-16,76.65
2015-01-23,77.6
2015-01-30,73.21
2015-02-06,76.22
2015-02-13,78.88
2015-02-20,80.39
2015-02-27,78.71
2015-03-06,78.98
2015-03-13,80.0
2015-03-20,81.13
2015-03-27,78.65
2015-04-03,80.31
2015-04-10,80.61
2015-04-17,82.0
2015-04-24,80.44
2015-05-01,81.93
2015-05-08,83.16
2015-05-15,84.03
2015-05-22,85.02
2015-05-29,83.56
2015-06-05,84.94
2015-06-12,87.57
2015-06-19,88.42
2015-06-26,89.06
2015-07-03,88.32
2015-07-10,87.67
2015-07-17,90.99
2015-07-24,78.86
2015-07-31,81.3
2015-08-07,80.82
2015-08-14,81.27
2015-08-21,76.62
2015-08-28,77.32
2015-09-04,74.83
2015-09-11,75.65
2015-09-18,73.56
2015-09-25,74.05
2015-10-02,72.87
2015-10-09,74.45
2015-10-16,74.67
2015-10-23,81.12
2015-10-30,78.9
2015-11-06,81.42
2015-11-13,76.97
2015-11-20,79.46
2015-11-27,79.0
2015-12-04,79.37
2015-12-11,73.68
2015-12-18,72.47
2015-12-25,73.52
2016-01-01,72.18
2016-01-08,64.23
2016-01-15,62.85
2016-01-22,61.1
2016-01-29,65.62
2016-02-05,63.36
2016-02-12,62.54
2016-02-19,65.73
2016-02-26,67.2
2016-03-04,69.59
2016-03-11,71.03
2016-03-18,70.57
2016-03-25,69.76
2016-04-01,70.8
2016-04-08,66.67
2016-04-15,71.34
2016-04-22,75.56
2016-04-29,72.39
2016-05-06,69.39
2016-05-13,68.71
2016-05-20,70.93
2016-05-27,73.83
2016-06-03,71.6
2016-06-10,70.04
2016-06-17,64.19
2016-06-24,61.88
2016-07-01,62.96
2016-07-08,64.71
2016-07-15,68.15
2016-07-22,67.03
2016-07-29,67.08
2016-08-05,68.1
2016-08-12,68.0
2016-08-19,68.56
2016-08-26,69.16
2016-09-02,71.64
2016-09-09,71.65
2016-09-16,70.21
2016-09-23,71.28
2016-09-30,71.83
2016-10-07,73.05
2016-10-14,71.53
2016-10-21,74.89
2016-10-28,74.63
2016-11-04,73.1
2016-11-11,80.99
2016-11-18,82.01
2016-11-25,84.57
2016-12-02,86.0
2016-12-09,90.45
2016-12-16,89.67
2016-12-23,89.68
2016-12-30,87.24
2017-01-06,88.6
2017-01-13,88.85
2017-01-20,87.34
2017-01-27,89.15
2017-02-03,87.92
2017-02-10,88.4
2017-02-17,91.81
2017-02-24,92.61
2017-03-03,93.94
2017-03-10,92.19
2017-03-17,88.23
2017-03-24,83.8
2017-03-31,86.66
2017-04-07,83.54
2017-04-14,81.02
2017-04-21,82.67
2017-04-28,80.38
2017-05-05,82.27
2017-05-12,79.4
2017-05-19,80.27
2017-05-26,79.79
2017-06-02,78.04
2017-06-09,80.07
2017-06-16,81.31
2017-06-23,79.52
2017-06-30,82.62
2017-07-07,82.5
2017-07-14,82.5
2017-07-21,87.94
2017-07-28,84.97
2017-08-04,84.41
2017-08-11,82.8
2017-08-18,81.53
2017-08-25,81.49
2017-09-01,80.31
2017-09-08,78.21
2017-09-15,80.04
2017-09-22,81.94
2017-09-29,84.66
2017-10-06,87.04
2017-10-13,85.36
2017-10-20,89.67
2017-10-27,92.78
2017-11-03,91.6
2017-11-10,87.15
2017-11-17,87.83
2017-11-24,87.38
2017-12-01,92.72
2017-12-08,95.79
2017-12-15,96.31
2017-12-22,100.5
2017-12-29,99.58
2018-01-05,101.43
2018-01-12,105.43
2018-01-19,104.38
